Profile for _try_load_latest_model
Timestamp: 2025-08-04T12:04:57.838373
Total Time: 11.433s
CPU Time: 9.246s
I/O Time: 0.0ms
Memory Peak: 83.41MB
Function Calls: 2407462
Bottlenecks: <20>(1151.000s), /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/selectors.py:385(select)(7.401s), objects}(6.951s), /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/numpy_pickle.py:438(load_build)(6.459s), /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/numpy_pickle.py:259(read)(4.371s)

==================================================
Detailed cProfile Output:
         2407462 function calls (2403397 primitive calls) in 11.432 seconds

   Ordered by: cumulative time
   List reduced from 1151 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       31    0.103    0.003    7.401    0.239 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/selectors.py:385(select)
       31    1.703    0.055    6.951    0.224 {method 'poll' of 'select.poll' objects}
9086/9083    0.190    0.000    6.459    0.001 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/numpy_pickle.py:438(load_build)
6040/6038    0.064    0.000    4.371    0.001 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/numpy_pickle.py:259(read)
6039/6038    1.176    0.000    3.903    0.001 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/numpy_pickle.py:159(read_array)
     11/3    0.001    0.000    3.401    1.134 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/werkzeug/serving.py:330(execute)
    14/12    0.000    0.000    3.094    0.258 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/werkzeug/wsgi.py:255(__next__)
      6/4    0.000    0.000    3.094    0.773 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/werkzeug/wrappers/response.py:31(_iter_encoded)
        2    0.000    0.000    3.094    1.547 /Users/orlandolee/greyhound_racing_collector/app.py:6245(generate_prediction_stream)
        1    0.000    0.000    3.094    3.094 /Users/orlandolee/greyhound_racing_collector/prediction_strategy_manager.py:516(predict_races_streaming)
        1    0.000    0.000    3.093    3.093 /Users/orlandolee/greyhound_racing_collector/ml_system_v4.py:810(_try_load_latest_model)
      2/1    0.056    0.028    3.090    3.090 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/numpy_pickle.py:674(load)
      2/1    0.000    0.000    3.033    3.033 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/numpy_pickle.py:613(_unpickle)
        1    0.689    0.689    3.033    3.033 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pickle.py:1230(load)
   413382    1.098    0.000    1.939    0.000 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pickle.py:281(read)
6014/6013    0.076    0.000    1.457    0.000 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/numpy_pickle_utils.py:234(_read_bytes)
     9083    0.565    0.000    1.448    0.000 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pickle.py:1754(load_build)
36169/36133    0.426    0.000    1.270    0.000 {method 'read' of '_io.BufferedReader' objects}
     12/2    0.002    0.000    0.749    0.374 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:998(_bootstrap)
     11/2    0.007    0.001    0.749    0.374 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:1025(_bootstrap_inner)


