Profile for _try_load_latest_model
Timestamp: 2025-08-04T15:17:19.300621
Total Time: 49.030s
CPU Time: 46.723s
I/O Time: 0.0ms
Memory Peak: 234.29MB
Function Calls: 11461089
Bottlenecks: <20>(1718.000s), /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/numpy_pickle.py:438(load_build)(105.108s), /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/numpy_pickle.py:259(read)(82.811s), /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/numpy_pickle.py:159(read_array)(60.541s), /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/parallel.py:1670(_get_outputs)(53.382s)

==================================================
Detailed cProfile Output:
         11461089 function calls (11323066 primitive calls) in 61.283 seconds

   Ordered by: cumulative time
   List reduced from 1718 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
30128/4206    0.481    0.000  105.108    0.025 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/numpy_pickle.py:438(load_build)
    20062    0.229    0.000   82.811    0.004 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/numpy_pickle.py:259(read)
    20062    2.734    0.000   60.541    0.003 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/numpy_pickle.py:159(read_array)
10020/2365    0.119    0.000   53.382    0.023 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/parallel.py:1670(_get_outputs)
    20021    0.243    0.000   38.531    0.002 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/numpy_pickle_utils.py:234(_read_bytes)
       42    0.006    0.000   35.066    0.835 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/queues.py:372(empty)
10000/548    0.256    0.000   33.006    0.060 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/_utils.py:70(__call__)
10000/548    0.542    0.000   31.766    0.058 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/parallel.py:603(__call__)
       42    0.004    0.000   31.096    0.740 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:253(poll)
10072/9211    0.108    0.000   30.178    0.003 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/sklearn/utils/validation.py:1673(check_is_fitted)
       10    0.000    0.000   29.130    2.913 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/parallel.py:1403(_terminate_and_reset)
       10    0.007    0.001   29.130    2.913 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/_parallel_backends.py:323(terminate)
       42    0.002    0.000   28.133    0.670 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:439(_poll)
10020/561    0.454    0.000   27.936    0.050 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/sklearn/utils/parallel.py:125(__call__)
    55/14    0.004    0.000   27.317    1.951 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:1134(wait)
    55/14    0.004    0.000   27.314    1.951 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/selectors.py:385(select)
    55/14    0.005    0.000   26.429    1.888 {method 'poll' of 'select.poll' objects}
30172/28387    0.099    0.000   26.042    0.001 {built-in method builtins.next}
       30    0.001    0.000   25.282    0.843 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:1056(join)
       30    0.003    0.000   25.255    0.842 {method 'join' of '_thread._ThreadHandle' objects}


