type,csv_file,race_number,venue,date,dog_count,description,discrepancy_category,log_file,log_timestamp,log_action,log_status,file,conflicts,csv_data,log_data
missing_log_entry,test_race_e2e_1754188834.csv,unknown,unknown,,4.0,CSV race file test_race_e2e_1754188834.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 1 - BEN - 11 July 2025.csv,1,BEN,2025-07-11,7.0,CSV race file Race 1 - BEN - 11 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 3 - SAN - 17 July 2025.csv,3,SAN,2025-07-17,10.0,CSV race file Race 3 - SAN - 17 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 2 - WAR - 2025-07-31.csv,2,WAR,2025-07-31,1.0,CSV race file Race 2 - WAR - 2025-07-31.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 11 - MAND - 01 July 2025.csv,11,MAND,2025-07-01,6.0,CSV race file Race 11 - MAND - 01 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 1 - GEE - 22 July 2025.csv,1,GEE,2025-07-22,7.0,CSV race file Race 1 - GEE - 22 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 2 - GOUL - 01 August 2025.csv,2,GOUL,2025-08-01,7.0,CSV race file Race 2 - GOUL - 01 August 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 5 - HOBT - 2025-07-31.csv,5,HOBT,2025-07-31,10.0,CSV race file Race 5 - HOBT - 2025-07-31.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 6 - RICH - 03 July 2025.csv,6,RICH,2025-07-03,8.0,CSV race file Race 6 - RICH - 03 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 3 - TAR - 02 August 2025.csv,3,TAR,2025-08-02,9.0,CSV race file Race 3 - TAR - 02 August 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 4 - HEA - 20 July 2025.csv,4,HEA,2025-07-20,9.0,CSV race file Race 4 - HEA - 20 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,race_01_test_venue_2025-08-03.csv,01,test,2025-08-03,6.0,CSV race file race_01_test_venue_2025-08-03.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 1 - BEN - 02 July 2025.csv,1,BEN,2025-07-02,7.0,CSV race file Race 1 - BEN - 02 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 10 - MURR - 08 July 2025.csv,10,MURR,2025-07-08,6.0,CSV race file Race 10 - MURR - 08 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 1 - WAR - 2025-07-31.csv,1,WAR,2025-07-31,1.0,CSV race file Race 1 - WAR - 2025-07-31.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 3 - GOUL - 01 August 2025.csv,3,GOUL,2025-08-01,7.0,CSV race file Race 3 - GOUL - 01 August 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 8 - W_PK - 24 July 2025.csv,8,W_PK,2025-07-24,6.0,CSV race file Race 8 - W_PK - 24 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,race_03_test_venue_2025-08-03.csv,03,test,2025-08-03,3.0,CSV race file race_03_test_venue_2025-08-03.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 4 - BAL - 30 June 2025.csv,4,BAL,2025-06-30,10.0,CSV race file Race 4 - BAL - 30 June 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 2 - TAR - 02 August 2025.csv,2,TAR,2025-08-02,10.0,CSV race file Race 2 - TAR - 02 August 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 7 - CANN - 19 July 2025.csv,7,CANN,2025-07-19,7.0,CSV race file Race 7 - CANN - 19 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 1 - TAR - 02 August 2025.csv,1,TAR,2025-08-02,10.0,CSV race file Race 1 - TAR - 02 August 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
