id,race_id,dog_name,dog_clean_name,dog_id,box_number,trainer_name,trainer_id,weight,running_style,odds_decimal,odds_fractional,starting_price,individual_time,sectional_1st,sectional_2nd,sectional_3rd,margin,beaten_margin,was_scratched,blackbook_link,extraction_timestamp,data_source,form_guide_json,historical_records,performance_rating,speed_rating,class_rating,recent_form,win_probability,place_probability,scraped_trainer_name,scraped_reaction_time,scraped_nbtt,scraped_race_classification,scraped_raw_result,scraped_finish_position,best_time,data_quality_note,finish_position,odds,trainer,winning_time,placing,form,new_analysis_column,venue,grade,distance,track_condition,weather,temperature,humidity,wind_speed,field_size,race_date,race_time,winner_name,winner_odds,winner_margin,pir_rating,first_sectional,win_time,bonus_time,target,synthetic_strength,predicted_probability
,bal_2025-07-30_13,SOLAR SPECTRUM,SOLAR SPECTRUM,,,,,33.3,,,,2.6,24.801,nan,,,4.0,4.0,,,2025-07-31 20:03:44.622330,enhanced_processor_with_results,"{""sex"": ""D"", ""track"": ""SAL"", ""distance"": ""435"", ""date"": ""2025-06-08"", ""grade"": ""Grade 5 Heat"", ""bonus"": ""24.053"", ""pir"": ""6"", ""w_2g"": ""CHAVERO""}","[{""date"": ""2025-06-08"", ""time"": ""24.801"", ""margin"": ""4.0"", ""position"": ""6"", ""box"": ""1"", ""track"": ""SAL"", ""grade"": ""Grade 5 Heat""}, {""date"": ""2025-06-05"", ""time"": ""25.194"", ""margin"": ""3.25"", ""position"": ""2"", ""box"": ""2"", ""track"": ""BAL"", ""grade"": ""S/E Heat""}, {""date"": ""2025-05-30"", ""time"": ""25.26"", ""margin"": ""17.5"", ""position"": ""6"", ""box"": ""6"", ""track"": ""BEN"", ""grade"": ""Grade 5""}, {""date"": ""2025-05-05"", ""time"": ""25.5"", ""margin"": ""3.5"", ""position"": ""7"", ""box"": ""8"", ""track"": ""SHE"", ""grade"": ""Grade 5 Heat""}, {""date"": ""2025-04-29"", ""time"": ""23.021"", ""margin"": ""4.0"", ""position"": ""1"", ""box"": ""6"", ""track"": ""HOR"", ""grade"": ""Grade 5""}]",,,,62671,,,Lisa Delbridge,,,,Solar Spectrum,2,23.021,,2,,,,,,,BAL,Grade 5 Heat,435m,,partly_cloudy,5.8,88.0,13.5,8,2025-07-30,,Spicy Assassin,,,,,,,0,-0.5183082715182452,0.12399185621378249
,bal_2025-07-30_13,Roy Kent,ROY KENT,,,,,30.1,,,,2.2,22.314,nan,,,1.5,1.5,,,2025-07-31 20:03:44.622646,enhanced_processor_with_results,"{""sex"": ""D"", ""track"": ""BAL"", ""distance"": ""390"", ""date"": ""2025-07-23"", ""grade"": ""Grade 5"", ""bonus"": ""22.053"", ""pir"": ""3"", ""w_2g"": ""FROG MARCH""}","[{""date"": ""2025-07-23"", ""time"": ""22.314"", ""margin"": ""1.5"", ""position"": ""3"", ""box"": ""2"", ""track"": ""BAL"", ""grade"": ""Grade 5""}, {""date"": ""2025-05-25"", ""time"": ""25.613"", ""margin"": ""3.0"", ""position"": ""4"", ""box"": ""7"", ""track"": ""BAL"", ""grade"": ""S/E Heat""}, {""date"": ""2025-05-14"", ""time"": ""25.467"", ""margin"": ""1.0"", ""position"": ""2"", ""box"": ""6"", ""track"": ""BAL"", ""grade"": ""Grade 5""}, {""date"": ""2025-04-30"", ""time"": ""22.331"", ""margin"": ""2.25"", ""position"": ""5"", ""box"": ""5"", ""track"": ""WAR"", ""grade"": ""Mixed 4/5""}, {""date"": ""2025-04-24"", ""time"": ""22.545"", ""margin"": ""2.5"", ""position"": ""3"", ""box"": ""5"", ""track"": ""WAR"", ""grade"": ""Mixed 4/5""}]",,,,34253,,,Anthony Azzopardi,,,,Roy Kent,3,22.314,,3,,,,,,,BAL,Grade 5 Heat,435m,,partly_cloudy,5.8,88.0,13.5,8,2025-07-30,,Spicy Assassin,,,,,,,0,0.5785711695128513,0.12715149373956303
,bal_2025-07-30_13,SPECIAL TEAMS,SPECIAL TEAMS,,,,,26.6,,,,3.4,16.929,3.93175,,,1.25,1.25,,,2025-07-31 20:03:44.622924,enhanced_processor_with_results,"{""sex"": ""B"", ""track"": ""HEA"", ""distance"": ""300"", ""date"": ""2025-07-27"", ""grade"": ""Grade 5"", ""bonus"": ""16.566"", ""pir"": ""1"", ""w_2g"": ""THAI BUTTERFLY""}","[{""date"": ""2025-07-27"", ""time"": ""16.929"", ""margin"": ""1.25"", ""position"": ""1"", ""box"": ""3"", ""track"": ""HEA"", ""grade"": ""Grade 5""}, {""date"": ""2025-07-23"", ""time"": ""22.395"", ""margin"": ""2.0"", ""position"": ""3"", ""box"": ""4"", ""track"": ""BAL"", ""grade"": ""Grade 5""}, {""date"": ""2025-07-17"", ""time"": ""22.388"", ""margin"": ""1.0"", ""position"": ""1"", ""box"": ""8"", ""track"": ""WAR"", ""grade"": ""Grade 5""}, {""date"": ""2025-06-27"", ""time"": ""23.398"", ""margin"": ""7.75"", ""position"": ""6"", ""box"": ""1"", ""track"": ""GEE"", ""grade"": ""Grade 5""}, {""date"": ""2025-06-24"", ""time"": ""23.914"", ""margin"": ""8.25"", ""position"": ""6"", ""box"": ""8"", ""track"": ""HOR"", ""grade"": ""Mixed 4/5""}]",,,,13166,,,Chloe Dew,,,,Special Teams,8,16.929,,8,,,,,,,BAL,Grade 5 Heat,435m,,partly_cloudy,5.8,88.0,13.5,8,2025-07-30,,Spicy Assassin,,,,,,,0,-1.0444477173559137,0.12270531930068994
,bal_2025-07-30_13,Lorraine Jacky,LORRAINE JACKY,,,,,28.2,,,,10.0,25.61,6.8695,,,7.0,7.0,,,2025-07-31 20:03:44.623270,enhanced_processor_with_results,"{""sex"": ""B"", ""track"": ""WAR"", ""distance"": ""450"", ""date"": ""2025-07-17"", ""grade"": ""Mixed 4/5"", ""bonus"": ""25.151"", ""pir"": ""5"", ""w_2g"": ""MEPUNGA ROCKY""}","[{""date"": ""2025-07-17"", ""time"": ""25.61"", ""margin"": ""7.0"", ""position"": ""5"", ""box"": ""5"", ""track"": ""WAR"", ""grade"": ""Mixed 4/5""}, {""date"": ""2025-07-09"", ""time"": ""26.019"", ""margin"": ""7.0"", ""position"": ""5"", ""box"": ""1"", ""track"": ""BAL"", ""grade"": ""Mixed 4/5""}, {""date"": ""2025-07-02"", ""time"": ""22.373"", ""margin"": ""0.75"", ""position"": ""2"", ""box"": ""1"", ""track"": ""BAL"", ""grade"": ""Grade 5""}, {""date"": ""2025-06-27"", ""time"": ""24.315"", ""margin"": ""9.5"", ""position"": ""5"", ""box"": ""7"", ""track"": ""BEN"", ""grade"": ""Mixed 4/5""}, {""date"": ""2025-06-18"", ""time"": ""22.196"", ""margin"": ""2.0"", ""position"": ""4"", ""box"": ""1"", ""track"": ""BAL"", ""grade"": ""Mixed 4/5""}]",,,,55254,,,Matthew Marshall,,,,Lorraine Jacky,5,22.196,,5,,,,,,,BAL,Grade 5 Heat,435m,,partly_cloudy,5.8,88.0,13.5,8,2025-07-30,,Spicy Assassin,,,,,,,0,1.7672027258693426,0.13145612304575888
,bal_2025-07-30_13,PEGASUS BALE,PEGASUS BALE,,,Bale Tammy,,36.4,,,,16.0,23.214,nan,,,3.0,3.0,,,2025-07-31 20:03:44.623566,enhanced_processor_with_results,"{""sex"": ""D"", ""track"": ""WAR"", ""distance"": ""400"", ""date"": ""2025-07-25"", ""grade"": ""Mixed 4/5"", ""bonus"": ""22.575"", ""pir"": ""4"", ""w_2g"": ""ASTON HAMILTON""}","[{""date"": ""2025-07-25"", ""time"": ""23.214"", ""margin"": ""3.0"", ""position"": ""4"", ""box"": ""3"", ""track"": ""WAR"", ""grade"": ""Mixed 4/5""}, {""date"": ""2025-07-21"", ""time"": ""22.389"", ""margin"": ""4.75"", ""position"": ""4"", ""box"": ""7"", ""track"": ""SHE"", ""grade"": ""Grade 5""}, {""date"": ""2025-07-15"", ""time"": ""23.106"", ""margin"": ""8.75"", ""position"": ""5"", ""box"": ""7"", ""track"": ""WAR"", ""grade"": ""Mixed 4/5""}, {""date"": ""2025-07-04"", ""time"": ""23.138"", ""margin"": ""1.25"", ""position"": ""3"", ""box"": ""7"", ""track"": ""WAR"", ""grade"": ""Grade 5""}, {""date"": ""2025-06-29"", ""time"": ""24.91"", ""margin"": ""1.75"", ""position"": ""1"", ""box"": ""5"", ""track"": ""SAL"", ""grade"": ""Grade 5""}]",,,,44531,,,Kennedy Harris,,,,Pegasus Bale Tammy,6,22.389,,6,,,,,,,BAL,Grade 5 Heat,435m,,partly_cloudy,5.8,88.0,13.5,8,2025-07-30,,Spicy Assassin,,,,,,,0,-0.8366561124070668,0.12319730741922368
,bal_2025-07-30_13,PAW ENNA,PAW ENNA,,,,,28.4,,,,6.0,22.596,8.675,,,1.25,1.25,,,2025-07-31 20:03:44.623896,enhanced_processor_with_results,"{""sex"": ""B"", ""track"": ""SHE"", ""distance"": ""390"", ""date"": ""2025-07-28"", ""grade"": ""Grade 5"", ""bonus"": ""21.559"", ""pir"": ""1"", ""w_2g"": ""XISAN BALE""}","[{""date"": ""2025-07-28"", ""time"": ""22.596"", ""margin"": ""1.25"", ""position"": ""1"", ""box"": ""6"", ""track"": ""SHE"", ""grade"": ""Grade 5""}, {""date"": ""2025-07-17"", ""time"": ""23.256"", ""margin"": ""3.75"", ""position"": ""2"", ""box"": ""3"", ""track"": ""WAR"", ""grade"": ""Grade 5""}, {""date"": ""2025-07-14"", ""time"": ""22.525"", ""margin"": ""2.75"", ""position"": ""1"", ""box"": ""6"", ""track"": ""BAL"", ""grade"": ""Grade 5 T3""}, {""date"": ""2025-07-10"", ""time"": ""23.89"", ""margin"": ""4.75"", ""position"": ""4"", ""box"": ""8"", ""track"": ""WAR"", ""grade"": ""Grade 5 T3""}, {""date"": ""2025-07-05"", ""time"": ""22.566"", ""margin"": ""3.5"", ""position"": ""3"", ""box"": ""8"", ""track"": ""SHE"", ""grade"": ""Grade 5""}]",,,,12143,,,Luke Harris,,,,Paw Enna,7,22.525,,7,,,,,,,BAL,Grade 5 Heat,435m,,partly_cloudy,5.8,88.0,13.5,8,2025-07-30,,Spicy Assassin,,,,,,,0,-0.11133371926799492,0.12508413322956338
,bal_2025-07-30_13,HARLEY,HARLEY,,,,,26.8,,,,15.0,23.474,8.402,,,8.75,8.75,,,2025-07-31 20:03:44.624226,enhanced_processor_with_results,"{""sex"": ""B"", ""track"": ""WAR"", ""distance"": ""400"", ""date"": ""2025-07-22"", ""grade"": ""Free For All"", ""bonus"": ""22.665"", ""pir"": ""6"", ""w_2g"": ""PLAY LAB""}","[{""date"": ""2025-07-22"", ""time"": ""23.474"", ""margin"": ""8.75"", ""position"": ""6"", ""box"": ""7"", ""track"": ""WAR"", ""grade"": ""Free For All""}, {""date"": ""2025-07-15"", ""time"": ""23.155"", ""margin"": ""2.75"", ""position"": ""4"", ""box"": ""3"", ""track"": ""WAR"", ""grade"": ""Mixed 3/4""}, {""date"": ""2025-07-08"", ""time"": ""22.939"", ""margin"": ""1.0"", ""position"": ""2"", ""box"": ""5"", ""track"": ""WAR"", ""grade"": ""Free For All""}, {""date"": ""2025-07-01"", ""time"": ""23.179"", ""margin"": ""1.25"", ""position"": ""2"", ""box"": ""7"", ""track"": ""WAR"", ""grade"": ""Mixed 3/4""}, {""date"": ""2025-06-24"", ""time"": ""22.94"", ""margin"": ""1.5"", ""position"": ""2"", ""box"": ""8"", ""track"": ""WAR"", ""grade"": ""Free For All""}]",,,,64222,,,Gregory Mills,,,,Harley,4,22.939,,4,,,,,,,BAL,Grade 5 Heat,435m,,partly_cloudy,5.8,88.0,13.5,8,2025-07-30,,Spicy Assassin,,,,,,,0,0.2543752699985082,0.1261444492408618
,bal_2025-07-30_13,SPICY ASSASSIN,SPICY ASSASSIN,,,,,29.2,,,,10.0,23.909,nan,,,9.0,9.0,,,2025-07-31 20:03:44.624610,enhanced_processor_with_results,"{""sex"": ""D"", ""track"": ""HOR"", ""distance"": ""410"", ""date"": ""2025-07-22"", ""grade"": ""Mixed 4/5"", ""bonus"": ""23.314"", ""pir"": ""4"", ""w_2g"": ""IDYLLIC JAMES""}","[{""date"": ""2025-07-22"", ""time"": ""23.909"", ""margin"": ""9.0"", ""position"": ""4"", ""box"": ""8"", ""track"": ""HOR"", ""grade"": ""Mixed 4/5""}, {""date"": ""2025-07-11"", ""time"": ""22.633"", ""margin"": ""1.0"", ""position"": ""2"", ""box"": ""8"", ""track"": ""GEE"", ""grade"": ""Grade 5""}, {""date"": ""2025-07-08"", ""time"": ""22.96"", ""margin"": ""1.25"", ""position"": ""3"", ""box"": ""1"", ""track"": ""WAR"", ""grade"": ""Free For All""}, {""date"": ""2025-07-02"", ""time"": ""25.808"", ""margin"": ""9.0"", ""position"": ""4"", ""box"": ""8"", ""track"": ""BAL"", ""grade"": ""Mixed 4/5""}, {""date"": ""2025-06-24"", ""time"": ""22.949"", ""margin"": ""1.75"", ""position"": ""3"", ""box"": ""2"", ""track"": ""WAR"", ""grade"": ""Free For All""}]",,,,42343,,,Belinda Connolly,,,,Spicy Assassin,1,22.633,,1,,,,,,,BAL,Grade 5 Heat,435m,,partly_cloudy,5.8,88.0,13.5,8,2025-07-30,,Spicy Assassin,,,,,,,1,-2.223724192715058,0.12026931781055696
,bal_2025-07-30_4,MOONLIGHT RIVER,MOONLIGHT RIVER,,,,,35.6,,,,2.4,25.477,nan,,,0.25,0.25,,,2025-07-31 18:08:52.539711,enhanced_processor_with_results,"{""sex"": ""D"", ""track"": ""BAL"", ""distance"": ""450"", ""date"": ""2025-07-23"", ""grade"": ""Mixed 6/7 Heat"", ""bonus"": ""25.141"", ""pir"": ""2"", ""w_2g"": ""ZIPPING SINGH""}","[{""date"": ""2025-07-23"", ""time"": ""25.477"", ""margin"": ""0.25"", ""position"": ""2"", ""box"": ""7"", ""track"": ""BAL"", ""grade"": ""Mixed 6/7 Heat""}, {""date"": ""2025-07-17"", ""time"": ""30.471"", ""margin"": ""18.0"", ""position"": ""7"", ""box"": ""3"", ""track"": ""SAN"", ""grade"": ""Mixed 6/7""}, {""date"": ""2025-07-10"", ""time"": ""29.999"", ""margin"": ""3.75"", ""position"": ""4"", ""box"": ""5"", ""track"": ""SAN"", ""grade"": ""Mixed 6/7""}, {""date"": ""2025-07-04"", ""time"": ""25.597"", ""margin"": ""4.5"", ""position"": ""1"", ""box"": ""8"", ""track"": ""GEE"", ""grade"": ""Mixed 6/7""}, {""date"": ""2025-06-19"", ""time"": ""25.569"", ""margin"": ""9.25"", ""position"": ""1"", ""box"": ""1"", ""track"": ""WAR"", ""grade"": ""Maiden""}]",,,,27411,,,Matthew Lanigan,,,,Moonlight River,4,25.477,,4,,,,,,,BAL,Mixed 6/7 Heat,450m,,partly_cloudy,7.1,83.0,12.0,7,2025-07-30,,Zipping Singh,,,,,,,0,-0.9210491345653833,0.14034848025002136
,bal_2025-07-30_4,APPLICATION,APPLICATION,,,,,29.2,,,,18.0,26.213,6.525,,,0.5,0.5,,,2025-07-31 18:08:52.540292,enhanced_processor_with_results,"{""sex"": ""D"", ""track"": ""WAR"", ""distance"": ""460"", ""date"": ""2025-07-15"", ""grade"": ""Mixed 6/7"", ""bonus"": ""26.017"", ""pir"": ""2"", ""w_2g"": ""EXTREME HAVOC""}","[{""date"": ""2025-07-15"", ""time"": ""26.213"", ""margin"": ""0.5"", ""position"": ""2"", ""box"": ""6"", ""track"": ""WAR"", ""grade"": ""Mixed 6/7""}, {""date"": ""2025-07-09"", ""time"": ""26.214"", ""margin"": ""10.25"", ""position"": ""8"", ""box"": ""8"", ""track"": ""BAL"", ""grade"": ""Mixed 6/7""}, {""date"": ""2025-07-02"", ""time"": ""25.778"", ""margin"": ""3.25"", ""position"": ""4"", ""box"": ""7"", ""track"": ""BAL"", ""grade"": ""Restricted Win""}, {""date"": ""2025-06-25"", ""time"": ""26.065"", ""margin"": ""0.75"", ""position"": ""3"", ""box"": ""1"", ""track"": ""BAL"", ""grade"": ""Mixed 6/7 Final""}, {""date"": ""2025-06-18"", ""time"": ""26.048"", ""margin"": ""1.75"", ""position"": ""2"", ""box"": ""7"", ""track"": ""BAL"", ""grade"": ""Mixed 6/7 Heat""}]",,,,28432,,,Lisa Delbridge,,,,Application,7,25.778,,7,,,,,,,BAL,Mixed 6/7 Heat,450m,,partly_cloudy,7.1,83.0,12.0,7,2025-07-30,,Zipping Singh,,,,,,,0,1.048222549936407,0.14775695469408387
