Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Beautiful Babe,B,5,2,28.0,381,2025-07-02,CANN,FFA,22.36,21.67,21.67,6.7,9.75,ASTON KENNEDY,5555,41.0
"",B,5,2,27.8,300,2025-06-26,MAND,4/5,17.41,17.04,17.04,6.85,5.25,Elite General,75,14.0
"",B,8,4,28.2,400,2025-05-30,MAND,5,23.23,22.45,22.28,6.58,11.0,Don't Tell Arlo,568,71.0
"",B,3,3,28.1,381,2025-05-21,CANN,4/5,22.25,21.91,21.7,6.65,4.75,Pint Of Special,2223,10.0
"",B,8,7,28.0,381,2025-05-14,CANN,3/4,22.56,21.86,21.79,6.83,10.0,HELLO BAILEY,7888,26.0
2. NEGRONI,B,1,4,31.6,275,2025-07-02,CANN,6,16.47,16.47,15.67,5.8,0.5,Aeroplane Penny,741,4.0
"",B,4,5,31.2,300,2025-06-26,MAND,5,17.54,17.28,17.04,6.83,3.75,Infrared Gem,74,26.0
"",B,5,1,31.2,300,2025-06-20,MAND,5/6,17.75,17.34,17.34,6.97,5.75,Trunkey Bling,85,8.0
"",B,7,7,30.9,300,2025-06-12,MAND,5,17.83,17.15,17.15,6.99,9.75,Liberty Rules,77,18.0
"",B,5,4,31.3,300,2025-06-03,MAND,4/5,17.71,17.09,17.09,6.95,8.75,Souls On Fire,65,18.0
3. Found The Brake,D,3,2,36.6,275,2025-07-02,CANN,5,16.55,16.12,15.67,5.72,6.0,Canya Gulfstream,753,9.5
"",D,5,2,36.5,275,2025-06-25,CANN,5,16.34,15.76,15.76,5.69,8.25,Toad,755,12.0
"",D,6,5,36.7,275,2025-06-18,CANN,4/5,16.63,16.02,16.02,5.73,8.75,Aussie Sigma,766,26.0
"",D,1,6,36.6,275,2025-06-11,CANN,6,16.15,16.15,15.85,5.64,2.5,Kenny Keeping,111,3.8
"",D,2,2,36.4,275,2025-06-04,CANN,6,16.29,16.17,16.17,5.67,1.75,Pad Up Owen,222,10.0
