Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. BELGIUM SLICE,B,4,3,31.0,410,2025-07-07,HOR,Maiden,24.21,23.679,23.001,10.93,8.0,WEBLEC POLLY,4,12.0
"",B,4,3,31.0,425,2025-06-29,BEN,Maiden,24.764,24.385,23.624,,5.75,SALTY SNOOP,4,3.6
2. DYNAMITE BETTY,B,2,2,26.7,410,2025-07-07,HOR,Maiden,24.014,23.679,23.001,10.58,5.0,WEBLEC POLLY,2,8.0
3. AIR SPEED,D,6,5,32.0,410,2025-05-20,HOR,Maiden,24.126,23.242,23.078,,13.25,LEKTRA SOLO,6,4.2
"",D,7,6,32.4,450,2025-05-08,WAR,Maiden Final,27.054,25.468,25.198,,23.75,MEPUNGA LILLY,7,21.0
4. NIGHTTIME,D,5,8,30.8,410,2025-07-07,HOR,Maiden,24.296,23.679,23.001,10.937,9.25,WEBLEC POLLY,5,8.0
6. SOLAR KELLY,B,8,6,25.3,410,2025-06-24,HOR,Maiden,25.118,23.635,23.283,,22.25,PAW DROGO,8,21.0
"",B,6,1,25.3,390,2025-06-09,BAL,Tier 3 - Maiden,23.732,22.9,22.404,,12.5,MICK SWAGGER,6,12.0
"",B,4,3,24.7,410,2025-05-31,HOR,Maiden,24.223,23.957,23.168,,4.0,CRUISING NAT,4,5.0
"",B,4,6,24.8,390,2025-05-26,WAR,Maiden,23.085,22.754,22.182,9.17675,5.0,DIMORA STRIPEY,4,21.0
"",B,4,8,25.6,410,2025-05-09,HOR,Maiden,24.083,23.558,23.247,,8.0,RUSTIC DUNDEE,4,12.0
7. Panama Jan,B,7,1,25.1,390,2025-07-03,WAR,Maiden,23.128,22.617,21.88,9.142,7.75,CONCRETE KAOS,7,10.0
"",B,6,2,25.1,390,2025-06-30,WAR,Maiden,23.185,22.512,22.299,,10.25,LEKTRA ROGER,6,14.0
"",B,6,4,25.7,410,2025-06-24,HOR,Maiden Final,24.766,23.379,23.283,11.127,20.75,PAW ZEVON,6,21.0
"",B,3,5,25.5,410,2025-06-17,HOR,Maiden Heat,24.24,23.716,23.306,10.3795,8.0,PAW ZEVON,3,14.0
"",B,5,3,25.2,410,2025-06-03,HOR,Maiden,24.262,23.931,23.326,,5.0,PAW YOCHELLE,5,10.0
8. SOLAR GOLD,D,6,7,33.3,410,2025-07-07,HOR,Maiden,24.357,23.679,23.001,11.1995,10.25,WEBLEC POLLY,6,4.8
"",D,5,3,32.9,390,2025-07-03,WAR,Maiden,22.769,22.617,21.88,8.995,2.5,CONCRETE KAOS,5,9.0
"",D,2,3,33.3,450,2025-06-19,WAR,Maiden,26.179,25.569,24.716,7.46875,9.25,MOONLIGHT RIVER,2,16.0
"",D,3,1,33.3,410,2025-06-10,HOR,Maiden,24.3,23.893,23.479,,6.25,Super Symon,3,10.0
"",D,4,4,32.9,410,2025-06-03,HOR,Maiden,24.083,23.931,23.326,,2.5,PAW YOCHELLE,4,8.0
