Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Max The Snappin',D,3,2,32.8,342,2025-07-05,AP/K,TG5+W,19.85,19.75,19.58,4.64,1.5,SUPREME THAILAND,3323,6.5
"",D,2,7,32.4,342,2025-06-24,AP/K,TG5+W,19.98,19.89,19.67,4.66,1.25,Spring Sophie,2222,10.0
"",D,6,5,32.6,342,2025-06-17,AP/K,TG5+W,20.94,20.08,19.69,4.71,12.25,Thundering Lady,6,8.5
"",D,3,5,33.3,342,2025-06-07,AP/K,TG5+W,20.24,19.84,19.84,4.68,5.75,Blue Energy,3,7.0
"",D,4,8,32.9,342,2025-06-03,AP/K,TG5+W,20.28,19.74,19.7,4.7,7.75,WIRRULLA MELVY,4444,8.0
2. Whiskey Roll,B,6,1,25.0,342,2025-07-05,AP/K,TG5+W,20.54,19.91,19.58,4.65,9.0,Kota Lambai,3656,3.4
"",B,3,7,25.6,400,2025-06-25,GAWL,TG5+W,23.49,22.88,22.87,8.86,8.75,Binnaway Mirage,2333,26.0
"",B,5,2,25.9,342,2025-06-21,AP/K,TG5+W,20.33,19.96,19.64,4.72,5.25,SUPER BREEZE,4455,10.0
"",B,2,8,26.0,300,2025-06-17,MBS,6,17.27,16.86,16.53,4.52,5.75,Terrific Baz,2,7.5
"",B,2,7,25.6,342,2025-06-07,AP/K,TG5+W,20.42,20.32,19.84,4.68,1.5,Smooth Vixen,2,16.0
3. Smooth Vixen,B,6,5,29.0,342,2025-07-05,AP/K,TG5+W,20.21,19.75,19.58,4.7,6.5,SUPREME THAILAND,6666,10.0
"",B,4,5,29.1,342,2025-06-21,AP/K,TG5+W,20.24,19.96,19.64,4.66,4.0,SUPER BREEZE,2234,15.0
"",B,3,2,29.0,342,2025-06-17,AP/K,TG5+W,20.23,20.14,19.69,4.75,1.25,Hawaii Sunrise,3,6.0
"",B,1,4,28.6,342,2025-06-07,AP/K,TG5+W,20.32,20.32,19.84,4.63,1.5,Whiskey Roll,1,17.0
"",B,3,1,28.2,342,2025-06-03,AP/K,TG5+W,20.16,19.74,19.7,4.65,6.0,WIRRULLA MELVY,2223,6.5
4. Hawaii Sunrise,B,5,7,27.6,342,2025-07-05,AP/K,TG5+W,20.07,19.75,19.58,4.67,4.5,SUPREME THAILAND,5555,5.5
"",B,3,5,27.4,342,2025-07-01,AP/K,TG5+W,20.03,19.65,19.65,4.56,5.25,WIRRULLA MELVY,2233,13.0
"",B,4,8,27.4,342,2025-06-24,AP/K,TG5+W,20.13,19.89,19.67,4.72,3.5,Spring Sophie,3444,3.5
"",B,1,4,27.4,342,2025-06-17,AP/K,TG5+W,20.14,20.14,19.69,4.67,0.75,Come Back Jess,1,2.9
"",B,1,5,28.3,342,2025-06-10,AP/K,TG5+W,20.12,20.12,19.41,4.65,0.5,Wood Carrier,1,2.8
6. As Charged,B,1,5,25.1,342,2025-07-05,AP/K,TG5+W,20.04,20.04,19.58,4.61,0.031,Golden Gangster,1111,7.0
"",B,5,8,24.8,342,2025-06-23,AP/K,6,20.22,19.43,19.43,4.64,11.25,Gin And Juice,4445,26.0
"",B,6,7,24.5,400,2025-06-18,GAWL,6,23.48,22.6,22.49,8.82,12.5,Town Stranger,6,21.0
"",B,1,1,24.8,342,2025-06-10,AP/K,TG5+W,20.16,20.16,19.41,4.6,0.75,Come Back Jess,1,2.0
"",B,3,1,24.8,342,2025-06-03,AP/K,TG5+W,20.01,19.83,19.7,4.62,2.5,NAUGHTY NUNG,3333,3.0
7. Ritza Riot,B,2,7,24.4,342,2025-07-05,AP/K,TG5+W,20.18,20.15,19.58,4.6,0.5,Blue Energy,2422,6.5
"",B,1,5,24.5,342,2025-07-01,AP/K,TG5+W,19.94,19.94,19.65,4.53,0.031,Flying Embers,1111,6.5
"",B,4,8,24.2,342,2025-06-21,AP/K,TG5+W,20.09,19.66,19.64,4.68,6.0,Pin Up,5444,18.0
"",B,6,4,24.7,342,2025-06-02,AP/K,5,20.35,19.65,19.65,4.78,10.0,SHORT AND STUMPY,6666,34.0
"",B,4,9,24.3,342,2025-05-10,AP/K,TG5+W,20.17,19.77,19.59,4.6,5.75,Techno Kelli,2344,3.7
8. Thundering Lady,D,3,5,34.5,342,2025-07-05,AP/K,TG5+W,20.26,19.91,19.58,4.79,5.0,Kota Lambai,6533,3.3
"",D,4,5,34.1,342,2025-07-01,AP/K,TG5+W,20.58,20.02,19.65,4.78,8.0,Come Back Jess,5244,7.5
"",D,4,2,34.2,350,2025-06-24,MBS,6,19.52,19.11,18.97,7.26,5.75,My Boy Bingo,7544,26.0
"",D,1,4,34.2,342,2025-06-17,AP/K,TG5+W,20.08,20.08,19.69,4.76,3.5,Orson Surfer,1,8.5
"",D,3,8,34.4,342,2025-06-07,AP/K,TG5+W,20.28,19.97,19.84,4.79,4.25,King Cordite,3,3.8
