Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. King Harada,D,2,2,35.6,600,2025-07-05,GRDN,5,34.77,34.74,34.74,9.58,0.5,Raging Saige,4422,6.0
"",D,3,4,35.8,622,2025-06-27,RICH,5,36.29,35.77,35.77,9.92,7.5,Great Terms,2443,16.0
"",D,5,8,35.5,520,2025-06-18,RICH,4/5,29.89,29.45,29.45,4.61,6.25,Zipping Dekkers,88665,61.0
"",D,4,8,35.5,520,2025-06-14,W/PK,5,30.42,29.64,29.63,5.74,11.0,Rosa Marie,6874,31.0
"",D,3,1,35.5,520,2025-06-07,W/PK,5,30.19,29.67,29.67,5.77,7.5,Overflow Jill,6763,8.5
2. Secret Mrs.,B,5,2,30.7,520,2025-06-25,RICH,4/5,30.48,30.1,29.97,4.5,5.25,Grand Blazer,66545,51.0
"",B,5,1,30.5,520,2025-06-21,W/PK,5,30.39,29.75,29.41,5.59,9.25,UNLEASH IN MIAMI,7555,41.0
"",B,4,8,30.7,515,2025-06-17,GOSF,4/5,29.83,29.33,29.33,4.57,7.0,She's That Girl,75544,51.0
"",B,4,7,31.5,520,2025-05-28,RICH,4/5,30.32,29.95,29.67,4.41,5.25,Zipping Marquez,21444,51.0
"",B,2,2,31.7,520,2025-05-07,RICH,5,30.3,30.06,30.06,4.41,3.5,Angelic Baroque,42322,7.5
3. Trunkey Mink,B,7,7,26.1,520,2025-07-05,W/PK,5,30.24,29.67,29.45,5.69,8.25,Out Of Style,5677,41.0
"",B,4,1,25.9,525,2025-06-01,BKHL,NG,30.67,29.98,29.98,,9.75,PAW OSWALD,4,61.0
"",B,2,2,25.9,525,2025-05-25,BKHL,NG,30.59,30.51,29.97,,1.0,Mango Cans,2,9.5
"",B,7,1,26.3,520,2025-04-26,W/PK,NG,30.52,29.79,29.49,5.57,10.25,She's That Girl,2347,34.0
"",B,3,7,25.7,520,2025-04-17,W/PK,5,30.22,29.88,29.67,5.52,4.75,Always Over,1343,5.5
4. Rev On Reggie,D,3,4,32.4,520,2025-07-05,W/PK,5,30.42,29.64,29.45,5.63,11.0,Taw Galaxy,6643,81.0
"",D,7,8,33.9,400,2025-04-29,BUL,4/5,22.96,22.4,22.4,6.84,8.0,Mustang Ethics,8887,41.0
"",D,6,2,33.6,297,2025-04-24,DAPT,NG1-4,17.53,17.07,17.04,5.51,6.5,Roses Ring,766,18.0
"",D,4,8,32.9,440,2025-04-11,GOUL,5,24.93,24.76,24.64,,2.25,Aussie Blend,3434,11.0
"",D,1,8,32.6,350,2025-03-28,GOUL,4/5,20.11,20.11,19.78,6.47,0.75,Me Spook,8511,7.0
6. In The Sky,B,8,7,24.1,520,2025-07-05,W/PK,5,30.85,29.69,29.45,5.63,16.5,Santino Kade,1358,34.0
"",B,3,7,24.1,520,2025-06-26,W/PK,5,30.27,30.14,29.75,5.58,1.75,We Can't Stop,2353,18.0
"",B,4,8,24.1,350,2025-06-20,GOUL,5,20.35,19.82,19.74,,7.5,Saint Omagh,6654,9.0
"",B,8,1,24.5,520,2025-05-17,W/PK,5,30.57,29.72,29.63,5.69,12.25,Mark To Market,8868,8.0
"",B,7,3,24.5,400,2025-05-12,DUBO,4/5,23.96,22.98,22.85,9.57,14.0,Westside Bliss,6677,6.0
7. Our Inspiration,B,2,2,27.0,401,2025-07-02,RICH,5,23.09,23.04,22.88,6.8,0.75,Zipping Marquez,3222,5.5
"",B,4,2,26.9,520,2025-06-29,RICH,4/5,30.45,30.0,30.0,4.4,6.25,Zipping Braddock,23444,3.8
"",B,4,8,26.8,520,2025-06-25,RICH,4/5,30.43,30.1,29.97,4.42,4.75,Grand Blazer,35764,23.0
"",B,3,2,26.8,520,2025-06-18,RICH,4/5,29.88,29.45,29.45,4.55,6.0,Zipping Dekkers,77553,23.0
"",B,2,6,26.8,401,2025-06-13,RICH,5,23.14,22.8,22.8,6.97,4.75,Unleash Shirley,5652,8.0
8. Raging Saige,B,1,3,24.3,600,2025-07-05,GRDN,5,34.74,34.74,34.74,9.3,0.5,King Harada,2111,3.4
"",B,6,5,24.1,600,2025-06-21,GRDN,4/5,35.62,34.58,34.58,9.92,14.75,Kenzie Robbo,7776,6.0
"",B,1,7,24.0,515,2025-06-13,GRDN,5,29.74,29.74,29.74,5.06,3.0,Kiss Me Augie,5311,3.3
"",B,5,3,24.1,400,2025-06-07,GRDN,NG,23.14,22.47,22.47,11.57,9.5,Mark To Market,455,15.0
"",B,6,6,24.2,527,2025-06-01,GUNN,NG,30.74,30.47,30.24,3.58,3.75,Player One,2466,26.0
