Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. INGA AMY,B,4,2,25.8,300,2025-07-11,HEA,Grade 5 T3,17.087,16.882,16.75,3.9745,3.25,NITROUS,4,12.0
"",B,2,8,25.8,390,2025-06-30,WAR,Grade 5,22.513,22.345,22.299,,2.75,PAW MUNICH,2,10.0
"",B,4,4,25.8,390,2025-06-23,WAR,Grade 5,22.695,22.352,21.991,8.873,5.25,GO BACK,4,8.0
"",B,7,7,25.8,390,2025-06-16,WAR,Grade 5,23.479,22.443,22.192,,15.5,MAGIC MILEY,7,8.0
"",B,6,6,25.9,390,2025-06-09,WAR,Mixed 4/5,22.844,22.475,22.309,8.8675,5.75,Aldren Bale,6,9.0
2. WALTER WALRUS,D,5,6,34.4,450,2025-07-14,SHE,Grade 5,25.843,25.545,25.077,,4.5,VALLETTA MOON,5,6.5
"",D,2,8,34.6,450,2025-07-05,SHE,Mixed 4/5,25.578,25.414,25.414,6.75175,2.5,Shiny Ink,2,15.0
"",D,7,5,35.3,425,2025-06-29,BEN,Grade 5,24.389,23.798,23.624,,9.0,Dad's Last Run,7,15.0
"",D,7,3,36.7,390,2025-05-26,SHE,Grade 5,22.843,22.022,21.908,,12.5,RED ED,7,5.0
"",D,5,2,35.9,425,2025-03-14,BEN,Grade 5,24.204,23.759,23.579,,6.75,Roy Kent,5,8.0
3. TRESPASSING,D,2,7,34.3,530,2025-06-05,AP/K,TG1-6W,31.52,31.52,30.55,5.43,0.031,NATIONAL GRID,11112,21.0
"",D,5,1,34.5,530,2025-05-29,AP/K,TG1-6W,31.35,31.12,30.52,5.41,3.25,Zinfandel Lisa,33355,2.2
"",D,6,5,34.4,525,2025-05-25,BKHL,NG,31.35,30.51,29.97,,12.0,Mango Cans,6,51.0
"",D,6,2,34.7,530,2025-05-22,AP/K,6,31.46,30.99,30.2,5.47,6.5,HOME TOWN,66666,7.5
"",D,3,5,34.2,530,2025-05-15,AP/K,6,31.14,30.88,30.48,5.39,3.75,Hey Sarge,33333,4.6
4. MAX KANE,D,7,3,32.2,390,2025-07-09,BAL,Grade 5 Heat,22.847,22.125,22.065,,11.0,Wario,7,12.0
"",D,7,2,31.8,425,2025-06-20,BEN,Grade 5,24.818,24.239,23.851,,8.75,DON'T TELL SHELL,7,6.5
"",D,4,6,32.3,390,2025-05-26,BAL,Grade 5 T3,22.646,22.296,22.296,8.6825,5.25,Kaluna Chaos,4,8.0
"",D,1,6,31.9,425,2025-05-17,BEN,Grade 5,24.432,24.432,24.291,,2.0,TWO BAYS,1,7.0
"",D,2,6,32.0,390,2025-05-10,BAL,Grade 5,22.672,22.562,21.963,8.76,1.75,COLLINDA PEARL,2,7.0
5. Blue Tick Nelson,D,7,9,32.4,425,2025-07-18,BEN,S/E Veteran,24.538,23.945,23.807,6.79,9.0,Blue Cabang,7,21.0
"",D,5,5,32.8,450,2025-07-10,SHE,Grade 5 T3,25.971,25.645,25.645,6.731,5.0,THERMAL FLAME,5,8.5
"",D,1,3,32.4,450,2025-07-03,SHE,Grade 5 T3,26.162,26.162,25.269,6.83425,1.0,PRESS START,1,15.0
"",D,7,6,32.0,450,2025-06-23,BAL,Grade 5 T3,26.797,26.032,25.826,7.022,11.5,SANTORINI BALE,7,12.0
"",D,2,1,31.6,410,2025-06-17,HOR,Grade 5,23.993,23.677,23.306,,4.75,George's Best,2,4.6
6. INGA BUDDY,D,7,7,30.0,390,2025-07-10,WAR,Mixed 3/4,22.82,22.008,22.008,,12.25,MISCHIEF MATE,7,14.0
"",D,3,2,30.3,390,2025-07-03,WAR,Mixed 4/5,22.382,21.88,21.88,,7.5,LIGHTNING RANGE,3,10.0
"",D,1,8,30.3,390,2025-06-26,WAR,Grade 5,22.09,22.09,21.771,8.63,5.25,Bert Deeds,1,4.8
"",D,7,3,30.9,350,2025-06-22,HEA,Grade 5,19.8,19.464,18.976,6.6725,5.25,SUN IN CUBA,7,15.0
"",D,3,5,30.8,350,2025-06-15,HEA,Grade 5,19.497,19.399,19.165,6.6725,1.5,ZINZAN CHARLIE,3,9.0
7. MISS MELEE,B,4,4,27.8,390,2025-07-14,SHE,Grade 5,22.651,22.528,21.935,,2.0,THAT'S MY COUSIN,4,5.5
"",B,3,5,28.1,390,2025-07-07,SHE,Grade 5,22.773,22.712,22.025,,1.0,KRAKEN COOL,3,6.5
"",B,1,8,28.0,425,2025-07-02,BEN,Grade 5,24.138,24.138,24.131,,3.0,RHINE STAR,1,10.0
"",B,5,7,27.8,350,2025-06-25,HEA,Grade 5,19.946,19.491,19.491,6.75625,7.0,Cash Now,5,4.2
"",B,4,6,27.9,350,2025-06-13,HEA,Grade 5 T3,20.09,19.637,19.474,6.751,7.0,Nimbostratus,4,5.0
8. Blitz,B,3,1,27.3,400,2025-07-10,WAR,Grade 5 T3,23.554,23.538,22.987,8.5775,0.25,Inter Cyborg,3,10.0
"",B,3,6,27.2,390,2025-07-05,SHE,Grade 5,22.74,22.28,22.22,8.6925,7.0,Dashing Nando,3,5.5
"",B,2,1,27.5,400,2025-06-19,WAR,Grade 5 T3,23.045,22.789,22.789,8.535,4.0,HOW DELIGHTFUL,2,8.0
"",B,4,4,27.7,435,2025-06-11,SAL,Grade 5,25.227,24.959,24.414,,4.0,SPLASHED,4,15.0
"",B,4,3,27.3,410,2025-05-31,HOR,Grade 5,23.749,23.431,23.168,,4.75,GUITAR TANGO,4,15.0
