Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. JOROGUMO,D,3,6,33.4,425,2025-07-11,BEN,Grade 5,24.126,23.858,23.858,,4.0,DASH OF WHISKY,3,6.5
"",D,2,4,33.0,425,2025-07-04,BEN,Grade 5,24.173,24.072,23.619,,1.75,GUNAI WALK ABOUT,2,6.5
"",D,3,7,33.7,460,2025-06-24,WAR,Grade 5 Final,26.109,26.033,26.021,6.624,1.25,DR. GILLIAN,3,10.0
"",D,2,8,33.6,460,2025-06-17,WAR,Grade 5 Heat,26.017,25.935,25.776,,1.25,FADE TO BLACK,2,4.8
"",D,3,6,33.8,460,2025-06-13,WAR,Grade 5,26.123,25.977,25.695,,2.25,BUSHMAN'S ARCHIE,3,4.2
2. My Lady Panama,B,2,8,27.5,515,2025-07-10,SAN,Grade 5,29.991,29.909,29.335,,1.25,HERE COMES DEZEL,2,16.0
"",B,2,5,27.1,450,2025-07-03,WAR,Grade 5,25.442,25.025,25.025,6.48,6.25,NEEDFUL,2,10.0
"",B,3,6,27.7,410,2025-06-17,HOR,Mixed 4/5,23.73,23.429,23.306,10.37,4.5,PAW TONK,3,16.0
"",B,1,2,27.1,410,2025-06-10,HOR,Grade 5,23.749,23.749,23.479,,1.5,PAW GREGSON,1,2.6
"",B,1,1,27.1,400,2025-06-08,MT/G,4/5,23.22,23.22,23.14,10.7,1.75,LAKEVIEW HEATHER,1,1.7
3. LEWIS,D,8,4,35.4,525,2025-07-12,MEA,Grade 5,30.928,30.247,29.806,,10.25,GALENTO,8,11.0
"",D,1,8,35.4,515,2025-07-07,SAN,Grade 5,29.898,29.898,29.335,5.1325,1.75,WINCKIE BALE,1,5.0
"",D,1,8,35.1,460,2025-06-10,WAR,Restricted Win,26.004,26.004,25.931,,1.75,ELSWYK SID,1,2.3
"",D,1,2,35.1,460,2025-06-03,WAR,Mixed 6/7,26.139,26.139,26.103,,1.75,Despicable Andy,1,2.3
"",D,4,1,35.1,400,2025-05-27,WAR,Mixed 6/7,23.336,22.92,22.616,8.824,6.25,Challenger,4,2.4
4. MINH TEDDY,D,4,6,33.4,515,2025-07-10,SAN,Grade 5,30.046,29.909,29.335,,2.25,HERE COMES DEZEL,4,10.0
"",D,7,7,33.4,515,2025-07-03,SAN,Grade 5,30.158,29.738,29.334,,6.5,FEIKUAI CALVIN,7,4.6
"",D,8,5,34.0,515,2025-06-12,SAN,Grade 5,30.501,29.687,29.432,,12.25,MAIA,8,6.5
"",D,5,4,34.0,515,2025-06-05,SAN,Grade 5,30.042,29.586,29.344,,7.0,Spritely Sian,5,6.0
"",D,1,5,34.0,515,2025-05-26,SAN,Mixed 3/4,29.476,29.476,29.256,,0.25,INTREPID BALE,1,6.0
5. STORMY SECRET,D,3,2,33.2,515,2025-07-10,SAN,Grade 5,30.004,29.909,29.335,,1.5,HERE COMES DEZEL,3,8.0
"",D,5,2,33.0,515,2025-07-03,SAN,Grade 5,30.008,29.738,29.334,,4.25,FEIKUAI CALVIN,5,7.5
"",D,1,2,33.3,460,2025-06-24,WAR,Mixed 4/5,26.021,26.021,26.021,6.5635,1.75,JUNIOR'S MATE,1,11.0
"",D,7,4,33.0,450,2025-06-18,BAL,Grade 5,26.094,25.577,25.124,,7.75,GLORIA'S ENTITY,7,4.6
"",D,6,5,32.8,460,2025-06-13,GEE,Group Listed,26.543,25.959,25.404,6.87375,8.75,BALLAN BRUMBY,6,8.0
6. LASSARD,D,1,4,34.7,525,2025-07-12,MEA,Grade 5,30.346,30.346,29.806,,1.0,ZAMBORA BLISS,1,4.2
"",D,4,3,34.9,525,2025-07-05,MEA,Grade 5,30.484,29.913,29.913,,8.75,HOT NANU,4,5.5
"",D,3,8,34.7,525,2025-06-28,MEA,Grade 5,30.25,30.143,29.843,5.17,1.75,KIWI JAY,3,3.0
"",D,8,2,34.6,515,2025-06-19,SAN,Grade 5,30.149,29.572,29.269,,8.75,MITZI ROCKS,8,6.5
"",D,3,6,34.5,515,2025-06-12,SAN,Grade 5,29.802,29.677,29.432,,2.0,Tarawi Therese,3,9.0
7. MONEY PALACE,D,5,3,29.6,515,2025-07-10,SAN,Grade 5,30.046,29.909,29.335,,2.25,HERE COMES DEZEL,5,12.0
"",D,5,6,30.2,460,2025-07-04,WAR,Mixed 4/5,26.659,26.113,26.113,,8.25,PARABOLE RICO,5,21.0
"",D,6,2,30.1,515,2025-06-23,SAN,Mixed 4/5,30.202,29.45,29.45,5.253,11.25,SLICK SPLITS,6,8.0
"",D,7,6,30.4,515,2025-06-12,SAN,Grade 4,29.987,29.563,29.432,,6.5,PAW PHELPS,7,12.0
"",D,4,8,30.3,515,2025-06-05,SAN,Grade 4,30.064,29.522,29.344,,8.25,PEAKY JOE,4,12.0
8. INVICTUS BLUE,D,4,8,34.3,515,2025-07-10,SAN,Grade 5,29.778,29.344,29.335,,6.5,PAW ZURI,4,12.0
"",D,3,3,34.7,515,2025-06-30,SAN,Mixed 4/5,30.06,29.477,29.444,,8.75,Where's Poppy,3,18.0
"",D,7,8,34.2,460,2025-06-20,GEE,Mixed 4/5,26.197,25.57,25.57,,9.5,BEACH BOURBSKI,7,12.0
"",D,6,2,34.2,515,2025-06-12,SAN,Mixed 3/4,30.127,29.564,29.432,,8.5,Field Day,6,21.0
"",D,3,2,34.3,515,2025-06-05,SAN,Grade 4,29.909,29.522,29.344,,6.0,PEAKY JOE,3,8.0
9. Black Spectre,D,7,9,30.7,515,2025-07-17,SAN,Grade 5,30.405,29.738,29.066,,10.0,FLYING DINAR,7,51.0
"",D,7,2,30.7,350,2025-07-13,HEA,Grade 5,19.779,19.379,18.958,6.68375,6.0,KILL YOUR SMILE,7,8.0
"",D,1,6,30.5,515,2025-07-07,SAN,Grade 5 Final,29.874,29.874,29.335,,1.25,GARRITTY,1,10.0
"",D,1,6,30.7,515,2025-06-30,SAN,Grade 5 Tier 3 Heat,29.83,29.83,29.444,,5.25,STEELE JAKIT,1,4.0
"",D,2,7,30.4,525,2025-06-25,MEA,Grade 5 T3,30.771,30.592,30.209,5.2875,2.75,GARRITTY,2,8.5
10. SNITCH ADAMS,D,1,1,33.4,460,2025-07-11,WAR,Grade 5,26.213,26.213,25.851,6.59,1.25,ONCE MORE,1,6.0
"",D,5,8,33.0,515,2025-07-07,SAN,Grade 5 Final,30.236,29.874,29.335,,5.5,Black Spectre,5,4.6
"",D,2,1,33.3,515,2025-06-30,SAN,Grade 5 Tier 3 Heat,30.151,29.972,29.444,,2.75,CLONCURRY GOLD,2,3.7
"",D,4,3,33.4,510,2025-06-22,SAL,Grade 5,29.446,28.669,28.669,,11.75,HERE COMES DEZEL,4,9.0
"",D,6,8,33.6,460,2025-06-17,WAR,Mixed 4/5,26.565,25.776,25.776,7.009,12.0,PAW FREDRICK,6,7.0
