Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Bogan Knows,D,6,3,34.2,318,2025-06-22,DUBO,5,19.03,18.32,18.13,4.88,10.0,Peach Mac,5666,10.0
"",D,8,4,34.0,400,2025-06-14,DUBO,5,24.72,23.2,22.86,9.34,21.75,Slippery Bogan,7688,11.0
"",D,3,4,33.9,400,2025-06-07,DUBO,5,23.61,23.27,23.22,9.4,4.75,PAW XAVIER,2433,5.5
"",D,7,5,33.9,400,2025-05-31,DUBO,5,23.92,23.23,23.21,9.63,9.75,Cody The Champ,6777,7.5
"",D,5,7,33.9,400,2025-05-26,DUBO,5,23.81,23.11,23.11,9.56,10.0,Lone Maverick,6555,2.9
2. Cleo's A Chance,B,6,3,27.7,350,2025-06-17,GRAF,5,21.06,20.2,19.77,4.29,12.25,Lenny Large,7876,4.8
"",B,2,6,27.0,340,2025-06-11,GUNN,5,19.85,19.74,19.52,6.67,1.5,SNOWFEST,5422,21.0
"",B,8,3,27.6,340,2025-03-05,GUNN,4/5,22.31,19.53,19.49,,39.75,Jock,8888,34.0
"",B,5,1,27.5,340,2025-02-26,GUNN,4/5,20.43,19.91,19.21,,7.5,Goofy Gilligan,6855,5.0
"",B,8,2,27.9,450,2024-12-30,MAIT,5,28.35,25.25,25.24,9.28,44.25,Solo Fernando,8888,9.5
3. Mahome Boy,D,6,7,32.2,318,2025-06-22,DUBO,5,19.07,18.38,18.13,4.78,9.75,Tralee Enzo,1666,8.0
"",D,2,6,31.9,400,2025-06-07,DUBO,5,23.57,23.27,23.22,9.36,4.25,PAW XAVIER,3122,6.5
"",D,6,8,32.0,400,2025-05-24,DUBO,4/5,23.46,22.98,22.95,9.12,6.75,From The Disco,2466,61.0
"",D,7,7,32.0,318,2025-05-17,DUBO,4/5,19.05,18.21,18.03,4.84,12.0,Blaine Keeping,7777,41.0
"",D,5,1,32.0,340,2025-05-07,GUNN,5,20.22,19.57,19.57,6.8,9.25,Imperial Chop,4655,6.0
4. Small Town Jet,D,3,3,32.6,400,2025-06-22,DUBO,5,23.53,23.32,22.54,9.16,3.0,Slippery Bogan,1133,41.0
"",D,6,7,34.6,400,2025-05-24,DUBO,5,23.93,23.37,22.95,9.41,8.0,EVIE'S PROMISE,6666,5.5
"",D,4,7,34.6,400,2025-05-10,DUBO,5,23.73,23.48,23.16,9.42,3.5,Cecily Cargo,5244,13.0
"",D,6,1,34.1,400,2025-04-28,DUBO,5,23.77,22.89,22.81,9.16,12.5,From The Disco,2666,10.0
"",D,6,5,33.9,400,2025-04-19,DUBO,5,24.19,23.92,22.91,9.35,3.75,Grand Artist,1466,9.5
5. Raven Beach,B,7,5,28.3,340,2025-06-25,GUNN,5,20.47,19.76,19.59,6.81,10.0,CHANCY NANCY,6877,101.0
"",B,7,6,27.9,431,2025-06-18,GUNN,5,25.81,24.76,24.76,11.95,15.0,Danny Whizz Bang,7677,61.0
"",B,7,4,27.9,400,2025-06-14,DUBO,5,23.78,22.95,22.86,9.39,11.75,Shorty,3777,101.0
"",B,3,1,27.7,400,2025-05-31,DUBO,4/5,23.67,23.3,23.21,9.45,5.25,EVIE'S PROMISE,5333,23.0
"",B,6,7,27.8,318,2025-05-26,DUBO,5,19.15,18.5,18.47,4.9,9.25,Bridge Wednesday,1666,9.5
6. Lend Me Sixty,D,6,6,27.5,400,2025-03-01,DUBO,5,23.96,22.94,22.78,9.56,14.5,Tin Roof Rusty,1666,51.0
"",D,8,8,27.8,400,2025-02-22,DUBO,5,24.19,23.33,22.73,9.66,12.25,One Number Away,3888,23.0
"",D,5,4,27.8,516,2025-02-08,DUBO,MX,31.19,30.02,29.21,4.65,16.75,Silvey's Girl,364555,35.0
"",D,6,1,28.3,516,2025-01-25,DUBO,MX,30.9,30.09,29.94,4.6,11.5,Extraordinaire,166766,21.0
"",D,5,8,28.4,400,2024-12-30,DUBO,5,23.81,23.11,22.65,9.56,10.0,Urban Hype,6655,41.0
7. MELTING MOMENTS,B,7,4,26.0,401,2025-06-20,RICH,5,24.1,23.62,22.6,7.0,6.75,Wicked Raven,1157,8.5
"",B,6,6,25.7,401,2025-06-13,RICH,5,23.6,23.03,22.8,6.94,8.25,Wraps,2356,26.0
"",B,7,8,26.0,525,2025-06-06,WAGA,5,31.27,30.47,30.47,5.35,11.5,Stew Bob,7,81.0
"",B,4,7,26.0,525,2025-05-30,WAGA,5,31.04,30.7,30.56,5.23,4.75,Tango Anna,4,34.0
"",B,8,1,26.8,440,2025-05-23,GOUL,5,25.67,24.81,24.69,,12.25,Clattered,46878,51.0
8. Coco Cargo,D,7,3,33.9,318,2025-06-22,DUBO,5,19.08,18.38,18.13,4.97,10.0,Tralee Enzo,4777,15.0
"",D,3,9,33.7,318,2025-06-14,DUBO,4/5,18.71,18.52,18.17,5.02,2.5,Armatree Ace,8433,61.0
"",D,6,5,33.4,400,2025-06-07,DUBO,5,23.75,23.27,23.22,9.66,6.75,PAW XAVIER,4766,51.0
"",D,5,7,33.5,318,2025-05-26,DUBO,M2/M3,19.11,18.58,18.47,4.97,7.5,Slick Honey,7755,12.0
"",D,7,8,33.4,400,2025-05-03,DUBO,M2/M3,23.48,23.18,22.77,9.53,4.25,Scorching Boy,7777,71.0
