Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. HAMISH ROSE,D,6,8,33.9,435,2025-07-09,SAL,Grade 5,24.949,24.702,24.702,,3.75,DOCTOR MINTY,6,3.6
"",D,4,2,33.8,435,2025-07-06,SAL,Grade 5,25.089,24.495,24.398,,9.0,DR. HAROLD,4,6.0
"",D,6,3,33.9,435,2025-06-29,SAL,Mixed 4/5,25.231,24.357,24.357,,13.25,PAW ZELINI,6,12.0
"",D,7,10,34.1,435,2025-06-27,SAL,Mixed 4/5,25.045,24.249,24.249,,12.0,Golden Bear,7,12.0
"",D,4,2,34.3,435,2025-06-22,SAL,Free For All,24.759,24.299,24.261,,7.0,DR. YANNICK,4,10.0
2. FIRE UP MARK,D,3,3,36.6,460,2025-07-04,WAR,Mixed 4/5,26.468,26.113,26.113,,5.5,PARABOLE RICO,3,10.0
"",D,4,6,36.3,435,2025-06-27,SAL,Mixed 4/5,24.585,24.249,24.249,,5.25,Golden Bear,4,6.0
"",D,4,2,36.5,435,2025-06-22,SAL,Mixed 4/5,24.749,24.268,24.261,,7.25,IT'S MIKADO TIME,4,3.6
"",D,7,9,36.6,435,2025-06-15,SAL,Grade 5 Final,24.96,23.982,23.982,5.266,14.75,PAW WHISTLER,7,10.0
"",D,3,7,36.6,435,2025-06-08,SAL,Grade 5 Heat,24.53,24.118,24.053,,6.25,Cookie Man,3,10.0
3. TRENDY TOMMY,D,1,2,29.3,460,2025-06-13,WAR,Restricted Win Heat,26.154,26.154,25.695,,1.75,LEVIATHAN,1,6.5
"",D,2,3,29.0,510,2025-06-08,SAL,Restricted Win,28.805,28.799,28.799,9.26,0.25,AMRON TOMMY,2,4.6
"",D,6,4,28.8,460,2025-05-30,WAR,Grade 5,26.498,26.186,25.731,,4.75,FIRE UP MARK,6,6.5
"",D,6,5,28.7,435,2025-05-18,SAL,Grade 5,25.11,24.689,24.177,,6.5,SPICY ASSASSIN,6,4.8
"",D,1,5,28.8,435,2025-05-09,SAL,Grade 6,24.578,24.578,24.196,,2.25,MATILDA ROSE,1,7.5
4. ITHACAN GODDESS,B,1,8,27.9,400,2025-07-01,WAR,Grade 5,23.136,23.136,22.631,,1.0,PAW JUDD,1,13.0
"",B,7,2,27.2,350,2025-04-27,HEA,Mixed 4/5,19.854,19.312,19.312,,8.25,FIFTY SHORT,7,26.0
"",B,6,2,27.6,400,2025-04-18,WAR,Free For All,23.002,22.398,22.346,8.582,9.25,Lightning Jewel,6,51.0
"",B,7,1,27.3,300,2025-04-06,HEA,Mixed 4/5,17.087,16.683,16.436,,6.25,BULL DURHAM,7,10.0
"",B,5,6,26.4,515,2024-12-05,SAN,S/E Heat,30.312,29.486,28.975,5.129,12.5,Rosa Marie,5,5.0
5. PEAKY AVENGER,B,3,6,26.5,300,2025-07-06,HEA,Grade 5,17.144,16.937,16.688,3.985,3.25,ZOOM BOOM,3,4.4
"",B,8,7,26.6,425,2025-06-29,BEN,Mixed 4/5,24.572,23.932,23.624,6.52675,9.75,PAW UTILITY,8,21.0
"",B,2,8,26.6,435,2025-06-22,SAL,Grade 5,24.491,24.261,24.261,,3.5,CANYA ULTIMATE,2,8.0
"",B,2,7,26.8,400,2025-06-17,WAR,Mixed 4/5,22.987,22.935,22.676,8.4975,1.0,TINKER DOT,2,3.4
"",B,1,8,26.9,400,2025-06-07,GEE,Grade 5,22.787,22.787,22.472,8.35,5.25,BURN AROUND,1,4.6
6. BANDARI,D,3,4,30.9,510,2025-06-11,SAL,Grade 5,29.385,29.224,29.168,,2.5,MAGICAL PAWS,3,3.6
"",D,2,8,30.2,510,2025-06-04,SAL,Grade 5 T3,29.344,28.999,28.999,,5.25,WARRIOR ETHAN,2,10.0
"",D,5,2,29.8,510,2025-05-28,SAL,Grade 5,29.668,29.453,29.453,9.765,3.25,Our Tiger Norma,5,5.5
"",D,5,1,30.1,435,2025-05-21,SAL,Grade 5 T3,25.428,24.985,24.795,,6.75,BRAEMAR MOLLY,5,6.5
