Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. MEAL TICKET,B,4,1,24.6,450,2025-06-14,BAL,Mixed 4/5,26.262,25.998,25.721,6.88975,4.0,DON'T TELL SHELL,4,6.5
"",B,4,1,24.7,390,2025-06-02,WAR,Grade 5,22.789,22.484,22.237,,4.75,CLOUDY WREN,4,4.6
"",B,7,4,24.8,450,2025-05-26,WAR,Grade 5,26.53,26.059,25.669,,7.25,NOAH'S BEST,7,5.0
"",B,6,2,24.9,400,2025-05-23,WAR,Grade 5 T3,23.348,22.905,22.613,8.795,6.75,PAW JUDAS,6,10.0
"",B,5,6,25.4,390,2025-05-19,WAR,Grade 5,22.805,22.69,22.396,9.047,1.75,RINGER'S GIRL,5,4.0
2. LOVE A BOURBSKI,D,4,1,32.8,425,2025-06-25,BEN,Grade 5 T3,24.505,24.274,24.085,,3.5,GOOSEBUMPS RICO,4,8.0
"",D,6,7,32.3,425,2025-06-20,BEN,Grade 5,24.582,24.239,23.851,,5.25,DON'T TELL SHELL,6,12.0
"",D,6,6,32.4,410,2025-06-17,HOR,Grade 5,25.135,23.905,23.306,,18.5,SAMMY SUNG,6,14.0
"",D,3,8,32.0,400,2025-06-10,GEE,Mixed 4/5,23.043,22.819,22.704,,3.5,BIG CONE TONE,3,4.8
"",D,5,3,31.8,425,2025-06-04,BEN,Grade 5,24.759,24.489,24.282,,4.25,Rostron,5,2.5
3. BOULDER DASH,B,8,1,25.8,390,2025-06-26,SHE,Grade 5,22.68,22.338,22.316,,5.25,BINGO DASH,8,6.5
"",B,1,4,25.2,425,2025-06-21,BEN,Grade 5,24.653,24.653,24.051,,1.0,SPEEDY FYNN,1,5.5
"",B,8,10,25.4,425,2025-06-11,BEN,Grade 5 T3,25.273,24.64,24.174,,9.5,SMOKIN' GRACIE,8,6.0
"",B,6,6,25.4,400,2025-06-05,MT/G,TG1-4W,24.07,23.57,23.32,,7.0,Galactic Jinn,5686,7.5
"",B,7,8,25.6,450,2025-06-02,BAL,Grade 5 T3,26.037,25.727,25.307,6.85875,4.75,Pretty Capri,7,5.0
4. Craig Keeping,D,7,5,34.8,425,2025-06-18,BEN,Grade 5 T3,25.497,24.426,24.139,,16.0,NICKLEBY ACTION,7,9.0
"",D,6,8,35.2,410,2025-06-10,HOR,Grade 5,24.584,23.749,23.479,,12.5,My Lady Panama,6,8.0
"",D,2,8,35.2,425,2025-06-04,BEN,Grade 5,24.651,24.528,24.282,,2.0,DERNANCOURT,2,3.0
"",D,4,2,34.2,390,2025-01-13,BAL,Grade 5 T3,23.055,22.267,22.076,8.545,12.0,LORD PANAMA,4,5.5
"",D,1,1,34.1,390,2025-01-06,BAL,Tier 3 - Grade 6,22.556,22.556,22.433,8.38,4.25,PIPPA,1,3.8
6. SULTAN OF SWOON,D,5,1,37.2,390,2025-06-26,WAR,Grade 5,22.96,22.09,21.771,8.994,13.0,INGA BUDDY,5,4.0
"",D,7,3,37.7,390,2025-05-19,WAR,Grade 5,23.48,22.742,22.396,,11.25,GARY KNEW IT,7,4.8
"",D,1,8,37.6,390,2025-05-12,WAR,Grade 5,22.428,22.428,22.31,8.6725,0.5,ZOOM BOOM,1,4.2
"",D,7,4,37.6,450,2025-05-05,WAR,Grade 5,26.045,25.583,25.583,,7.0,SENSES FAIL,7,3.4
"",D,1,2,37.9,390,2025-04-28,WAR,Grade 6,22.492,22.492,22.137,,0.75,ZIPPING DIEGO,1,4.6
7. SALMON SPRAY,B,6,3,27.8,300,2025-06-27,HEA,Grade 5 T3,17.406,17.11,16.747,4.1045,4.5,King Kaboom,6,10.0
"",B,2,3,27.7,390,2025-06-23,BAL,Grade 5 T3,22.996,22.81,22.401,8.7375,3.0,SPECIAL PLAYERS,2,8.0
"",B,1,4,27.7,425,2025-06-18,BEN,Grade 5 T3,24.687,24.687,24.139,,0.5,JUST ANGELIC,1,6.5
"",B,4,8,27.9,390,2025-06-14,BAL,Grade 5,22.828,22.618,22.504,8.665,3.25,MR. FRANKIE LEE,4,10.0
"",B,6,6,27.7,390,2025-06-09,BAL,Grade 5 T3,22.903,22.404,22.404,8.5675,7.5,RAPIDFIRE LAYLA,6,8.0
8. MISS YOUR KISS,B,6,3,28.7,460,2025-06-26,WAR,Grade 5 T3,26.497,26.286,26.286,,3.25,BAGGIO,6,12.0
"",B,3,3,28.9,450,2025-06-16,BAL,Grade 5 T3,26.266,26.114,25.539,6.912,2.5,THAT'S MY COUSIN,3,8.0
"",B,2,4,28.6,460,2025-06-10,GEE,Grade 5,26.389,26.151,25.781,,3.75,MISS GEORGIE LEE,2,8.0
"",B,4,2,28.2,390,2025-06-04,WAR,Grade 5,22.474,21.86,21.749,,9.25,Spring Lassen,4,8.0
"",B,1,7,28.3,400,2025-05-29,WAR,Grade 5 T3,23.032,23.032,22.955,8.5875,1.5,Spicy Siren,1,6.0
