Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. BLACK HAWK,D,7,3,30.0,425,2025-06-21,BEN,Restricted Win,25.368,24.635,24.051,,11.0,ELLIOT NOVA,7,4.2
"",D,6,3,30.1,425,2025-06-04,BEN,Grade 7,24.942,24.282,24.282,6.8315,10.0,MORNING MIST,6,6.5
"",D,6,7,30.0,425,2025-05-17,BEN,Grade 7,25.624,24.87,24.291,,11.5,LAURA MAY,6,7.0
"",D,1,1,30.6,425,2025-04-30,BEN,Maiden,24.456,24.456,23.952,,3.25,HE'S WITH ME,1,12.0
"",D,5,1,30.7,390,2025-04-21,SHE,Maiden,22.866,22.633,21.824,8.785,3.5,SONIA'S BEAUTY,5,8.0
2. TEXAS MOON,D,7,8,32.4,450,2025-06-09,BAL,Tier 3 - Grade 7,26.794,26.147,25.727,,9.75,THERMAL FLAME,7,16.0
"",D,4,4,32.2,450,2025-05-26,BAL,Tier 3 - Grade 7,26.26,26.002,25.469,6.875,4.0,BUST UP,4,16.0
"",D,7,4,32.1,450,2025-05-19,BAL,S/E Heat,26.09,25.456,25.205,6.7545,9.5,REIKO TEDESCO,7,51.0
"",D,4,8,32.1,450,2025-05-12,BAL,Tier 3 - Restricted Win,26.217,26.008,25.672,,3.25,COUNTY TYRONE,4,21.0
"",D,3,4,32.1,450,2025-05-05,BAL,Tier 3 - Grade 7,26.453,25.602,25.602,6.9075,12.75,TOLD YOU TIM,3,21.0
3. PAYTON'S PEARL,B,7,5,27.0,400,2025-06-24,GEE,Mixed 6/7,23.781,23.128,22.605,9.112,9.75,VALLETTA MOON,7,21.0
"",B,6,8,26.7,390,2025-06-12,SHE,Grade 7,23.527,22.499,22.393,,15.5,BOY,6,12.0
"",B,2,2,27.0,400,2025-06-03,GEE,Grade 7,23.416,23.315,22.676,8.695,1.75,ZINZAN HOLLY,2,10.0
"",B,8,7,27.0,400,2025-05-27,GEE,Mixed 6/7,23.84,22.902,22.655,8.94725,14.0,ASTON MONSOON,8,12.0
"",B,7,2,27.0,400,2025-05-20,GEE,Grade 7,23.921,23.312,22.643,8.99125,9.25,ALPHA GIRL,7,5.5
4. RUSTIC DUNDEE,D,3,3,31.4,390,2025-06-25,BAL,Restricted Win,22.82,22.568,22.226,,4.0,FEDERAL NOTICE,3,6.0
"",D,5,4,31.7,410,2025-06-03,HOR,Grade 7,24.035,23.571,23.326,,7.0,LEKTRA JIMMY,5,3.0
"",D,1,1,31.8,410,2025-05-09,HOR,Maiden,23.558,23.558,23.247,,3.0,PRETTY ESMAY,1,2.8
"",D,2,8,31.4,410,2025-05-02,HOR,Maiden,23.677,23.25,23.04,,6.5,MONKEY RIOT,2,1.9
"",D,3,2,31.5,410,2025-04-29,HOR,Maiden,23.708,23.402,23.021,,4.75,UNTOUCHED,3,4.4
5. SOLAR EBONY,B,8,8,24.5,410,2025-05-31,HOR,Grade 7,24.285,23.583,23.168,,10.5,OLLIE JACK,8,21.0
"",B,5,3,24.9,410,2025-05-20,HOR,Mixed 6/7,24.526,23.363,23.078,,17.5,PAGODA GROWLER,5,12.0
"",B,2,8,25.5,410,2025-05-09,HOR,Mixed 6/7,23.972,23.672,23.247,,4.5,MEPUNGA MILLY,2,10.0
"",B,6,8,25.3,410,2025-05-06,HOR,Mixed 6/7,23.968,23.683,23.111,10.785,4.5,Subtle Knock,6,21.0
"",B,4,7,24.9,410,2025-04-08,HOR,Grade 7,24.073,23.286,23.208,10.952,11.75,PAW LINDEN,4,15.0
6. BUCK RODGERS,D,6,8,31.4,350,2025-06-15,HEA,Mixed 6/7,19.783,19.318,19.165,6.762,7.0,SONIA'S BEAUTY,6,10.0
"",D,6,6,31.4,450,2025-06-09,WAR,Mixed 6/7,26.278,25.901,25.379,,5.75,MORAINE JOKER,6,10.0
"",D,1,2,31.3,390,2025-06-02,WAR,Maiden,22.664,22.664,22.237,,3.75,EBONY MAC,1,4.6
"",D,2,1,31.3,390,2025-05-26,WAR,Maiden,22.755,22.754,22.182,8.93,0.25,DIMORA STRIPEY,2,4.0
"",D,7,5,31.4,390,2025-05-22,WAR,Maiden,23.861,22.901,21.937,,14.5,BELAIR BLUE,7,10.0
7. SOLAR TESS,B,7,2,23.7,485,2025-05-20,HOR,Mixed 6/7,28.871,27.631,27.159,6.8865,18.75,LAYLA NOVA,7,12.0
"",B,8,3,24.7,450,2025-05-16,BAL,Grade 7,26.438,25.309,25.11,6.8775,17.0,SHIMA SEAL,8,51.0
"",B,3,2,24.6,410,2025-05-09,HOR,Mixed 6/7,24.095,23.672,23.247,,6.5,MEPUNGA MILLY,3,10.0
"",B,3,1,24.8,410,2025-05-06,HOR,Mixed 6/7,23.78,23.683,23.111,10.68,1.5,Subtle Knock,3,7.5
"",B,5,2,24.6,410,2025-05-02,HOR,Mixed 6/7,23.908,23.585,23.04,,5.0,FORTUNATE KISS,5,4.6
8. SHE REBEL,B,5,7,25.9,400,2025-06-24,GEE,Mixed 6/7,23.411,23.128,22.605,8.755,4.25,VALLETTA MOON,5,4.6
"",B,6,4,25.7,390,2025-06-19,WAR,Grade 7,22.925,22.125,21.876,,12.0,VASTUS,6,10.0
"",B,1,7,25.7,390,2025-06-16,WAR,Maiden,22.499,22.499,22.192,,2.5,BILLY BEAST,1,10.0
"",B,5,8,26.2,390,2025-05-21,BAL,Tier 3 - Maiden,22.913,22.487,22.37,,6.5,ASTON SUSHI,5,12.0
"",B,3,3,26.0,390,2025-05-14,BAL,Maiden,22.989,22.596,21.907,8.73,6.0,DIGGER DALE,3,12.0
