Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Royal Waldorf,D,2,4,30.3,395,2025-07-13,MBR,M,23.25,22.79,22.35,5.22,6.5,Danyo's Henry,2,2.3
"",D,6,4,30.0,381,2025-06-25,CANN,M,22.92,22.71,21.63,6.77,3.0,Send It Coco,5666,7.5
"",D,5,2,30.2,381,2025-06-18,CANN,M,22.79,22.42,21.72,7.15,5.25,Band For Band,8765,3.3
"",D,3,2,29.3,381,2025-06-11,CANN,M,22.41,21.99,21.9,6.89,6.0,Thank You Joe,6543,7.5
"",D,5,7,29.0,400,2025-06-03,MAND,M,23.38,22.41,22.41,6.61,13.75,Kyser's Spirit,555,14.0
8. Taz Maniac,D,3,7,28.3,342,2025-07-15,AP/K,M,20.78,20.31,19.73,4.93,6.5,Luna Lovegood,3,31.0
"",D,4,5,27.8,342,2025-07-08,AP/K,M,20.6,20.07,19.38,4.89,7.5,Currency Lad,4,71.0
"",D,6,1,27.7,342,2025-07-05,AP/K,M,20.99,20.27,19.58,4.96,10.25,Waikarie Koby,5666,31.0
"",D,3,2,27.4,342,2025-07-01,AP/K,M,20.86,20.14,19.65,4.94,10.25,HANDOVER,4433,34.0
"",D,5,6,27.6,395,2025-06-13,MBR,M,23.59,22.23,22.12,5.31,19.5,Capybara,5,51.0
