Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Star,B,3,9,27.9,520,2025-06-21,W/PK,5,30.21,29.98,29.41,5.65,3.25,Tracey Taro,7643,6.0
"",B,4,5,27.6,520,2025-06-19,W/PK,5,30.28,29.99,29.62,5.62,4.25,Zipping Chetty,5544,8.0
"",B,5,6,27.5,520,2025-06-14,W/PK,5,30.44,30.0,29.63,5.63,6.25,Fascinate Kath,7655,4.6
"",B,4,6,27.4,520,2025-05-15,W/PK,5,30.42,29.81,29.76,5.69,8.75,Ritza Duane,6754,8.5
"",B,1,8,27.4,520,2025-05-08,DAPT,5,29.9,29.9,29.9,5.47,3.0,Mount Parnis,1111,2.2
2. Skedaddle Indi,B,6,6,25.8,520,2025-06-19,W/PK,5,30.44,29.99,29.62,5.55,6.25,Zipping Chetty,3266,13.0
"",B,4,7,25.9,520,2025-06-16,NOWR,5,29.93,29.79,29.79,4.28,2.0,Zipping Trucker,4,9.0
"",B,2,7,25.9,520,2025-06-09,NOWR,5,29.73,29.66,29.56,4.32,1.0,Linkin Park,242,8.0
"",B,1,6,25.9,520,2025-06-02,NOWR,5,29.81,29.81,29.7,4.35,0.25,Zipping Nala,341,34.0
"",B,1,1,26.0,520,2025-05-26,NOWR,5,29.79,29.79,29.5,4.35,1.0,Skedaddle Louise,221,13.0
3. Reborn Hostility,B,3,4,26.6,520,2025-06-19,W/PK,5,30.13,29.99,29.62,5.68,2.0,Zipping Chetty,6633,5.5
"",B,3,8,26.8,520,2025-06-12,W/PK,5,30.2,30.04,29.53,5.58,2.25,Promises Three,5433,5.5
"",B,1,3,26.9,401,2025-05-30,RICH,5,22.6,22.6,22.6,6.76,4.25,Layla's Lilly,3211,3.2
"",B,6,8,26.0,520,2025-03-27,W/PK,5,30.91,30.15,29.9,5.66,10.75,Tomorrow Wendy,8776,6.5
"",B,2,3,26.0,520,2025-03-19,RICH,5,29.97,29.51,29.51,4.5,6.5,Coast Rig,78442,2.3
4. SWEET BEE,B,3,7,24.8,455,2025-06-20,MBR,6,25.71,25.67,25.67,8.12,0.75,Oakvale Cowboy,23323,2.1
"",B,8,8,25.0,515,2025-05-08,SAN,S/E Heat,30.058,29.226,29.005,5.1535,12.5,GAMBELLA,8,8.0
"",B,3,7,24.9,595,2025-04-24,SAN,Restricted Win Final,34.508,34.152,33.994,9.3475,5.5,PAW VINCE,3,3.6
"",B,1,4,25.0,595,2025-04-14,SAN,Restricted Win Heat,34.196,34.196,34.196,9.17,3.75,PAW QUINBY,1,1.9
"",B,8,9,25.2,515,2025-04-10,SAN,S/E Semi Final,30.142,29.289,28.953,5.2055,12.75,MARRAKESH,8,10.0
5. Eriza Sparkles,B,1,5,26.4,520,2025-06-21,W/PK,5,29.71,29.71,29.41,5.48,0.25,This Is Why,2111,3.6
"",B,2,1,26.6,400,2025-06-17,BUL,5,22.58,22.54,22.45,6.57,0.75,She's Rapturous,2432,1.9
"",B,2,6,25.9,365,2025-05-26,NOWR,5,20.68,20.62,20.3,8.63,0.75,Minute Express,22,2.5
"",B,1,2,26.4,365,2025-05-12,NOWR,M,20.35,20.35,20.15,8.53,12.5,Aston Aisling,11,1.7
6. Imperator,B,1,4,25.8,400,2025-06-07,GRDN,5,22.73,22.73,22.47,11.03,6.0,Whiskey Red,111,3.0
"",B,4,5,25.8,388,2025-05-29,GOSF,5,22.87,22.6,22.32,10.61,3.75,Fascinate Jess,4444,6.0
"",B,1,2,25.5,400,2025-05-17,GRDN,M,22.76,22.76,22.76,11.07,8.75,Mr. Norman,111,2.0
"",B,2,1,25.6,400,2025-05-09,GRDN,M,23.19,22.95,22.74,11.18,3.5,Blue Dynamic,112,2.25
7. Canya Not,B,1,1,27.1,515,2025-06-14,GRDN,5,29.78,29.78,29.78,4.95,2.0,Sir Tick,3111,1.28
"",B,1,7,27.4,515,2025-05-29,GOSF,5,29.63,29.63,29.63,4.47,4.25,Why Me,21111,2.2
"",B,1,8,27.8,515,2025-05-16,GRDN,5,29.62,29.62,29.62,5.04,4.25,Magic Technique,4111,2.8
"",B,1,2,27.6,400,2025-05-09,GRDN,5,22.77,22.77,22.74,11.13,2.5,RUN CLIFF RUN,311,2.2
"",B,2,4,27.7,400,2025-05-03,GRDN,5,22.89,22.82,22.54,11.15,1.0,Strictly Limited,312,2.25
8. Canya Sapphire,B,1,8,28.8,401,2025-06-20,RICH,5,23.03,23.03,22.6,6.79,0.25,Wild Reggie,6321,1.1
"",B,1,1,28.7,401,2025-06-15,RICH,5,22.44,22.44,22.44,6.52,8.0,Calla Oreo,1111,1.15
"",B,4,6,29.2,516,2025-05-10,DUBO,NG,30.13,29.66,29.49,4.5,6.5,Black Myth Wave,443444,3.1
"",B,3,5,29.0,520,2025-04-26,NOWR,NG,29.58,29.25,29.25,4.29,4.75,Sooty Keeping,333,8.5
"",B,1,6,29.0,520,2025-04-20,NOWR,NG,29.39,29.39,28.98,4.25,3.25,Skedaddle Arlo,111,3.9
9. Vivid Memory,B,8,2,24.5,520,2025-06-21,W/PK,5,30.55,29.98,29.41,5.75,8.25,Tracey Taro,8888,3.5
"",B,3,1,24.5,520,2025-06-14,W/PK,5,30.05,29.76,29.63,5.68,4.25,Looking Pristine,6643,3.0
"",B,2,4,24.2,520,2025-06-05,W/PK,5,29.84,29.58,29.58,5.65,3.75,Supermaxi,4322,3.5
"",B,7,5,24.6,520,2025-05-15,W/PK,5,31.11,30.1,29.76,5.73,14.25,Little Linkin,6537,5.0
"",B,5,6,24.7,520,2025-05-10,W/PK,5,30.22,29.88,29.7,5.6,4.75,Allan Keeping,2665,9.0
10. Zipping Ariel,B,5,4,27.4,520,2025-06-19,W/PK,5,30.52,30.18,29.62,5.56,4.75,Zipping Kirk,3465,5.5
"",B,6,1,27.5,520,2025-06-16,NOWR,5,30.07,29.79,29.79,4.33,4.0,Zipping Trucker,6,2.9
"",B,1,2,27.5,520,2025-06-09,NOWR,5,29.67,29.67,29.56,4.35,2.0,Skedaddle Louise,421,2.9
"",B,3,1,27.5,520,2025-06-02,NOWR,5,30.07,29.81,29.7,4.4,3.75,Skedaddle Indi,533,3.1
"",B,3,2,27.6,520,2025-05-26,NOWR,5,29.65,29.5,29.5,4.28,2.0,Zipping Nala,223,2.8
