Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. ZINZAN CIAN,B,2,8,28.4,400,2025-07-01,GEE,Mixed 6/7,23.054,22.644,22.644,8.6075,6.25,BLANK SLATE,2,23.0
"",B,2,3,28.5,350,2025-06-25,HEA,Mixed 6/7,20.058,20.047,19.491,,0.25,LITTLE MILLIE,2,10.0
"",B,6,6,28.3,300,2025-06-20,HEA,Tier 3 - Grade 7,17.418,16.912,16.912,4.085,7.75,CRACKERJACK HOPS,6,4.6
"",B,7,2,28.3,300,2025-06-15,HEA,Restricted Win Heat,17.315,16.818,16.547,,7.5,MADE UP STORIES,7,16.0
"",B,7,7,28.1,400,2025-06-10,GEE,Grade 7,23.32,22.704,22.704,8.8325,9.25,GUNAI WALK ABOUT,7,26.0
2. ZIG ZAG KABOOM,D,3,4,32.7,390,2025-07-01,BAL,Mixed 6/7 Heat,22.566,22.08,22.08,8.64,7.5,CRACKERJACK KEV,3,2.4
"",D,6,4,32.5,390,2025-06-05,BAL,S/E Heat,22.969,22.47,21.704,,7.5,NOSEY PARKER,6,6.5
"",D,6,3,32.5,450,2025-05-25,BAL,Mixed 6/7 Heat,25.8,25.049,24.737,6.7325,11.25,MEPUNGA FLYER,6,2.8
"",D,2,5,32.4,450,2025-05-16,BAL,Grade 7,25.41,25.309,25.11,6.6325,1.75,SHIMA SEAL,2,4.0
"",D,1,1,32.8,350,2025-05-11,HEA,Maiden,19.309,19.309,18.935,6.53,1.0,MYSTERIOUS,1,5.5
3. CODICIL,D,1,3,31.2,460,2025-06-17,WAR,Maiden,26.727,26.727,25.776,,4.75,NINJA CUDDLE,1,10.0
"",D,5,4,31.2,400,2025-06-12,WAR,Tier 3 - Maiden,23.36,22.91,22.617,,6.75,ASTON ELENI,5,8.0
"",D,7,6,31.2,435,2025-06-04,SAL,Tier 3 - Maiden,25.986,24.894,24.585,,16.5,DAINTREE BULLET,7,4.4
"",D,2,3,31.5,400,2025-05-29,WAR,Tier 3 - Maiden,23.676,23.269,22.955,,6.25,BOMBER'S ROCKIN',2,3.0
"",D,3,2,31.5,400,2025-05-20,WAR,Maiden,23.178,22.78,22.314,8.6525,6.0,ASTON PASTIZZI,3,12.0
4. JOBS ON,D,1,3,33.9,350,2025-06-20,HEA,Tier 3 - Grade 7,19.652,19.652,19.295,6.709,0.5,NITROUS,1,8.0
"",D,7,7,33.5,400,2025-05-30,WAR,Restricted Win,24.257,22.854,22.494,,21.0,FURIOUS FALCON,7,16.0
"",D,8,3,33.4,400,2025-03-18,WAR,Grade 7,24.288,22.737,22.517,,23.25,TRENDY TOMMY,8,7.0
"",D,6,3,33.5,435,2025-03-09,SAL,Mixed 6/7,25.547,24.454,24.02,5.25,16.5,JUMPING OREO,6,12.0
"",D,1,6,33.2,435,2025-03-02,SAL,Maiden,25.064,25.064,24.411,,1.0,PAW NEBRASKA,1,8.0
5. YEAH YOU,D,8,6,33.6,435,2025-06-29,SAL,Mixed 6/7,25.464,24.561,24.357,,13.5,DIAMANTINA PEAR,8,8.0
"",D,1,4,33.6,300,2025-06-15,HEA,Maiden,16.791,16.791,16.547,4.055,4.0,BE A COWBOY,1,7.0
6. Despicable Andy,D,2,4,33.6,435,2025-06-29,SAL,Mixed 6/7,24.634,24.561,24.357,,1.25,DIAMANTINA PEAR,2,3.4
"",D,2,2,33.3,350,2025-06-15,HEA,Mixed 6/7,19.59,19.318,19.165,6.867,4.25,SONIA'S BEAUTY,2,3.4
"",D,2,7,32.7,460,2025-06-03,WAR,Mixed 6/7,26.251,26.139,26.103,,1.75,LEWIS,2,5.5
"",D,5,3,32.8,460,2025-05-30,WAR,Restricted Win,26.451,26.357,25.731,,1.5,HOVERING,5,10.0
"",D,2,7,32.2,400,2025-05-20,WAR,Mixed 6/7,22.913,22.845,22.314,8.4,1.25,ASTON FUMIKO,2,6.0
7. NITROUS,D,1,4,35.8,350,2025-07-04,HEA,Tier 3 - Grade 6,19.448,19.448,19.397,6.84875,3.75,SON OF SYBIL,1,2.0
"",D,1,2,35.6,350,2025-06-27,HEA,Tier 3 - Grade 7,19.534,19.534,19.485,6.83,0.75,CRACKERJACK TREV,1,3.0
"",D,2,2,35.7,350,2025-06-20,HEA,Tier 3 - Grade 7,19.674,19.652,19.295,6.92075,0.5,JOBS ON,2,3.4
"",D,2,7,35.5,350,2025-06-13,HEA,Tier 3 - Restricted Win,19.751,19.748,19.474,,0.25,REIKO BENNY,2,6.0
"",D,4,6,35.4,485,2025-04-11,HOR,Mixed 6/7,27.783,27.628,27.29,,2.5,SCOTCH TIME,4,4.6
8. REIGNING MONARCH,D,8,1,36.1,350,2025-06-15,HEA,Mixed 6/7,19.958,19.318,19.165,6.7795,9.75,SONIA'S BEAUTY,8,6.5
"",D,3,10,36.1,400,2025-06-10,WAR,Mixed 6/7 Final,23.225,22.872,22.592,8.8345,5.5,ELEVATE,3,8.5
"",D,5,4,36.3,400,2025-06-03,WAR,Mixed 6/7 Heat,23.594,23.033,22.492,,8.5,MANILA PHANTOM,5,4.6
"",D,1,2,33.8,400,2024-12-19,WAR,Maiden,23.051,23.051,22.677,,2.25,NOAH DEAR,1,2.8
"",D,3,2,33.6,450,2024-12-02,SHE,Maiden,25.763,25.335,25.033,6.7225,6.5,ACQUISITION,3,4.0
9. MISS REBEL,B,3,4,28.3,350,2025-06-27,HEA,Tier 3 - Grade 7,19.768,19.534,19.485,6.6725,3.5,NITROUS,3,6.5
"",B,8,4,27.8,390,2025-05-03,SHE,Grade 7,22.991,22.35,22.158,,9.75,CANDLES,8,13.0
"",B,6,4,28.7,350,2025-04-04,HEA,Tier 3 - Restricted Win,19.956,19.541,19.377,,6.25,PEAKY AVENGER,6,6.5
"",B,2,5,28.9,350,2025-03-28,HEA,Tier 3 - Grade 7,19.702,19.658,19.448,6.624,0.75,GOLD CLASS COOL,2,3.8
"",B,7,1,28.4,390,2025-03-10,SHE,Grade 7,22.925,22.43,21.712,,7.5,DAD'S SURPRISE,7,10.0
