Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. SAINT MICK,D,7,2,30.6,450,2025-07-10,WAR,Grade 5,25.933,25.548,25.354,6.899,5.75,TAKE THE STEPS,7,10.0
"",D,5,2,30.7,485,2025-07-07,HOR,Grade 5,27.778,27.498,27.221,6.58,4.25,DELICIOUS,5,4.0
"",D,5,7,30.6,450,2025-06-30,WAR,Grade 5,26.125,25.55,25.55,,8.75,PAW MAUD,5,8.0
"",D,1,3,30.4,390,2025-06-19,WAR,Grade 5,22.38,22.38,21.876,8.82,0.5,MR. FRANKIE LEE,1,6.0
"",D,3,2,29.9,390,2025-06-12,WAR,Grade 5,22.539,22.266,21.979,9.31,4.25,SCENIC COURT,3,12.0
2. Mr. Quirky,D,7,6,32.1,400,2025-07-10,MT/G,TG5+W,24.23,23.7,23.11,11.49,7.5,Bourne Franky,7,51.0
"",D,5,1,31.3,400,2025-07-03,MT/G,TG5+W,23.9,23.34,22.99,11.27,8.0,MOONLIGHT GRAND,5555,8.0
"",D,1,1,31.9,400,2025-05-01,MT/G,TG5+W,23.33,23.33,23.12,10.94,7.0,Crymelon Comet,1111,1.4
"",D,3,5,31.9,400,2025-04-24,MT/G,TG5+W,23.84,23.51,23.26,11.34,4.75,Cadillac Magic,5443,19.0
"",D,6,2,31.6,400,2025-04-17,MT/G,TG5+W,23.9,23.47,23.24,11.53,6.0,Typhoon Thomas,6666,10.0
4. STEP ON AIR,D,4,8,30.2,390,2025-07-08,BAL,Grade 5,22.952,22.774,22.492,8.715,2.75,LITTLE NARLA,4,6.0
"",D,1,7,30.2,390,2025-06-30,WAR,Grade 5,22.64,22.64,22.299,,0.5,Foxy Faun,1,4.0
"",D,2,2,29.9,390,2025-06-23,WAR,Grade 5,22.348,22.046,21.991,8.76,4.75,SHINY NEW TOY,2,7.5
"",D,4,5,29.8,425,2025-06-18,BEN,Grade 5 T3,24.868,24.687,24.139,,2.75,SALMON SPRAY,4,3.4
"",D,6,4,29.7,410,2025-05-31,HOR,Grade 5,24.114,23.577,23.168,,8.25,ZERO MONSTER,6,5.0
6. MIKE ANGELO ZEAL,D,2,7,33.0,300,2025-07-06,HEA,Grade 5,16.976,16.748,16.688,3.9965,3.5,ZINZAN CHARLIE,2,8.5
"",D,5,2,33.2,300,2025-07-04,HEA,Grade 5 T3,17.19,16.924,16.715,,4.0,BOO BOO GIBLET,5,8.0
"",D,8,2,33.3,300,2025-05-25,HEA,Grade 5,17.345,16.572,16.572,3.91,11.75,FEIKUAI CALVIN,8,10.0
"",D,5,2,33.2,300,2025-05-18,HEA,Grade 5,17.284,16.649,16.559,4.08,9.5,For The Plot,5,8.0
"",D,7,8,32.2,400,2025-05-06,WAR,Grade 5,23.248,22.741,22.475,,7.75,RECKLESS,7,7.0
8. ZIPPING VELMA,B,1,2,27.0,390,2025-07-10,WAR,Grade 5,22.654,22.654,22.008,8.87,1.75,Condah Express,1,4.8
"",B,1,1,26.8,390,2025-07-07,WAR,Grade 5,22.353,22.353,22.01,8.68,1.75,SWANKY CHIC,1,8.0
"",B,7,3,27.2,390,2025-06-30,WAR,Grade 5,23.227,22.64,22.299,,9.0,STEP ON AIR,7,6.0
"",B,5,7,27.2,390,2025-06-23,WAR,Mixed 4/5,22.473,22.049,21.991,,6.5,Brandenburg,5,8.0
"",B,8,6,27.3,400,2025-06-19,WAR,Grade 5 T3,23.78,22.789,22.789,8.9725,15.0,HOW DELIGHTFUL,8,8.0
