Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Dig Deep Rupee,B,3,5,27.2,350,2025-06-20,GOUL,5,20.28,19.78,19.74,,7.0,Cambridge King,1123,7.5
"",B,5,1,27.2,350,2025-06-13,GOUL,4/5,20.66,19.82,19.63,,12.0,Jet Linkin,2355,7.5
"",B,3,7,27.3,350,2025-06-06,GOUL,5,20.19,20.08,19.62,6.47,1.5,Revved Up,1133,7.0
"",B,4,6,27.3,350,2025-05-30,GOUL,4/5,20.11,19.51,19.36,,8.5,YOGEN BALE,4344,10.0
"",B,8,1,27.3,350,2025-05-23,GOUL,5,20.85,19.87,19.48,,14.0,Revved Up,3688,5.5
2. Ace Emgrand,D,6,8,33.2,400,2025-06-16,MAIT,5,23.32,22.7,22.15,5.54,8.75,Stock's Gift,3566,4.6
"",D,6,3,33.6,350,2025-06-13,GOUL,5,20.57,20.31,19.63,,3.75,Arthur Or Martha,2566,7.5
"",D,6,2,33.2,350,2025-06-06,GOUL,NG,20.51,19.87,19.62,,9.25,Harmony Fire,6666,101.0
"",D,7,2,32.9,350,2025-05-30,GOUL,4/5,20.73,19.51,19.36,,17.25,YOGEN BALE,6777,81.0
"",D,6,5,33.4,340,2025-05-20,BUL,5,20.31,19.65,18.85,3.67,9.25,Zip Zippity Zip,6666,4.4
3. Pepper Kade,B,6,2,26.5,365,2025-06-16,NOWR,4/5,21.34,20.94,20.5,8.84,5.75,Mount Fuji,56,10.0
"",B,3,7,26.9,350,2025-06-13,GOUL,5,20.35,20.31,19.63,,0.75,Arthur Or Martha,1333,7.0
"",B,6,7,27.1,365,2025-06-09,NOWR,4/5,21.41,20.59,20.5,9.05,11.75,Nicko Queen,66,81.0
"",B,7,6,27.4,365,2025-06-02,NOWR,5,21.43,20.81,20.54,9.05,8.75,Cumbria Rich,87,21.0
"",B,7,8,27.6,365,2025-05-26,NOWR,5,21.21,20.49,20.3,8.81,10.25,Shanti Bay,57,26.0
4. UNACCEPTABLE PEN,B,1,5,28.9,340,2025-06-03,BUL,5,19.43,19.43,18.96,3.45,2.5,Prolific,3311,2.8
"",B,6,5,28.9,400,2025-05-20,BUL,5,23.15,22.51,22.26,6.71,9.25,Clean Engines,5566,34.0
"",B,5,6,28.9,340,2025-05-13,BUL,5,19.53,19.3,18.98,,3.25,That's Our Girl,5555,34.0
"",B,5,6,28.2,440,2025-04-25,GOUL,5,25.33,24.75,24.62,,8.25,Wootown Will,55555,13.0
"",B,4,4,28.5,440,2025-04-04,GOUL,5,25.31,24.77,24.77,,7.75,Trixie Mahack,444,11.0
5. Zipping Kerr,B,1,1,30.6,390,2025-06-12,SHE,Grade 5,22.393,22.393,22.393,,3.25,ASTON BREEZE,1,6.5
"",B,7,3,30.1,520,2025-05-31,W/PK,5,31.08,30.09,29.66,5.64,14.0,Cluster One,7467,3.8
"",B,6,5,29.7,570,2025-05-21,TEMA,5,33.62,32.76,32.76,,12.25,Moorong Marvel,6,23.0
"",B,4,1,29.6,570,2025-05-14,TEMA,5,33.32,32.87,32.87,,6.25,WINCEY BALE,4,7.5
"",B,6,7,29.1,525,2025-05-09,WAGA,5,31.58,30.39,30.39,5.31,17.0,Aunty Meeka,6,7.5
6. Arthur Or Martha,D,7,4,32.0,350,2025-06-20,GOUL,NG1-4,20.84,19.8,19.74,,14.75,YOGEN BALE,6657,71.0
"",D,4,3,33.0,400,2025-06-16,MAIT,5,23.01,22.7,22.15,5.35,4.25,Stock's Gift,1124,4.0
"",D,1,1,32.5,350,2025-06-13,GOUL,5,20.31,20.31,19.63,6.58,0.125,Maple Wave,3111,3.9
"",D,6,6,32.3,297,2025-06-05,DAPT,4/5,17.77,17.29,16.96,5.48,6.75,Dumpling,666,18.0
"",D,5,5,32.2,400,2025-05-20,BUL,5,23.07,22.75,22.26,6.45,4.5,Shinkansen,1115,31.0
7. Bronte Pearl,B,3,8,25.3,350,2025-06-20,GOUL,5,20.39,19.74,19.74,,9.25,Be Wowed,2223,14.0
"",B,6,5,25.4,320,2025-06-15,RICH,5,18.94,18.24,18.17,2.12,10.0,Still Around,2276,18.0
"",B,5,6,25.5,330,2025-06-11,TEMA,5,19.29,18.91,18.79,,5.25,CAPALA,5,9.0
"",B,2,3,25.8,330,2025-05-28,TEMA,5,19.19,18.95,18.79,,3.5,Fully Equipped,2,9.5
"",B,5,4,26.5,350,2025-05-16,GOUL,5,20.5,20.15,19.69,,5.0,Unpublish Rhyme,555,4.2
8. Black Jaffa,B,6,4,26.4,320,2025-06-14,PPK,4/5,19.41,18.38,18.18,,14.5,Fabulous Flame,4456,10.0
"",B,8,2,25.4,320,2025-06-09,WAGA,5,19.91,18.87,18.22,,14.75,UPPER'S FLYER,8,81.0
"",B,5,4,26.4,320,2025-05-31,PPK,4/5,19.68,18.71,18.4,,13.75,Fantanna's Dream,1155,6.0
"",B,5,2,26.6,350,2025-03-24,GOUL,5,20.75,20.09,19.84,,9.25,Sure Is Minty,555,31.0
"",B,4,5,26.7,320,2025-03-15,PPK,5,19.09,18.63,18.32,,6.5,Kiss Of Fire,4,4.0
9. Rock It Billie,B,6,5,24.3,320,2025-06-11,RICH,5,19.11,18.15,18.15,2.23,13.75,On A Dime,4466,21.0
"",B,5,1,24.7,320,2025-06-02,RICH,5,18.77,18.27,18.21,2.16,7.0,UNACCEPTABLE AXE,2255,10.0
"",B,8,6,24.3,320,2025-05-04,RICH,5,19.31,18.15,18.15,2.26,16.5,My Friend Bec,6678,18.0
"",B,7,4,24.7,320,2025-04-09,RICH,5,19.01,18.45,18.0,2.19,8.0,Wild Reggie,1157,14.0
"",B,8,4,24.8,320,2025-03-23,RICH,5,18.94,18.42,18.15,2.14,7.5,Lady Chaos,3378,14.0
10. Cashier Girl,B,6,2,25.6,320,2025-06-14,PPK,5,19.37,18.51,18.18,,12.25,Chris Whit,5566,8.0
"",B,7,3,24.8,320,2025-06-09,WAGA,5,19.89,18.87,18.22,,14.5,UPPER'S FLYER,7,41.0
"",B,5,4,25.3,320,2025-05-31,PPK,5,19.45,18.65,18.4,,11.5,Sattler Lane,5465,5.0
"",B,6,8,24.9,320,2025-05-19,WAGA,5,19.53,18.49,18.35,,14.75,Rosey Flow,6,21.0
"",B,8,7,25.2,365,2025-05-05,NOWR,5,21.99,20.81,20.48,9.27,16.75,Go Jo Jo,78,61.0
