Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Silvertree Meg,B,7,5,25.7,297,2025-06-23,NOR,5,17.79,17.27,17.21,,7.5,Cupid's Dream,577,9.0
"",B,1,3,25.8,297,2025-06-16,NOR,5/6,17.56,17.56,16.96,,2.25,Sivo Keeping,111,6.5
"",B,2,1,25.6,297,2025-06-09,NOR,6,17.49,17.47,16.93,,0.25,Sassy Deluxe,112,2.75
"",B,3,6,25.2,300,2025-06-03,MAND,6,17.5,17.39,17.09,6.78,1.5,Luna Sunrise,33,10.0
"",B,7,6,24.9,297,2025-05-26,NOR,5,17.99,17.41,17.22,,8.25,Happy Heels,567,10.0
2. Nullarbor Rat,D,2,4,30.2,297,2025-06-23,NOR,6,17.7,17.6,17.21,,1.5,Pumbaa Smith,132,3.9
"",D,1,9,30.1,300,2025-06-19,MAND,6,17.3,17.3,17.08,6.66,3.0,Zeze Dawn,11,5.5
"",D,5,8,30.0,300,2025-06-12,MAND,6,17.6,17.26,17.15,6.79,4.75,Sweetie Pie,45,12.0
"",D,3,3,29.8,300,2025-06-06,MAND,6,17.77,17.46,17.23,7.0,4.25,Bro Brann,53,12.0
"",D,4,2,30.5,297,2025-06-02,NOR,5,17.7,17.36,17.12,,4.75,Cootamundra Lad,554,41.0
3. Don't Turn,B,5,2,26.5,297,2025-06-23,NOR,5,17.94,17.47,17.21,,6.5,Marcus Fire,255,13.0
"",B,8,1,26.5,297,2025-06-16,NOR,5,18.37,17.36,16.96,,14.25,Sassy Deluxe,888,5.5
"",B,1,2,26.1,297,2025-06-09,NOR,NOV,17.35,17.35,16.93,,1.5,Send It Tyler,111,5.0
"",B,4,1,26.0,297,2025-06-02,NOR,NOV,18.12,17.7,17.12,,6.0,Grandad Kevin,444,1.6
"",B,1,3,26.0,297,2025-05-26,NOR,NOV,17.54,17.54,17.22,,1.25,Unique Jasmine,111,5.5
4. Charos Noble,D,1,3,29.9,297,2025-06-23,NOR,6,17.53,17.53,17.21,,0.75,Wheel Around,311,2.5
"",D,3,3,30.0,297,2025-06-16,NOR,6,17.91,17.42,16.96,,7.0,Luxio Wave,333,2.8
"",D,4,5,29.8,297,2025-06-09,NOR,6,17.66,17.47,16.93,,2.5,Sassy Deluxe,444,2.65
"",D,5,6,29.8,297,2025-06-02,NOR,5,17.71,17.36,17.12,,5.0,Cootamundra Lad,345,9.5
"",D,5,1,29.2,297,2025-05-19,NOR,5/6,17.69,17.32,17.1,,5.25,Weave The Ring,115,3.1
5. Shirley Keeping,B,3,1,26.9,297,2025-06-23,NOR,5,17.57,17.27,17.21,,4.25,Cupid's Dream,223,6.0
"",B,7,6,26.6,381,2025-06-04,CANN,5,22.72,21.95,21.83,7.01,11.0,Connie Keeping,7777,19.0
"",B,5,2,26.6,297,2025-05-26,NOR,5,17.86,17.41,17.22,,6.25,Happy Heels,455,4.2
"",B,1,7,26.5,297,2025-05-19,NOR,NOV,17.52,17.52,17.1,,1.5,Unique Jasmine,111,2.15
"",B,2,1,26.2,297,2025-05-12,NOR,NOV,17.4,17.31,17.04,,1.25,Happy Heels,322,2.3
6. Harper Smirch,D,6,7,33.5,300,2025-06-13,MAND,5/6,17.91,17.27,17.27,6.99,9.25,Taming The Tiger,86,13.0
"",D,2,1,33.6,300,2025-05-30,MAND,5/6,17.33,17.22,17.12,6.64,1.5,Trunkey Bling,22,2.35
"",D,1,1,34.0,300,2025-05-01,MAND,6,17.32,17.32,17.11,6.67,0.75,Rosetta Street,11,2.45
"",D,7,4,33.6,297,2025-04-14,NOR,5/6,18.17,17.42,17.07,,10.5,Aussie Trickster,477,10.0
"",D,6,4,33.5,300,2025-04-04,MAND,4/5,17.84,17.36,17.13,6.77,6.75,Bluey Brann,36,15.0
7. Levi Blazer,D,8,6,30.7,297,2025-06-23,NOR,4/5,20.29,17.39,17.21,,41.25,Sarabi Sinclair,888,7.5
"",D,7,6,31.1,381,2025-06-04,CANN,FFA,22.62,21.83,21.83,6.76,11.25,HELLO BAILEY,6777,21.0
"",D,2,2,31.3,300,2025-05-29,MAND,4/5,17.41,17.25,17.15,6.77,2.25,BEAUTY IN ME,22,3.1
"",D,5,6,31.5,297,2025-05-19,NOR,FFA,17.58,17.1,17.1,,6.75,Night Lighter,765,23.0
"",D,3,6,31.6,275,2025-05-14,CANN,FFA,16.15,15.97,15.97,5.6,2.5,Key Moment,643,26.0
8. Rocking Roma,B,5,6,29.0,297,2025-06-23,NOR,5,17.74,17.27,17.21,,6.5,Cupid's Dream,455,3.0
"",B,2,2,28.6,275,2025-06-11,CANN,5,16.17,16.14,15.85,5.5,0.5,Sunset Skylight,122,4.2
"",B,1,5,28.7,297,2025-06-02,NOR,6,17.44,17.44,17.12,,2.25,Aussie Trickster,111,1.65
"",B,3,7,28.3,297,2025-05-26,NOR,5/6,17.46,17.36,17.22,,1.5,Cootamundra Lad,233,3.7
"",B,4,5,28.4,297,2025-05-19,NOR,5/6,17.66,17.32,17.1,,4.75,Weave The Ring,224,3.3
