Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Peckham Lass,B,5,8,27.1,401,2025-06-27,RICH,4/5,23.4,22.68,22.68,6.99,10.25,Speedy Pie,7555,10.0
"",B,7,7,27.3,520,2025-03-30,RICH,5,31.86,30.48,29.56,4.46,19.75,Gundangara Boy,34777,2.15
"",B,2,4,27.5,520,2025-03-21,RICH,5,29.86,29.67,29.67,4.37,2.5,Saint Rico,11112,4.4
"",B,5,3,27.6,401,2025-03-14,RICH,4/5,23.29,22.77,22.77,7.2,7.5,Odd Disguise,2665,1.2
"",B,3,5,27.4,401,2025-03-07,RICH,3/4,22.82,22.56,22.46,6.79,3.75,Jack's Rocket,3333,5.0
2. Sammy My Boy,D,1,6,31.3,401,2025-06-25,RICH,4/5,23.08,23.08,22.97,6.8,0.75,Zipping Ali,3221,4.6
"",D,5,7,31.2,401,2025-06-18,RICH,4/5,23.18,22.78,22.71,6.89,5.75,Flash Liza,6455,31.0
"",D,3,7,32.0,401,2025-06-11,RICH,NG1-4,22.98,22.6,22.59,6.75,5.25,Ferness,5333,26.0
"",D,7,9,31.9,520,2025-06-05,W/PK,5,30.81,30.18,29.58,5.67,9.0,Slick Felix,4647,16.0
"",D,2,4,31.8,515,2025-05-27,GOSF,5,30.1,30.04,29.48,4.48,0.75,Brave Choice,11112,5.5
3. Midnight Star,B,3,6,28.9,401,2025-06-27,RICH,4/5,23.05,22.68,22.68,6.9,5.25,Speedy Pie,2433,41.0
"",B,4,6,29.0,401,2025-06-20,RICH,4/5,23.51,22.6,22.6,6.94,13.0,Chief Lightning,4334,41.0
"",B,3,7,29.0,401,2025-06-13,RICH,5,23.5,22.86,22.8,7.13,9.25,Rev It Suzie,6433,13.0
"",B,2,8,28.8,401,2025-06-08,RICH,4/5,22.92,22.68,22.54,6.77,3.5,Royal Panama,3222,5.5
"",B,3,2,28.6,401,2025-06-04,RICH,4/5,23.01,22.68,22.68,6.74,4.75,Soul Ablaze,4233,23.0
4. Brother Joe,D,1,3,31.6,401,2025-06-25,RICH,5,22.97,22.97,22.97,6.72,1.5,Wow It's Me,1121,4.2
"",D,7,2,31.8,320,2025-06-18,RICH,4/5,19.1,18.25,18.25,2.14,12.25,Jan's Memory,3357,4.8
"",D,4,8,32.2,324,2025-05-29,RICS,3/4,18.18,18.01,17.57,7.17,2.25,Stadiums,2344,8.0
"",D,4,4,32.4,324,2025-05-15,RICS,3/4,17.92,17.74,17.65,7.06,2.5,Man Of Zeal,3344,26.0
"",D,3,7,32.7,324,2025-05-08,RICS,3,18.24,17.86,17.63,7.2,5.25,Send It Silver,4353,11.0
5. Flash Liza,B,4,2,27.0,401,2025-06-29,RICH,4/5,23.25,22.93,22.81,6.88,4.5,Emgrand Drive,3334,1.3
"",B,1,6,27.2,401,2025-06-18,RICH,4/5,22.78,22.78,22.71,6.65,4.25,Rema's Marble,1111,7.5
"",B,2,7,26.9,320,2025-06-13,RICH,5,18.25,18.24,18.23,2.11,0.125,Midnight Fury,1122,2.8
"",B,2,2,26.9,320,2025-06-06,RICH,5,18.41,18.3,18.16,2.24,1.5,Blue Mojito,6632,1.8
"",B,2,4,27.1,520,2025-05-21,RICH,5,29.98,29.96,29.96,4.3,0.25,Calla Axel,11112,5.5
6. Interstate Mac,D,4,2,31.9,440,2025-04-04,GOUL,4/5,25.07,24.83,24.77,,3.5,Combatant,54344,5.5
"",D,1,8,31.8,400,2025-03-31,MAIT,5,22.38,22.38,22.37,5.35,0.75,Wild Terry,5441,6.0
"",D,3,1,31.5,400,2025-03-24,MAIT,5,22.75,22.53,22.35,5.47,3.0,No Shares,4763,2.8
"",D,4,8,31.5,440,2025-03-07,GOUL,4/5,25.26,24.74,24.57,,7.5,Zipping Cruise,55344,11.0
"",D,2,8,31.4,400,2025-03-03,MAIT,5,22.44,22.43,22.08,5.38,0.125,Bandit Chloe,5342,10.0
7. Zipping Tabitha,B,2,5,28.1,520,2025-06-29,RICH,4/5,30.37,30.0,30.0,4.38,5.25,Zipping Braddock,12222,19.0
"",B,5,9,28.4,401,2025-06-25,RICH,5,23.35,23.01,22.97,6.89,4.75,Hendrix,4675,15.0
"",B,7,1,28.3,520,2025-06-18,RICH,4/5,30.58,29.45,29.45,4.43,16.25,Zipping Dekkers,45777,31.0
"",B,6,1,28.5,520,2025-06-13,RICH,4/5,30.63,29.79,29.79,4.4,12.0,Zipping Mayer,55436,81.0
"",B,7,4,28.7,520,2025-06-04,RICH,4/5,30.69,29.72,29.72,4.55,13.75,Zipping Braddock,47667,61.0
8. Hendrix,D,1,1,32.5,401,2025-06-25,RICH,5,23.01,23.01,22.97,6.74,1.0,Tatooine,5321,1.6
"",D,5,8,32.1,401,2025-06-13,RICH,5,23.54,23.04,22.8,6.94,7.0,Kiwi Kawa,7455,3.6
"",D,1,1,32.5,320,2025-06-02,RICH,NG1-4,18.43,18.43,18.21,2.18,1.0,Pumpkin Eater,5521,1.5
"",D,4,2,32.7,324,2025-05-29,RICS,4,18.14,17.79,17.57,7.15,5.0,Bobcat Chevy,5334,18.0
"",D,7,4,33.7,324,2025-05-15,RICS,4,18.29,17.73,17.65,7.26,8.0,Bobcat Chevy,5557,16.0
