Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Uncommon,D,6,2,29.4,498,2025-06-24,TVLE,5,29.51,28.91,28.56,,8.5,Speedy Ben,6,7.5
"",D,4,2,29.5,498,2025-06-20,TVLE,R/W,29.44,29.1,29.1,,4.75,Canya Goose,4,3.6
"",D,2,6,29.4,380,2025-06-17,TVLE,5,22.28,22.27,21.63,,0.125,Come By Chance,2,5.0
"",D,4,5,29.3,498,2025-06-13,TVLE,R/W,29.34,28.87,28.7,,6.5,TOP NOTCH SCOTCH,4,2.25
"",D,2,3,28.9,380,2025-06-06,TVLE,5,22.02,21.78,21.54,,3.5,Canya Nuclear,2,2.4
2. WHITNEY GIRL,B,2,3,27.8,498,2025-06-20,TVLE,R/W,29.11,29.1,29.1,,0.125,Canya Goose,2,12.0
"",B,1,4,27.8,380,2025-06-06,TVLE,6,22.03,22.03,21.54,,1.0,Swing On By,1,6.0
"",B,4,8,27.8,380,2025-05-23,TVLE,6,22.38,22.08,21.7,,4.25,Aston Atkins,4,8.5
"",B,6,8,27.8,380,2025-01-17,TVLE,NOV,22.77,21.83,21.63,,13.25,Ace Diva,6,10.0
"",B,6,7,27.7,380,2024-11-29,TVLE,NOV,22.79,21.92,21.62,,12.25,Go Forward Cathy,6,5.5
3. Canya Goose,D,1,1,29.9,498,2025-06-20,TVLE,R/W,29.1,29.1,29.1,,0.125,WHITNEY GIRL,1,3.2
"",D,6,6,29.7,498,2025-06-17,TVLE,5,29.37,29.18,28.52,,2.5,Mr. Kaplan,6,26.0
"",D,2,8,29.6,498,2025-06-13,TVLE,R/W,29.08,28.87,28.7,,3.0,TOP NOTCH SCOTCH,2,4.8
"",D,5,7,30.0,380,2025-06-10,TVLE,5,22.3,21.81,21.56,,7.0,Mad Bunch,5,11.0
"",D,4,6,29.9,380,2025-06-03,TVLE,5,22.21,21.98,21.51,,3.25,STILTON INDIE,4,8.0
4. Flaming Comet,D,3,6,31.7,498,2025-06-20,TVLE,R/W,29.23,29.1,29.1,,1.75,Canya Goose,3,19.0
"",D,3,4,32.0,498,2025-06-13,TVLE,R/W,29.34,28.87,28.7,13.97,6.5,TOP NOTCH SCOTCH,3,13.0
"",D,4,1,31.8,380,2025-06-06,TVLE,5,22.17,21.78,21.54,,5.5,Canya Nuclear,4,12.0
"",D,3,3,31.8,380,2025-05-30,TVLE,P5,22.38,22.2,21.62,,2.5,ROCK BALBOA,3,6.0
"",D,6,3,31.8,380,2025-05-27,TVLE,OPEN,22.4,22.02,21.56,,5.25,Untamed Velocity,6,41.0
5. Project Alice,B,6,6,24.5,498,2025-06-24,TVLE,5,29.75,29.31,28.56,,6.25,Three Hearts,6,12.0
"",B,1,5,24.4,498,2025-06-20,TVLE,R/W,29.15,29.15,29.1,,1.75,Empty Sky,1,3.6
"",B,4,7,24.3,380,2025-05-30,TVLE,P5,22.29,22.02,21.62,,3.75,Speedy Ben,4,10.0
"",B,7,8,25.1,498,2025-05-09,TVLE,R/W,29.5,29.12,28.98,,5.25,Anna Rumble,7,41.0
"",B,6,2,25.5,380,2025-04-25,TVLE,5,22.93,22.06,21.8,,12.25,Mad Attitude,6,16.0
6. Gas It Up,B,7,3,29.3,498,2025-06-24,TVLE,5,29.84,29.31,28.56,,7.5,Three Hearts,7,11.0
"",B,2,4,29.5,498,2025-06-13,TVLE,R/W,29.04,28.7,28.7,,4.75,Canya Scarlet,2,7.5
"",B,5,6,29.5,380,2025-06-06,TVLE,5,22.19,21.78,21.54,,5.75,Canya Nuclear,5,21.0
"",B,4,2,29.5,498,2025-06-03,TVLE,5/6,29.06,28.65,28.45,,5.75,Southpaw Mcgraw,4,21.0
"",B,6,2,29.4,498,2025-05-27,TVLE,5,29.45,28.8,28.64,,9.25,Madeline Rupee,6,21.0
7. Pink Car,B,5,4,25.3,498,2025-06-24,TVLE,5,28.92,28.56,28.56,,5.25,Hopefully Fast,5,41.0
"",B,2,5,25.7,498,2025-06-17,TVLE,P5,29.36,29.19,28.52,,2.25,Stappen On Tap,2,4.8
"",B,6,1,25.8,380,2025-06-03,TVLE,5,22.33,21.66,21.51,,9.5,Swing Shift,6,15.0
"",B,6,7,25.5,380,2025-05-27,TVLE,OPEN,22.32,21.68,21.56,,9.25,Maisie Moo Moo,6,26.0
"",B,6,2,25.4,498,2025-05-16,TVLE,R/W,29.51,28.8,28.8,,10.0,LOTS OF BUGS,6,6.5
8. Showtime Morris,D,6,5,29.4,498,2025-06-13,TVLE,R/W,29.52,28.7,28.7,,11.75,Canya Scarlet,6,7.0
"",D,1,2,29.2,498,2025-06-06,TVLE,R/W,29.14,29.14,29.14,,0.75,LITTLE CHATTER,1,4.2
"",D,3,3,29.1,498,2025-05-30,TVLE,R/W,29.17,28.77,28.77,,5.75,Madeline Rupee,3,51.0
"",D,6,6,28.7,380,2025-05-09,TVLE,P5,22.4,21.85,21.81,,7.75,Flying In Style,6,51.0
"",D,3,3,28.9,380,2025-05-02,TVLE,P5,22.34,22.12,21.68,,3.0,Flying In Style,3,61.0
9. Mercurial Dancer,B,5,5,29.4,498,2025-06-20,TVLE,R/W,29.6,29.1,29.1,,7.0,Canya Goose,5,101.0
