Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. ABUNDANT LUMENS,D,3,4,32.8,460,2025-07-04,WAR,Grade 5,26.369,26.335,26.113,6.7285,0.75,RED ROCKS BEAUTY,3,16.0
"",D,1,4,32.9,435,2025-06-29,SAL,Grade 5,24.87,24.87,24.357,,0.25,RINGWALD,1,6.0
"",D,5,2,32.6,400,2025-06-24,WAR,Mixed 4/5,23.367,22.738,22.648,,9.5,DR. UNITED,5,23.0
"",D,5,3,32.6,435,2025-06-15,SAL,Grade 5,25.057,24.465,23.982,,9.0,SAXON KELTON,5,10.0
"",D,6,5,32.1,435,2025-06-08,SAL,Grade 5 Heat,24.743,24.053,24.053,5.442,10.5,PAW WHISTLER,6,8.0
2. MR. MIYAGI,D,4,2,35.4,525,2025-07-02,MEA,Grade 5,30.831,30.403,30.144,5.295,6.5,Blue Vendetta,4,4.2
"",D,6,3,35.5,500,2025-06-29,BEN,Grade 5,28.664,28.524,28.243,6.8225,2.25,MY NAME'S EVELYN,6,3.2
"",D,8,3,34.6,525,2025-05-24,MEA,Free For All,31.079,30.125,30.1,,14.25,EXCAVATION,8,18.0
"",D,5,2,34.7,525,2025-05-17,MEA,Grade 4,30.864,30.395,30.395,,7.0,RIVERSDALE MICK,5,9.0
"",D,2,4,35.4,525,2025-05-07,MEA,Mixed 4/5,30.265,30.228,29.877,,0.75,PAW PASADENA,2,2.75
3. VOLTAGE STRIKE,D,4,5,31.9,460,2025-07-04,GEE,Mixed 4/5,26.239,26.001,25.597,,3.75,GOLD CLASS COOL,4,10.0
"",D,3,2,31.9,460,2025-06-27,GEE,Mixed 4/5,26.13,25.956,25.879,6.82275,2.75,DASH OF WHISKY,3,16.0
"",D,4,2,31.8,460,2025-06-20,GEE,Mixed 4/5,26.049,25.57,25.57,,7.25,BEACH BOURBSKI,4,10.0
"",D,3,3,31.7,450,2025-06-18,BAL,Grade 5,25.798,25.577,25.124,,3.5,GLORIA'S ENTITY,3,4.0
"",D,1,2,31.9,400,2025-06-06,GEE,Mixed 4/5,22.496,22.496,22.453,8.6355,1.5,ASTON RECORD,1,6.0
4. BOMBARDA MAXIMA,D,6,2,35.1,460,2025-07-04,GEE,Mixed 4/5,26.334,26.001,25.597,,5.0,GOLD CLASS COOL,6,6.0
"",D,5,1,34.2,460,2025-06-20,GEE,Mixed 4/5,26.064,25.57,25.57,,7.5,BEACH BOURBSKI,5,3.6
"",D,3,6,34.5,500,2025-05-30,BEN,Mixed 3/4,28.342,28.005,28.005,,5.25,BEACH BOURBSKI,3,4.8
"",D,6,8,34.8,450,2025-05-25,BAL,S/E Heat,25.482,24.983,24.737,6.65925,7.5,EXPLICIT,6,10.0
"",D,1,4,35.0,450,2025-05-14,BAL,Mixed 4/5,25.269,25.269,25.241,6.53,1.5,PAW XENA,1,4.8
6. TEXAS PRESIDENT,D,1,1,32.6,525,2025-06-04,MEA,Grade 5,29.981,29.981,29.847,,10.0,Kid Luck,1,1.5
"",D,2,6,32.7,515,2025-04-03,SAN,S/E Heat,29.709,29.468,29.218,5.30075,3.75,SHIMA STAN,2,10.0
"",D,4,4,32.7,515,2025-03-20,SAN,Restricted Win Final,29.805,29.678,29.035,,2.0,FLEETWOOD  EROS,4,7.5
"",D,2,6,32.7,515,2025-03-10,SAN,Restricted Win Heat,29.454,29.22,29.108,5.205,3.5,ASTON RAYNER,2,4.0
"",D,6,6,32.6,525,2025-03-01,MEA,Grade 5,30.521,29.94,29.544,,8.75,FLYING MUFFIN,6,23.0
7. JUMBUK SACHIN,D,2,2,31.1,510,2025-07-06,SAL,Mixed 4/5,28.952,28.777,28.777,,2.75,MY NAME'S EVELYN,2,8.0
"",D,3,2,31.1,400,2025-07-01,WAR,Restricted Win Heat,23.069,22.779,22.631,8.515,4.5,UNLEASH THE LION,3,4.5
"",D,1,8,30.7,435,2025-06-27,SAL,Grade 5,24.506,24.506,24.249,,8.0,Hatenna Bale,1,3.4
"",D,2,5,30.9,400,2025-06-24,WAR,Grade 5,22.821,22.648,22.648,8.31,2.75,ENZOLA,2,8.5
"",D,1,4,31.1,390,2025-06-18,BAL,Mixed 6/7,22.133,22.133,22.072,8.46,6.0,TRADING HALT,1,4.0
8. BLACK STATESMAN,D,3,7,33.9,485,2025-07-07,HOR,Mixed 4/5,27.505,27.221,27.221,,4.25,HIGHLY ABRASIVE,3,10.0
"",D,6,8,33.7,450,2025-07-03,WAR,Grade 5,26.498,25.467,25.025,,15.5,CANYA JUMP,6,8.0
"",D,1,10,33.7,450,2025-06-25,BAL,Grade 5,25.722,25.722,25.722,6.74375,1.75,JUST BELIEVE,1,16.0
"",D,4,8,33.9,450,2025-06-19,WAR,Grade 5,25.647,25.11,24.716,,8.25,HUMIDITY,4,6.5
"",D,1,8,34.2,450,2025-06-14,BAL,Grade 5,25.769,25.769,25.721,6.784,1.75,Zipping Crusader,1,3.0
