Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Compton Franky,D,4,5,29.8,400,2025-06-26,MT/G,TG1-4W,24.16,23.97,23.38,11.11,2.5,Bali Unleashed,1444,1.65
"",D,3,4,29.6,400,2025-06-19,MT/G,TG1-4W,23.33,23.13,23.13,11.06,2.75,Galactic Jinn,4333,2.3
"",D,4,7,29.9,395,2025-06-13,MBR,5,22.5,22.12,22.12,5.18,5.25,Buzz The Hustler,4,41.0
"",D,5,3,29.2,400,2025-06-08,MT/G,6,24.22,23.39,23.14,,11.75,Merger,5,3.8
"",D,4,5,29.0,395,2025-05-16,MBR,5,22.8,22.25,22.25,5.2,7.75,Fantastic Ada,7444,26.0
2. CHERRY EMINEM,D,1,3,31.5,400,2025-07-10,MT/G,TG1-4W,23.58,23.58,23.11,10.91,1.75,Miracle Man,1,3.4
"",D,3,1,31.6,400,2025-07-03,MT/G,TG1-4W,23.79,23.65,22.99,11.2,2.0,HUSKY BAILEY,3343,2.6
"",D,1,3,31.5,400,2025-06-26,MT/G,TG1-4W,23.62,23.62,23.38,11.05,4.0,Rusty Wheels,2111,6.0
"",D,3,3,32.0,400,2025-06-19,MT/G,TG1-4W,23.93,23.42,23.13,11.54,7.25,Rusty Wheels,6333,3.0
"",D,2,1,32.1,400,2025-06-15,MT/G,TG1-4W,23.78,23.55,23.19,11.18,3.25,Rusty Wheels,2,2.5
3. Rusty Wheels,D,2,2,37.8,400,2025-07-10,MT/G,TG1-4W,23.51,23.32,23.11,10.97,2.5,SHERRY CHERRY,2,12.0
"",D,2,4,37.5,400,2025-07-03,MT/G,TG1-4W,23.52,23.15,22.99,10.96,5.25,SHERRY CHERRY,2222,8.0
"",D,2,8,37.7,400,2025-06-26,MT/G,TG1-4W,23.9,23.62,23.38,11.36,4.0,CHERRY EMINEM,4322,3.2
"",D,1,8,37.9,400,2025-06-19,MT/G,TG1-4W,23.42,23.42,23.13,10.95,6.0,Cadillac Jilly,1111,2.4
"",D,1,8,37.6,400,2025-06-15,MT/G,TG1-4W,23.55,23.55,23.19,10.99,3.25,CHERRY EMINEM,1,7.5
4. BLUE KHAKI,D,1,8,31.6,400,2025-07-10,MT/G,TG1-4W,23.11,23.11,23.11,10.93,4.0,Magic Poppy,1,1.4
"",D,4,9,31.7,460,2025-06-27,GEE,Mixed 6/7,26.808,26.023,25.879,6.73525,11.75,BILLY BUST UP,4,6.0
"",D,1,7,32.4,400,2025-05-23,WAR,Maiden,22.821,22.821,22.613,,6.0,ELSWYK CINNAMON,1,2.8
"",D,2,2,31.9,450,2025-04-09,BAL,Maiden,25.454,25.376,25.346,,1.25,SMOOTH DYNAMITE,2,8.0
"",D,4,7,31.9,515,2025-01-06,SAN,Maiden,30.622,29.993,29.367,5.275,9.5,WHATEVER JACK,4,4.5
6. Senior Citizen,B,7,5,27.9,400,2025-07-13,MT/G,6,24.11,23.54,23.17,11.37,8.25,BUSTING,7,23.0
"",B,3,7,28.0,400,2025-07-10,MT/G,TG1-4W,23.73,23.11,23.11,11.19,8.75,BLUE KHAKI,3,11.0
"",B,2,7,27.7,400,2025-06-29,MT/G,6,23.57,23.39,23.17,10.99,2.5,Lust To Burn,2222,14.0
"",B,5,8,27.1,305,2025-06-22,MT/G,6,18.16,17.63,17.58,,7.5,Techno Kelli,5,17.0
"",B,7,4,27.2,305,2025-06-15,MT/G,6,19.35,17.71,17.71,6.05,23.5,Nicked Again,7,15.0
7. HUSKY BAILEY,D,4,7,33.9,400,2025-07-10,MT/G,TG1-4W,23.96,23.58,23.11,11.48,5.25,CHERRY EMINEM,4,2.8
"",D,1,4,33.5,400,2025-07-03,MT/G,TG1-4W,23.65,23.65,22.99,11.27,0.125,CLASSY WILLOW,5421,2.9
"",D,3,7,33.8,400,2025-06-26,MT/G,TG1-4W,24.05,23.62,23.38,11.37,6.0,CHERRY EMINEM,5443,3.7
"",D,1,6,34.2,450,2025-06-12,SHE,Mixed 6/7,25.925,25.925,25.678,,0.75,SAM'S UNIVERSE,1,8.0
"",D,3,7,33.8,400,2025-06-03,GEE,Grade 7,23.158,22.676,22.676,8.8485,7.25,REGAL HUXLEY,3,8.0
8. Magic Poppy,B,2,2,26.4,400,2025-07-10,MT/G,TG1-4W,23.39,23.11,23.11,11.07,4.0,BLUE KHAKI,2,8.0
"",B,7,3,26.7,512,2025-07-03,MT/G,TG1-4W,30.54,29.89,29.89,4.67,9.25,Swift Gift,88877,81.0
"",B,5,4,27.2,400,2025-06-26,MT/G,TG1-4W,24.15,23.62,23.38,11.58,7.5,CHERRY EMINEM,6655,6.5
"",B,4,8,27.3,400,2025-06-19,MT/G,TG1-4W,23.59,23.13,23.13,11.27,6.5,Galactic Jinn,6544,15.0
"",B,6,3,27.4,400,2025-06-15,MT/G,6,23.87,23.4,23.19,11.51,6.5,Galactic Jinn,6,23.0
