Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Katie's Champion,D,3,3,31.4,365,2025-07-07,NOWR,5,21.08,20.83,20.52,8.9,3.5,Fancy Bentley,53,3.2
"",D,2,7,31.7,365,2025-06-30,NOWR,5,20.88,20.74,20.38,8.8,2.0,Glorified,32,7.0
"",D,3,4,31.0,520,2025-05-01,DAPT,5,30.27,29.76,29.76,5.54,7.25,Brother Ernest,5333,14.0
"",D,4,7,31.1,520,2025-04-26,NOWR,5,30.19,29.95,29.25,4.44,3.5,Zipping Mckeon,334,8.5
"",D,3,2,31.2,520,2025-04-14,NOWR,5,29.99,29.58,29.25,4.34,5.75,Zipping Dekkers,233,5.5
2. Norma Said,B,7,7,26.8,401,2025-07-13,RICH,5,23.54,22.67,22.67,7.03,12.25,Zipping Ali,6787,12.0
"",B,4,1,26.8,400,2025-07-08,BUL,5,22.91,22.41,22.38,6.67,7.0,Kooringa Express,3564,7.5
"",B,3,6,26.6,297,2025-07-03,DAPT,5,17.58,16.92,16.91,5.5,9.25,Lure Detective,333,5.0
"",B,5,3,27.2,400,2025-04-01,BUL,5,22.79,22.44,22.44,6.63,5.0,Unbothered,5545,15.0
"",B,1,1,27.2,400,2025-03-24,MAIT,5,22.57,22.57,22.35,5.39,3.0,Jilliby Dan,2111,2.3
3. Truffles Girl,B,4,3,26.9,520,2025-07-14,NOWR,5,30.26,29.97,29.75,4.37,4.25,Gillenbah Tiger,334,7.5
"",B,5,1,26.9,520,2025-07-10,DAPT,5,30.87,30.18,30.18,5.69,9.75,Where's Ivy,6555,11.0
"",B,3,3,26.9,520,2025-07-07,NOWR,5,30.42,30.15,29.62,4.43,3.75,Flashed Over,333,9.5
"",B,4,2,26.4,520,2025-06-30,NOWR,5,30.48,30.03,29.72,4.4,6.25,Zipping Trucker,534,71.0
"",B,6,6,26.4,520,2025-06-23,NOWR,5,30.85,30.55,29.95,4.4,4.25,Sandi Kingdom,446,5.5
4. Long Island Blue,D,4,1,32.1,600,2025-07-10,DAPT,MX,35.55,35.14,34.43,9.93,5.75,Zipping Mckeon,5544,23.0
"",D,4,8,32.5,330,2025-07-02,TEMA,5,19.54,19.31,18.71,,3.25,Helm,4,5.5
"",D,3,3,32.0,525,2025-06-27,WAGA,5,31.08,30.57,30.36,5.45,7.25,STAPLETON,3,15.0
"",D,5,4,32.3,457,2025-06-25,TEMA,5,26.65,26.18,26.16,,6.5,Spiralling,5,31.0
"",D,5,6,31.6,457,2025-06-11,TEMA,5,26.15,25.58,25.56,,8.25,Shiralee,5,51.0
6. Angelic Angel,B,6,7,28.6,520,2025-07-10,W/PK,5,30.55,29.65,29.54,5.61,12.75,Zipping Ariel,4566,13.0
"",B,4,5,28.6,520,2025-07-03,W/PK,5,30.35,30.1,29.54,5.56,3.5,Vintage Flair,2444,4.6
"",B,1,6,28.7,400,2025-06-17,BUL,5,22.51,22.51,22.45,6.57,0.5,No More Games,1111,7.0
"",B,1,7,28.6,340,2025-06-10,BUL,5,19.41,19.41,19.18,3.33,2.75,Beautiful Magpie,1111,1.8
"",B,3,8,29.5,400,2025-05-06,BUL,5,22.94,22.53,22.41,6.69,5.75,Zipping Elijah,6443,4.0
7. Secret Getaway,D,2,6,31.5,520,2025-07-14,NOWR,5,30.5,30.21,29.75,4.53,4.25,Almost Stunning,642,7.0
"",D,3,8,31.6,401,2025-07-11,RICH,5,23.3,23.14,22.67,7.04,2.25,Sneaky Chamber,5653,21.0
"",D,3,6,32.0,472,2025-07-08,BUL,MX,27.05,26.69,26.69,10.36,5.25,Zipping Callahan,4443,9.0
"",D,3,8,31.7,320,2025-07-04,RICH,5,18.75,18.35,18.23,2.28,5.75,Red Rock Rattler,6653,19.0
"",D,6,4,32.4,440,2025-06-27,GOUL,5,25.77,25.02,24.76,,10.5,Jayla Magic,78766,101.0
8. Bree Bree,B,8,1,25.8,520,2025-07-03,W/PK,5,31.88,30.1,29.54,5.61,25.25,Vintage Flair,8688,9.0
"",B,6,8,26.0,472,2025-06-10,BUL,MX,27.27,27.06,26.33,10.23,3.0,TROPIC SANDS,6216,4.2
"",B,1,2,26.1,520,2025-06-05,DAPT,MX,30.29,30.29,29.9,5.52,2.0,Just Braxton,1111,2.4
"",B,1,2,26.2,520,2025-05-15,DAPT,M,30.05,30.05,29.97,5.53,5.25,Prowess,1111,2.6
"",B,3,2,26.1,520,2025-05-01,DAPT,MX,30.71,29.92,29.76,5.69,11.25,Fantastic Storm,7433,8.0
