Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. BUN TORNADO,B,3,1,27.1,400,2025-06-23,MAIT,5,22.87,22.66,22.37,5.45,3.0,Dizzy Digby,1213,5.5
"",B,3,6,27.3,400,2025-06-21,GRDN,5,23.53,22.88,22.82,11.63,9.25,Avocado Toast,363,17.0
"",B,7,7,27.4,400,2025-06-14,GRDN,5,23.85,22.96,22.51,11.91,12.75,Aston Depp,177,21.0
"",B,4,5,27.1,388,2025-06-10,GOSF,5,22.66,22.58,22.24,,1.0,Let's Win Rosie,4,9.5
"",B,3,5,27.6,400,2025-05-26,MAIT,5,23.14,22.57,22.31,5.57,8.25,Despicable Dash,3443,6.0
2. Out Of Style,B,3,4,25.5,520,2025-06-21,W/PK,5,29.86,29.72,29.41,5.38,2.0,Allan Keeping,1113,5.0
"",B,8,3,25.5,520,2025-06-14,W/PK,5,30.48,29.63,29.63,5.61,12.25,Epic Story,6468,4.2
"",B,2,3,25.1,527,2025-06-08,GUNN,NG,30.58,30.23,30.23,3.58,5.0,AUSSIE ZAC,557722,3.2
"",B,1,2,25.2,527,2025-06-01,GUNN,NG,30.24,30.24,30.24,3.54,5.75,Canya Brew It,1111,1.8
"",B,5,5,24.6,516,2025-05-17,DUBO,NG,29.97,29.49,29.49,4.44,6.75,Gets Late Early,566655,23.0
3. Molly On Fire,B,2,8,27.5,400,2025-06-14,GRDN,FFA,23.18,23.03,22.51,11.33,2.0,Likeable Rogue,252,2.5
"",B,4,4,27.4,400,2025-06-07,GRDN,NG,23.09,22.47,22.47,11.48,8.75,Mark To Market,244,5.0
"",B,1,2,27.4,388,2025-05-31,GOSF,FFA,22.24,22.24,22.2,10.27,0.125,Hey Mickey,8421,3.2
"",B,1,5,27.4,400,2025-05-16,GRDN,FFA,22.79,22.79,22.59,11.11,0.75,Maserati Avenue,221,3.5
"",B,3,3,27.4,400,2025-05-02,GRDN,NG1-4,22.77,22.47,22.36,11.2,4.25,Smart Comet,653,6.0
4. Rosa Marie,B,1,5,29.0,515,2025-06-21,GRDN,4/5,29.49,29.49,29.49,4.96,1.0,Tracker,2111,1.6
"",B,1,4,28.7,520,2025-06-14,W/PK,5,29.64,29.64,29.63,5.49,7.5,Dynamic Gregory,3111,1.5
"",B,1,1,28.8,520,2025-06-05,W/PK,5,29.6,29.6,29.58,5.5,5.75,Cawbourne Slick,4211,1.85
"",B,2,4,28.7,520,2025-05-31,W/PK,5,29.87,29.85,29.66,5.52,0.25,Zipping Hasler,3212,3.9
"",B,1,1,28.4,520,2025-05-22,W/PK,5,30.22,30.22,29.69,5.67,3.75,Cupid's Arrow,7411,1.6
6. Tracker,D,2,4,35.3,515,2025-06-21,GRDN,4/5,29.56,29.49,29.49,5.04,1.0,Rosa Marie,6322,3.9
"",D,1,8,35.7,450,2025-06-08,GRAF,4/5,25.17,25.17,25.17,9.13,2.5,PAW GERTRUDE,4321,1.6
"",D,2,1,35.4,450,2025-06-02,MAIT,4/5,25.2,25.0,25.0,7.99,2.75,Calypso Rogue,5532,7.0
"",D,1,6,35.7,350,2025-05-18,GRAF,5,20.14,20.14,19.95,4.23,4.75,Exonerate,7611,1.85
"",D,3,7,35.3,450,2025-03-31,MAIT,5,25.06,24.87,24.87,7.88,2.5,Robert Keeping,6653,6.5
7. FASCINATE DEBRA,B,4,1,26.4,515,2025-06-21,GRDN,4/5,29.89,29.49,29.49,5.08,5.75,Rosa Marie,3444,6.5
"",B,5,8,26.3,520,2025-06-12,W/PK,NG1-4,30.19,29.53,29.53,5.5,9.25,Zipping Chaplin,2335,51.0
"",B,8,8,26.4,520,2025-05-31,W/PK,5,30.87,30.01,29.66,5.62,12.25,Noah Keeping,7488,7.5
"",B,4,7,26.6,600,2025-05-17,GRDN,5,35.37,34.16,34.16,9.41,17.25,Kenzie Robbo,3364,6.5
"",B,7,1,26.4,520,2025-05-03,W/PK,5,31.94,29.8,29.58,5.58,30.5,Cool Junior,6777,8.5
8. Casari,B,2,8,26.6,520,2025-06-21,W/PK,5,30.23,29.77,29.41,5.52,6.5,Go Jimmy,1122,7.0
"",B,2,2,26.5,520,2025-06-14,W/PK,5,30.18,30.13,29.63,5.57,0.75,Dynamic Drummer,4212,3.5
"",B,5,3,26.7,520,2025-05-31,W/PK,5,30.28,29.85,29.66,5.53,6.0,Zipping Hasler,5355,5.0
"",B,3,8,26.8,520,2025-05-24,W/PK,5,30.4,29.86,29.79,5.53,7.75,Zipping Dekkers,2233,4.4
"",B,2,1,26.6,520,2025-05-17,W/PK,5,30.0,29.97,29.63,5.48,0.5,LEONI BALE,1112,2.5
