Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. DAINTREE PEARL,B,4,2,28.0,390,2025-06-23,BAL,Tier 3 - Grade 7,23.067,22.939,22.401,8.83,2.0,BARELLEN LACE,4,1.6
"",B,3,7,28.2,400,2025-06-19,WAR,Tier 3 - Grade 7,23.063,22.873,22.789,8.55,3.0,DAINTREE BULLET,3,4.6
"",B,6,2,28.5,435,2025-06-15,SAL,Grade 7,25.423,24.866,23.982,,8.5,SOMERTON TEDDY,6,10.0
"",B,4,4,28.6,450,2025-06-11,BAL,Mixed 6/7,25.903,25.59,25.514,,4.75,LALA EFFIE,4,18.0
"",B,2,5,28.9,435,2025-06-04,SAL,Tier 3 - Grade 7,24.941,24.911,24.585,,0.5,VIENNA GOLD,2,5.0
2. JULIE'S GIRL,B,1,8,30.8,400,2025-06-19,WAR,Tier 3 - Maiden,23.096,23.096,22.789,8.5,9.5,MT. VIEW BARCIA,1,16.0
"",B,6,6,31.2,400,2025-06-05,WAR,Maiden,23.612,22.886,22.545,,11.0,NIGHTMARE,6,16.0
"",B,8,10,30.8,435,2025-06-01,SAL,Maiden,25.527,24.509,24.376,,15.25,HAFNIUM,8,26.0
"",B,7,4,31.2,400,2025-05-08,WAR,Maiden,24.225,23.353,22.99,,13.25,BLACK ATOM,7,16.0
"",B,6,4,31.2,435,2025-04-27,SAL,Maiden,26.18,24.573,23.868,5.7525,24.0,UNLEASH ME,6,16.0
3. TINY FOX,B,8,7,28.0,510,2025-06-08,SAL,Restricted Win,29.594,28.799,28.799,9.33,12.0,AMRON TOMMY,8,21.0
"",B,5,6,28.3,460,2025-06-03,WAR,Mixed 6/7,26.564,26.139,26.103,,6.5,LEWIS,5,26.0
"",B,7,5,28.4,460,2025-05-30,WAR,Restricted Win,26.638,26.357,25.731,,4.25,HOVERING,7,21.0
"",B,7,8,28.4,400,2025-04-15,WAR,Grade 7,23.57,22.848,22.572,8.7575,11.0,IN ONE MOMENT,7,11.0
"",B,3,2,27.9,400,2025-04-10,WAR,Tier 3 - Grade 7,23.368,22.979,22.96,,6.0,JAMS DONUTS,3,4.2
4. BRUCE,D,6,7,30.0,390,2025-06-23,BAL,Tier 3 - Grade 7,23.286,22.939,22.401,9.047,5.25,BARELLEN LACE,6,4.0
"",D,2,6,30.4,400,2025-06-19,WAR,Tier 3 - Grade 7,23.2,22.97,22.789,8.905,3.5,CATCH A CUTIE,2,26.0
"",D,8,5,31.1,510,2025-06-04,SAL,Tier 3 - Restricted Win,29.917,29.081,28.999,,12.5,LAKEVIEW KIM,8,21.0
"",D,7,7,31.2,460,2025-05-29,WAR,Tier 3 - Restricted Win,27.022,26.177,25.932,7.15175,12.75,BENGAL  BEAST,7,10.0
"",D,4,2,31.3,435,2025-05-21,SAL,Tier 3 - Grade 7,25.228,24.834,24.795,5.56225,6.0,TAILOR'S CHALK,4,3.0
5. NEWBROCK TILLY,B,7,6,26.4,435,2025-05-28,SAL,Grade 7,26.829,25.442,24.889,5.36,20.75,DR. REIGNITE,7,4.0
"",B,6,7,25.9,435,2025-05-21,SAL,Tier 3 - Grade 7,25.337,24.834,24.795,5.3225,7.75,TAILOR'S CHALK,6,5.0
"",B,8,1,26.4,435,2025-04-30,SAL,Restricted Win Heat,26.267,25.482,24.566,,11.75,PARUMBA CHA CHA,8,8.5
"",B,6,5,26.7,435,2025-04-16,SAL,Tier 3 - Grade 7,25.768,24.626,24.482,5.3995,17.25,SPLASHED,6,5.0
"",B,1,8,26.4,435,2025-04-09,SAL,Maiden,24.97,24.97,24.707,,1.0,Whizbang Archer,1,15.0
6. CHANCE O'LEARY,B,7,4,25.9,435,2025-06-15,SAL,Grade 7,25.441,24.866,23.982,,8.75,SOMERTON TEDDY,7,12.0
"",B,2,7,26.1,435,2025-06-11,SAL,Mixed 6/7,24.8,24.761,24.414,5.43,0.75,OMEGA PENNIE,2,2.8
"",B,8,4,25.9,400,2025-05-22,WAR,Mixed 6/7,23.464,23.065,22.856,8.56,6.0,BALANCED,8,3.4
"",B,7,2,25.8,435,2025-05-14,SAL,Mixed 6/7,25.379,25.075,24.493,,4.75,SOMERTON JANE,7,5.0
"",B,2,3,25.4,400,2025-04-03,WAR,Grade 7,23.117,23.092,22.377,8.6675,0.5,WARRIOR PAGE,2,3.6
7. JADE'S HOT,B,8,2,23.5,435,2025-06-18,SAL,Grade 7,25.691,24.481,24.481,5.441,18.25,BLACK ATOM,8,10.0
"",B,6,2,23.2,400,2025-05-20,WAR,Grade 7,23.914,23.337,22.314,,8.75,PEARLY WHIRLY,6,8.5
"",B,5,3,23.5,435,2025-05-11,SAL,Grade 7,25.194,24.455,24.166,,11.25,FUELED UP,5,16.0
"",B,5,8,23.9,435,2025-05-07,SAL,Tier 3 - Grade 7,25.535,24.588,24.575,5.45175,14.25,SELECT CASH,5,8.0
"",B,5,6,23.9,435,2025-05-02,SAL,Mixed 6/7,25.234,24.898,24.402,,5.25,PAW VELDRON,5,8.0
8. CUBAN LAD,D,6,8,31.3,595,2025-05-05,SAN,Restricted Win,36.324,34.738,34.044,,23.75,FROM THE GHETTO,6,26.0
"",D,7,3,31.3,510,2025-04-30,SAL,Restricted Win,29.73,29.291,29.291,9.605,6.75,AFTERSHOCK,7,26.0
"",D,4,3,31.5,460,2025-04-25,WAR,Mixed 6/7,26.84,26.062,26.062,,11.75,GOOD ODDS MARIO,4,21.0
"",D,8,3,31.5,400,2025-04-22,WAR,Grade 7,23.718,23.285,22.446,,6.5,PINOT GRIGIO,8,11.0
"",D,6,8,32.6,510,2025-03-05,SAL,Tier 3 - Restricted Win,30.077,29.106,29.106,,14.5,NEWHAVEN SEQUOIA,6,10.0
