Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. You'Re In Luck,B,5,5,24.8,515,2025-06-23,SAN,Grade 5 No Penalty,30.846,29.932,29.45,5.26,13.75,TARGET RANGE,5,15.0
"",B,5,1,24.7,400,2025-06-12,WAR,Grade 5 T3,23.33,22.804,22.617,8.8975,8.0,Bon Star,5,8.0
"",B,6,9,24.0,515,2025-06-09,SAN,Grade 5 No Penalty,31.021,30.137,29.916,5.1875,13.25,UPTIGHT,6,34.0
"",B,7,6,24.1,515,2025-06-02,SAN,Grade 5 No Penalty,30.993,29.92,29.593,5.225,16.25,AFTERSHOCK,7,12.0
"",B,2,8,24.4,400,2025-05-29,WAR,Grade 5 T3,23.343,23.263,22.955,8.715,1.25,Redshift Victory,2,12.0
2. My Slick Rick,D,6,5,34.6,460,2025-06-19,WAR,Grade 5 T3,26.602,26.102,26.09,6.791,7.5,Mighty Hercules,6,16.0
"",D,6,4,35.3,515,2025-05-29,SAN,Grade 5,30.564,29.76,29.339,,12.0,FLYING TATUM,6,8.0
"",D,5,5,34.6,595,2025-05-23,SAN,Restricted Win Final,34.907,34.433,33.766,,7.25,WARM HUGS,5,12.0
"",D,2,7,34.1,515,2025-05-19,SAN,Grade 5,29.856,29.848,29.355,,0.25,MISS JAZZ,2,12.0
"",D,3,1,34.6,595,2025-05-12,SAN,Restricted Win Heat,34.687,34.544,33.958,,2.25,PAW QUINBY,3,8.5
3. PAW GREGSON,D,4,5,33.6,515,2025-06-26,SAN,Restricted Win,29.938,29.363,29.363,5.285,8.75,VALEDICTORIAN,4,9.0
"",D,3,6,33.9,525,2025-06-18,MEA,Grade 5 T3,30.559,30.459,29.967,5.3015,1.5,PERFECT SOUL,3,10.0
"",D,2,6,33.6,500,2025-06-13,BEN,Restricted Win,28.629,28.537,28.377,,1.5,QUEST FOR ANGEL,2,8.0
"",D,2,4,33.6,410,2025-06-10,HOR,Grade 5,23.833,23.749,23.479,,1.5,My Lady Panama,2,4.6
"",D,6,6,33.0,450,2025-06-04,WAR,Grade 5,25.837,25.359,25.192,,7.25,ASTON GLEAM,6,3.6
4. Excavator Ticket,D,5,8,32.6,640,2025-06-22,SAL,Grade 5,37.402,36.625,36.625,6.2875,11.75,IF ONLY,5,16.0
"",D,4,6,32.8,435,2025-06-18,SAL,Grade 5 Heat,25.339,24.824,24.481,5.5425,7.75,Jack Hook,4,12.0
"",D,7,5,32.6,460,2025-06-10,WAR,Mixed 4/5,26.669,26.169,25.931,,7.5,CANYA JIVE,7,10.0
"",D,4,7,33.4,510,2025-04-20,SAL,Grade 5,29.194,28.818,28.799,9.62925,5.75,KELLY JANE,4,9.0
"",D,4,7,33.0,510,2025-04-13,SAL,Grade 5 Heat,29.056,28.635,28.223,,6.5,COLLINDA DOUGIE,4,21.0
6. NICKY'S SECRET,B,1,1,27.8,500,2025-06-25,BEN,Tier 3 - Restricted Win,28.748,28.748,28.474,6.755,1.0,KENNETH BALE,1,2.4
"",B,3,4,27.8,500,2025-06-21,BEN,Mixed 6/7,28.855,28.609,28.198,,3.75,CORNHILL RAVEN,3,6.5
"",B,3,7,27.9,450,2025-06-16,BAL,Tier 3 - Grade 6,26.275,25.898,25.539,6.952,5.75,CHEESY EASY,3,7.5
"",B,4,1,27.4,450,2025-06-12,WAR,Restricted Win Heat,25.719,25.524,24.946,6.835,3.0,WINNING STEPS,4,7.0
"",B,6,4,27.3,525,2025-06-07,MEA,Grade 6,30.858,30.175,29.914,,10.25,CLEO'S STAR,6,34.0
7. RITA STAFF,B,3,8,27.6,515,2025-06-23,SAN,Grade 5 No Penalty,30.376,30.095,29.45,5.1635,4.25,UPTIGHT,3,10.0
"",B,8,8,27.6,515,2025-06-16,SAN,Grade 5 Heat,30.664,29.854,29.724,,12.25,Spring Miles,8,51.0
"",B,2,7,27.5,515,2025-06-09,SAN,Grade 5 No Penalty,30.427,30.137,29.916,5.1,4.5,UPTIGHT,2,10.0
"",B,4,4,27.3,515,2025-06-02,SAN,Grade 5 No Penalty,30.298,29.897,29.593,5.232,6.0,THORKILDSEN,4,12.0
"",B,5,8,27.2,510,2025-05-18,SAL,Grade 5 Heat,29.516,29.028,28.538,,7.5,XOEL BALE,5,10.0
8. Nellie Running,B,3,5,24.3,460,2025-06-26,WAR,Grade 5 T3,26.365,26.286,26.286,,1.25,BAGGIO,3,16.0
"",B,1,4,24.3,435,2025-06-18,SAL,Grade 6,24.822,24.822,24.481,5.26,1.5,JETSON LIGHTNING,1,8.0
"",B,6,2,24.8,460,2025-06-10,WAR,Restricted Win,26.394,26.004,25.931,,6.0,LEWIS,6,14.0
"",B,1,6,24.9,460,2025-06-05,WAR,Mixed 6/7,26.223,26.223,26.223,,2.0,PRECINCT,1,3.0
"",B,6,2,24.2,435,2025-05-21,SAL,Tier 3 - Grade 7,25.384,24.81,24.795,,8.75,SMOOTH TIGER,6,3.6
