Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Flame On,D,6,2,32.1,520,2025-07-16,CANN,M,30.85,30.16,29.88,5.65,9.75,Queen Of Kuna,34556,11.0
"",D,5,8,32.3,520,2025-07-05,CANN,M,30.51,30.14,29.62,5.58,5.25,Strip Weathers,24445,10.0
"",D,4,8,32.4,520,2025-06-28,CANN,M,30.57,30.21,29.52,5.66,5.25,Speed Byte,55554,10.0
"",D,6,5,32.1,520,2025-06-14,CANN,M,30.72,29.9,29.57,5.72,11.75,Rapido Ace,66666,21.0
"",D,6,6,32.1,520,2025-06-07,CANN,M,30.61,29.78,29.56,5.73,11.75,Bastianini,76666,51.0
4. Miss Tennessee,B,8,7,26.5,520,2025-07-16,CANN,M,31.36,30.03,29.88,5.77,19.0,Career Highlight,77768,9.0
6. Michelle's Dream,D,5,6,31.4,520,2025-07-16,CANN,M,30.98,30.03,29.88,5.61,13.5,Career Highlight,33455,6.5
"",D,8,2,32.1,520,2025-05-03,CANN,M,31.06,29.97,29.58,5.66,15.5,Starlight Tory,58888,4.6
8. Speedy Pongo,D,4,3,32.7,520,2025-07-16,CANN,M,30.85,30.03,29.88,5.58,11.75,Career Highlight,22544,31.0
"",D,6,1,33.5,520,2025-06-25,CANN,M,30.93,30.11,29.88,5.74,11.75,Sunset Paris,73446,3.6
"",D,7,5,32.9,520,2025-06-07,CANN,M,30.85,29.78,29.56,5.75,15.25,Bastianini,88887,23.0
"",D,3,5,32.8,520,2025-05-31,CANN,M,30.66,30.09,29.6,5.72,8.25,Legs Eleven,44433,5.5
"",D,6,8,32.8,520,2025-05-24,CANN,M,30.87,30.3,29.76,5.67,8.25,Starlight Snowy,46566,9.5
