Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Spring Ribbon,D,1,7,38.0,440,2025-06-20,GOUL,M,25.18,25.18,24.79,,0.75,Cool Disguise,2221,1.7
"",D,2,4,37.6,440,2025-06-13,GOUL,M,25.3,24.86,24.49,,6.25,Louie The Fly,44322,5.0
"",D,5,2,38.0,340,2025-05-28,GUNN,M,20.32,19.44,19.42,6.85,12.5,Minty Dancer,7855,2.8
2. CARROTS,D,2,7,30.7,410,2025-06-03,HOR,Grade 6,23.646,23.506,23.326,,2.25,Lektra Bills,2,6.5
"",D,1,6,31.0,400,2025-05-27,GEE,Mixed 6/7,22.699,22.699,22.655,8.52,8.5,BUSH BIG SHOW,1,2.2
"",D,4,1,31.0,400,2025-04-26,GEE,Mixed 6/7,23.151,22.701,22.305,8.6745,6.75,MISPLACED,4,4.2
"",D,1,2,30.5,390,2025-04-10,WAR,Maiden,22.338,22.338,21.9,8.82,3.25,LARNI LOU,1,4.6
"",D,5,7,30.9,450,2025-03-27,WAR,Maiden,26.02,25.047,25.047,6.9575,14.75,MORNING BOSS,5,6.0
3. Rockabye Baby,B,2,7,31.0,440,2025-06-20,GOUL,5,24.99,24.93,24.79,,0.75,Deputised,1112,4.6
"",B,6,4,31.2,350,2025-06-13,GOUL,5,20.51,19.63,19.63,,12.5,Spring Mirage,4866,4.2
"",B,2,7,31.0,350,2025-06-06,GOUL,5,19.9,19.84,19.62,,0.75,Mellcat Bad Boy,1222,6.0
"",B,4,3,31.0,440,2025-03-28,GOUL,5,25.56,25.19,25.0,,5.25,Big Ted,34344,4.6
"",B,1,4,31.5,350,2025-03-21,GOUL,M,20.18,20.18,19.77,,0.5,Spring Dazzler,4211,2.6
4. Calla Muffin,B,6,6,26.0,350,2025-06-20,GOUL,5,20.57,19.82,19.74,,10.5,Saint Omagh,5576,41.0
"",B,7,2,25.9,472,2025-06-17,BUL,5,27.34,26.64,26.64,10.31,10.0,Rebel's Lass,2667,61.0
"",B,6,6,25.8,520,2025-06-11,RICH,5,30.56,29.99,29.99,4.34,8.25,Zipping Mooney,11136,71.0
"",B,8,3,25.8,401,2025-06-06,RICH,5,23.82,22.92,22.85,7.0,12.75,Golden Status,2678,21.0
"",B,4,6,26.1,400,2025-06-03,BUL,5,23.49,22.84,22.13,6.78,9.25,Blazing Cash,6544,61.0
5. Morale Sponge,B,3,2,28.6,440,2025-06-13,GOUL,5,24.97,24.49,24.49,,6.75,AUSSIE'S QUEEN,33233,5.0
"",B,1,4,29.1,440,2025-05-30,GOUL,M,24.79,24.79,24.55,5.72,3.5,Cawbourne Adele,31111,5.5
6. Jerrawa Goddess,B,4,8,25.7,320,2025-06-14,PPK,5,19.27,18.51,18.18,,10.75,Chris Whit,2234,4.0
"",B,4,1,24.7,320,2025-06-09,WAGA,5,19.43,18.87,18.22,,8.0,UPPER'S FLYER,4,34.0
"",B,6,1,25.1,320,2025-05-31,PPK,5,19.62,18.77,18.4,,12.25,Whiskey Red,3366,4.0
"",B,5,1,25.0,350,2025-03-24,GOUL,5,20.59,19.84,19.84,,10.5,Queen Charlm,4555,34.0
"",B,3,7,25.3,320,2025-03-15,PPK,5,18.9,18.56,18.32,,4.75,Where's Shadow,3,3.0
7. Victory Bravo,D,6,8,34.4,400,2025-06-10,BUL,5,23.02,22.76,22.49,6.63,3.75,Rebel's Lass,6326,6.0
"",D,1,3,34.1,340,2025-06-03,BUL,5,19.34,19.34,18.96,3.35,4.75,Queen Jewel,2211,3.3
"",D,2,8,33.7,297,2025-04-10,DAPT,5,17.19,17.13,17.06,5.41,0.75,Midnight Fury,222,2.5
"",D,5,6,33.4,297,2025-04-03,DAPT,5,17.5,17.14,16.92,5.5,5.25,Driftin' Ethics,655,5.5
"",D,3,3,34.2,350,2025-01-03,GOUL,5,20.31,20.1,19.61,,3.0,Bobby Bonkers,333,2.9
8. Shadow Line,B,5,4,29.8,440,2025-06-20,GOUL,5,25.54,24.93,24.79,,8.75,Deputised,7765,13.0
"",B,5,1,29.4,520,2025-06-12,DAPT,5,31.21,30.21,29.83,5.58,14.25,Fantastic Storm,4455,9.0
"",B,2,8,29.5,520,2025-06-05,DAPT,MX,30.65,29.9,29.9,5.53,10.5,Hurricane Haley,2322,2.5
"",B,4,8,29.0,520,2025-05-22,W/PK,5,30.58,30.16,29.69,5.78,6.0,This Is Why,5554,8.5
"",B,4,4,28.8,520,2025-05-15,W/PK,5,30.65,29.87,29.76,5.68,11.0,Best Surprise,5454,7.5
