Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Poco Rico,D,4,1,33.3,520,2025-07-19,W/PK,5,30.3,30.05,29.37,5.56,3.5,WINCEY BALE,2224,7.5
"",D,4,7,33.5,520,2025-07-13,RICH,4/5,30.3,29.56,29.56,4.42,10.5,Sassy Supreme,35554,6.5
"",D,5,6,33.4,401,2025-07-02,RICH,4/5,23.56,22.88,22.88,7.1,9.75,She's Promising,7565,4.8
"",D,4,1,33.4,520,2025-06-28,W/PK,4/5,29.96,29.76,29.48,5.53,2.75,Talk About Class,4324,8.0
"",D,3,7,33.4,520,2025-06-19,W/PK,NG1-4,30.27,30.2,29.62,5.57,1.0,Both Bowers Ace,3323,19.0
2. Red Rock Royals,D,2,2,32.0,400,2025-07-19,DUBO,5,23.21,23.12,22.73,9.11,1.25,Terry Keeping,1122,1.55
"",D,1,6,31.8,400,2025-07-12,DUBO,5,22.78,22.78,22.74,8.81,9.75,Stiff Luck,1111,1.6
"",D,1,2,32.0,318,2025-06-28,DUBO,5,18.29,18.29,18.07,4.76,7.75,Skystrike,4111,1.55
"",D,1,1,32.3,400,2025-06-22,DUBO,5,22.92,22.92,22.54,8.94,6.25,Miss Ciardo,1111,1.75
"",D,5,8,32.2,340,2025-06-08,GUNN,M,20.46,19.62,19.4,6.69,12.0,Minty Dancer,4255,3.9
3. Kiwi Kawa,D,1,7,33.2,401,2025-07-20,RICH,4/5,22.8,22.8,22.78,6.67,5.25,Federal Blue Boy,3111,4.2
"",D,2,4,33.1,401,2025-07-16,RICH,4/5,23.11,22.73,22.72,6.78,5.25,Zipping Ali,3322,2.5
"",D,1,2,33.2,401,2025-07-13,RICH,4/5,22.69,22.69,22.67,6.61,0.5,Gets Late Early,1111,4.4
"",D,2,6,33.2,401,2025-07-09,RICH,4/5,23.12,22.83,22.5,6.88,4.25,Wow It's Me,2332,3.2
"",D,1,2,33.1,401,2025-07-06,RICH,5,23.02,23.02,22.89,6.78,1.75,Mr. Informant,3211,1.85
4. Where's Fernando,D,1,5,28.2,365,2025-07-21,NOWR,FFA,20.45,20.45,20.45,8.32,5.25,Stew Bob,11,1.2
"",D,1,4,28.3,365,2025-06-23,NOWR,NG1-4,20.47,20.47,20.47,8.33,3.5,Skedaddle Maple,11,1.28
"",D,6,6,28.3,350,2025-06-15,GRAF,NG,20.35,19.73,19.73,4.12,8.75,Badger's Beast,4556,9.0
"",D,1,3,28.2,340,2025-06-03,BUL,NG,18.96,18.96,18.96,3.26,3.5,Raging Zeal,1111,1.55
"",D,1,1,27.9,365,2025-05-26,NOWR,NG1-4,20.38,20.38,20.3,8.33,8.25,War Hawk,11,1.2
6. Miss Zig Zag,B,5,3,27.1,605,2025-05-17,DUBO,NG,35.84,34.94,34.94,9.39,12.75,Flash On By,556555,4.0
"",B,6,3,26.9,516,2025-05-10,DUBO,NG,30.29,29.55,29.49,4.45,10.5,Sooty Keeping,366666,9.0
"",B,5,4,27.4,520,2025-05-03,W/PK,NG,30.2,29.94,29.58,5.47,3.75,She's That Girl,1255,13.0
"",B,1,3,27.4,520,2025-04-26,W/PK,NG,29.75,29.75,29.49,5.4,5.25,Ritza Trish,1111,6.0
"",B,7,5,27.1,520,2025-04-19,W/PK,4/5,30.59,29.68,29.38,5.57,13.0,West Rock Casey,7557,13.0
7. Meniketti,D,5,6,33.9,520,2025-07-03,W/PK,5,30.27,29.54,29.54,5.55,10.25,Ritza Benji,5455,18.0
"",D,5,5,33.8,401,2025-06-18,RICH,5,23.26,22.79,22.71,6.92,6.5,Energy Wave,3555,4.0
"",D,1,4,34.0,401,2025-06-11,RICH,5,22.59,22.59,22.59,6.65,8.5,Emgrand Drive,1111,2.25
"",D,4,1,34.0,401,2025-06-04,RICH,5,23.29,22.76,22.68,6.85,7.5,Energy Wave,5444,1.65
"",D,3,8,34.1,401,2025-05-28,RICH,5,22.99,22.81,22.72,6.99,2.5,She's Special,6533,4.0
8. Tell Me Again,B,1,1,26.2,401,2025-07-13,RICH,M1/M2/M3,22.74,22.74,22.67,6.55,3.25,Solo Fernando,1111,2.25
"",B,3,1,26.4,297,2025-07-03,DAPT,M1/M2/M3,17.24,17.05,16.91,5.36,2.5,Aria's Dream,133,2.4
"",B,1,2,26.5,401,2025-06-29,RICH,M1/M2/M3,22.88,22.88,22.81,6.65,1.75,Snowman,1111,1.6
"",B,2,6,26.7,320,2025-06-22,RICH,M1/M2/M3,18.45,18.3,18.29,2.16,2.0,Running Reds,3332,1.75
"",B,1,5,27.0,401,2025-06-15,RICH,M1/M2/M3,22.75,22.75,22.44,6.58,4.0,Solo Fernando,1111,2.8
