Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. JAMS NIMBLE,B,3,1,24.7,460,2025-06-19,WAR,Grade 5 T3,26.347,26.102,26.09,6.665,3.75,Mighty Hercules,3,3.4
"",B,8,3,24.7,460,2025-06-10,WAR,Mixed 4/5,26.795,26.169,25.931,,9.5,CANYA JIVE,8,14.0
"",B,1,5,24.7,460,2025-06-05,WAR,Grade 5,26.272,26.272,26.223,,0.5,IRON TYSON,1,4.0
"",B,7,8,24.7,450,2025-05-26,BAL,Grade 5 T3,26.553,25.913,25.469,,9.75,Tinker Mike,7,3.6
"",B,2,6,24.7,400,2025-05-22,WAR,Grade 5,22.914,22.856,22.856,8.51,1.0,NO CHARGE,2,8.0
2. WESTERN EMPIRE,D,8,7,32.3,450,2025-06-02,BAL,Grade 5 T3,26.122,25.727,25.307,6.87625,6.0,Pretty Capri,8,12.0
"",D,6,8,32.1,515,2025-05-19,SAN,Grade 5 No Penalty,30.36,29.984,29.355,,5.75,Chappy's Thief,6,10.0
"",D,6,5,32.1,485,2025-05-06,HOR,Grade 5,28.075,27.412,27.198,,10.0,Dash Express,6,21.0
"",D,2,7,32.1,545,2025-05-01,BAL,Grade 5,31.567,31.55,31.55,6.7575,0.5,PAW YASMIN,2,51.0
"",D,7,8,32.0,390,2025-04-24,WAR,Grade 5,22.654,22.165,21.986,,7.5,SEATS TWO,7,12.0
3. FINISH THE ARENA,B,2,2,24.3,450,2025-06-23,WAR,Grade 5,25.794,25.736,25.356,6.815,1.0,SHE'S VERSACE,2,3.6
"",B,5,8,24.8,390,2025-06-09,WAR,Mixed 4/5,22.814,22.475,22.309,8.92,5.25,Aldren Bale,5,4.0
"",B,7,6,24.4,390,2025-05-28,WAR,Grade 5,23.6,22.256,21.884,,20.25,ASTON GLEAM,7,8.0
"",B,6,6,24.4,450,2025-05-22,WAR,Grade 5,26.119,25.526,25.303,,9.0,MORAINE WALLY,6,3.4
"",B,3,2,24.4,450,2025-05-15,WAR,Grade 5,25.954,25.589,25.298,,5.5,COLLINDA LAW,3,6.0
4. Elite Blazer,D,6,5,32.9,485,2025-06-17,HOR,Grade 5,28.183,27.758,27.4,,6.5,WEBLEC MARQUISE,6,21.0
"",D,5,4,32.8,485,2025-06-10,HOR,Mixed 4/5,28.199,27.689,27.689,6.695,7.75,Dash Express,5,16.0
"",D,7,3,32.8,410,2025-05-31,HOR,Grade 5,24.305,23.66,23.168,11.4025,9.75,IT'S BUBBLE TIME,7,10.0
"",D,5,8,32.6,410,2025-05-20,HOR,Grade 5,23.663,23.311,23.078,,5.5,OUT OF ELITE,5,12.0
"",D,6,5,32.7,410,2025-05-13,HOR,Grade 5,24.447,23.469,22.998,,14.75,PAW LILIBET,6,10.0
6. Star Of Venus,D,6,8,32.8,525,2025-06-25,MEA,Grade 5 T3,31.591,30.775,30.209,5.2875,12.25,SIR WHIP,6,13.0
"",D,5,7,32.8,460,2025-06-17,GEE,Mixed 4/5,26.287,26.158,25.996,6.71,2.0,GRAY ELLIOT,5,8.5
"",D,4,5,33.3,400,2025-06-10,GEE,Grade 5,23.182,22.909,22.704,8.6695,4.25,TIPSY TURTLE,4,4.8
"",D,6,7,33.3,410,2025-05-31,HOR,Mixed 4/5,23.878,23.168,23.168,10.6175,10.75,JULY SHE LIED,6,26.0
"",D,7,5,33.5,410,2025-05-13,HOR,Grade 5,25.149,23.511,22.998,11.055,24.5,PAW GLORY,7,10.0
7. Smart Operator,D,7,6,28.8,400,2025-06-08,MT/G,4/5,23.82,23.22,23.14,11.25,8.5,My Lady Panama,7,19.0
"",D,4,7,28.5,400,2025-05-18,MT/G,5,23.51,22.66,22.66,11.24,12.25,Masani Girl,4,17.0
"",D,4,2,28.5,400,2025-05-08,MT/G,TG5+W,23.41,23.31,23.0,11.04,1.5,Cadillac Ragtop,4444,3.5
"",D,1,2,28.5,400,2025-05-01,MT/G,TG5+W,23.12,23.12,23.12,10.75,1.25,Mocambora Mia,1111,3.3
"",D,4,2,28.9,400,2025-04-20,MT/G,5,23.76,23.49,23.2,11.24,3.75,Lie To Me,5444,5.5
8. FAR OUT SCOUT,B,7,1,24.8,410,2025-06-24,HOR,Grade 5,24.106,23.418,23.283,,10.5,PAW ILLABO,7,10.0
"",B,6,4,25.4,410,2025-06-17,HOR,Grade 5,24.15,23.677,23.306,,7.25,George's Best,6,8.0
"",B,4,6,25.1,410,2025-06-03,HOR,Grade 5,24.077,23.608,23.326,10.68,7.0,LEKTRA LYANNA,4,12.0
"",B,2,4,25.5,410,2025-05-31,HOR,Grade 5,23.931,23.67,23.168,,4.0,Bella Supreme,2,5.5
"",B,8,4,25.1,390,2025-05-19,WAR,Grade 5,23.077,22.529,22.396,,8.25,Saint Cassidy,8,5.0
