Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Go Gettem Whoopi,B,2,3,30.1,488,2025-07-01,MAND,NOV,27.82,27.66,27.66,5.93,2.25,Sunset Sapphire,5332,7.5
"",B,5,1,29.8,400,2025-06-24,MAND,NOV,22.89,22.67,22.59,6.58,3.0,West On Ariel,655,11.0
"",B,2,7,29.3,400,2025-06-17,MAND,NOV,22.92,22.87,22.78,11.96,0.75,Divot,322,20.0
"",B,3,5,29.8,400,2025-06-10,MAND,NOV,22.96,22.84,22.65,6.46,1.75,Ginny Riggs,433,18.0
"",B,5,1,30.1,400,2025-06-03,MAND,NOV,23.15,22.64,22.41,6.5,7.25,Ginny Riggs,555,15.0
2. SELECT CASH,D,4,4,28.9,488,2025-07-01,MAND,NOV,27.87,27.66,27.66,5.86,3.0,Sunset Sapphire,4544,5.0
"",D,4,2,29.0,488,2025-06-24,MAND,NOV,28.3,27.66,27.47,6.09,9.25,Go Gettem Scooby,8764,2.5
"",D,3,4,28.9,488,2025-06-17,MAND,NOV,28.33,28.13,28.03,16.68,2.75,WALKING EASY,8433,6.5
"",D,3,7,29.1,435,2025-05-11,SAL,Restricted Win,24.787,24.333,24.166,,7.0,BLACK XENA,3,4.8
"",D,1,4,29.7,435,2025-05-07,SAL,Tier 3 - Grade 7,24.588,24.588,24.575,5.24,6.75,SKYWALKER ROSE,1,3.2
3. Send It Alfie,D,6,1,29.8,520,2025-07-02,CANN,NOV,30.71,30.0,29.95,5.66,10.0,Finny Fox,66666,9.0
"",D,6,8,29.5,520,2025-06-18,CANN,NOV,30.65,29.93,29.9,5.7,10.25,Pursuit Special,56666,26.0
"",D,5,2,28.9,520,2025-06-04,CANN,NOV,31.11,29.98,29.9,5.85,16.25,Canya Bypass,85555,23.0
"",D,5,8,28.7,520,2025-04-09,CANN,NOV,30.43,29.98,29.98,5.7,6.25,Graceful Reign,65555,21.0
"",D,7,4,28.5,381,2025-03-12,CANN,NOV,22.91,21.77,21.65,7.05,16.25,Michigan,7777,8.5
4. TIME HAS COME,D,5,7,32.3,488,2025-07-01,MAND,NOV,28.27,27.66,27.66,5.84,8.75,Sunset Sapphire,3455,1.7
"",D,7,8,31.9,520,2025-06-25,CANN,NOV,31.47,30.2,29.88,5.59,18.0,Tic Tac Monelli,67777,11.0
"",D,7,3,32.0,520,2025-05-03,CANN,NOV,30.37,29.87,29.58,5.5,7.0,Jai Bubba,11137,6.0
"",D,6,2,31.4,488,2025-04-25,MAND,OPEN,28.19,27.29,27.09,5.8,12.75,Rippin' Moses,5566,14.0
"",D,4,2,31.6,520,2025-04-12,CANN,NOV,30.23,29.85,29.85,5.54,5.25,Boiler Maker,22224,3.5
6. Sunset Sapphire,B,1,1,25.8,488,2025-07-01,MAND,NOV,27.66,27.66,27.66,5.78,2.25,Go Gettem Whoopi,1111,7.5
"",B,8,6,25.8,488,2025-06-24,MAND,NOV,28.52,27.66,27.47,6.08,12.25,Go Gettem Scooby,7888,15.0
"",B,5,5,25.9,488,2025-06-10,MAND,NOV,28.58,27.99,27.82,6.08,8.25,Sozin's Heart,6665,6.0
"",B,6,4,26.3,488,2025-06-03,MAND,NOV,28.42,27.45,27.45,5.99,13.75,Hollywood Miss,7666,14.0
"",B,5,1,26.1,488,2025-05-27,MAND,NOV,28.53,27.82,27.82,6.01,10.0,All In Knots,5555,2.8
7. Lightning Byte,D,3,7,35.9,488,2025-06-24,MAND,NOV,28.02,27.66,27.47,6.01,5.25,Go Gettem Scooby,6553,4.0
"",D,5,5,35.9,488,2025-06-17,MAND,NOV,28.34,28.13,28.03,16.76,3.0,WALKING EASY,6545,7.0
"",D,4,3,35.8,400,2025-06-10,MAND,M,23.13,22.65,22.65,6.67,6.75,Security Spot,654,9.0
"",D,1,4,35.8,400,2025-06-03,MAND,M,22.9,22.9,22.41,6.5,3.25,Lolly Monelli,331,2.2
"",D,2,1,36.1,400,2025-04-01,MAND,M,23.18,22.59,22.51,6.65,8.25,Afloat,532,3.0
8. Gigabyte,D,1,1,36.0,488,2025-06-24,MAND,M,27.95,27.95,27.47,5.88,1.5,Incredible Lord,2211,2.45
"",D,2,6,35.7,400,2025-06-17,MAND,M,23.34,23.24,22.78,6.55,1.5,Full Gloss Kwang,662,5.5
"",D,3,8,35.7,400,2025-06-10,MAND,M,22.99,22.65,22.65,6.48,4.75,Security Spot,333,19.0
"",D,3,5,35.7,400,2025-06-03,MAND,M,23.2,22.41,22.41,6.63,11.25,Kyser's Spirit,643,6.5
"",D,4,1,36.6,400,2025-05-13,MAND,M,22.92,22.65,22.42,6.47,3.75,Fantale Monelli,444,3.6
