Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. COPPERHEAD DASH,D,6,6,30.4,350,2025-06-25,HEA,Mixed 6/7,20.278,19.935,19.491,6.84175,5.25,STURGIS,6,21.0
"",D,5,7,30.4,450,2025-06-19,SHE,Grade 7,26.196,25.592,25.592,,9.25,RED CABANG,5,21.0
"",D,7,4,30.8,390,2025-06-12,SHE,Grade 7,24.042,22.499,22.393,,23.25,BOY,7,7.0
"",D,5,7,30.9,305,2025-06-05,MT/G,TG1-4W,18.12,17.73,17.73,6.07,5.5,Nicked Again,6655,7.5
"",D,7,6,30.8,450,2025-06-02,BAL,Tier 3 - Grade 7,26.343,25.519,25.307,,12.5,MEPUNGA POWER,7,10.0
2. BED TIME DAISY,B,3,2,25.8,390,2025-06-26,SHE,Grade 7,22.691,22.316,22.316,,5.75,More Rage,3,21.0
"",B,5,6,25.3,390,2025-06-19,SHE,Grade 7,23.143,22.507,22.231,,9.5,WHIRLER,5,6.5
"",B,7,6,24.9,425,2025-06-04,BEN,Grade 7,25.052,24.282,24.282,6.8175,11.5,MORNING MIST,7,7.5
"",B,7,3,24.6,425,2025-05-28,BEN,Tier 3 - Grade 7,25.078,24.586,24.155,,7.5,PAW KIPLIN,7,6.0
"",B,5,4,25.0,390,2025-05-15,SHE,Tier 3 - Grade 7,23.181,22.277,22.107,9.0325,13.5,UNCLE ERNEST,5,10.0
3. AMRON BONNIE,B,7,2,27.2,460,2025-05-20,GEE,Mixed 6/7,27.2,26.11,26.061,6.995,16.5,SPICY SEDUCTION,7,15.0
"",B,5,7,27.4,450,2025-05-12,BAL,Tier 3 - Restricted Win,26.23,26.008,25.672,,3.5,COUNTY TYRONE,5,9.0
"",B,8,8,27.2,450,2025-05-05,BAL,Tier 3 - Grade 7,26.838,25.602,25.602,7.0545,18.5,TOLD YOU TIM,8,16.0
"",B,4,4,27.2,350,2025-04-25,HEA,Tier 3 - Restricted Win,20.081,19.926,19.608,6.79425,2.5,Spark Lightning,4,21.0
"",B,6,5,27.4,450,2025-04-12,BAL,Restricted Win,26.731,25.888,25.544,6.91925,12.75,NICKY BOO BOO,6,8.0
4. BACARDI GIRL,B,1,5,27.3,342,2025-06-21,AP/K,M,19.89,19.89,19.64,4.68,14.25,Tauwitchere Girl,1111,1.07
"",B,5,2,27.1,410,2025-05-31,HOR,Maiden,23.888,23.648,23.168,,3.75,CRACKERJACK TREV,5,3.2
"",B,7,4,27.2,390,2025-05-26,SHE,Maiden,23.183,22.25,21.908,9.1025,14.0,SUNNY STRIDE,7,3.2
5. MY MATE HUX,D,8,2,30.0,390,2025-06-12,SHE,Grade 7,24.252,22.499,22.393,,26.25,BOY,8,15.0
"",D,8,5,29.6,425,2025-05-14,BEN,Grade 7,25.383,24.816,24.208,,8.5,LOUIE CABANG,8,16.0
"",D,6,6,30.0,390,2025-05-08,SHE,Grade 7,23.937,22.92,22.541,,15.25,RUNWAY DIVA,6,10.0
"",D,4,6,30.2,425,2025-04-30,BEN,Mixed 6/7,24.789,24.618,23.952,,2.75,CLASSIC GREY,4,16.0
"",D,6,8,30.3,425,2025-04-17,BEN,Tier 3 - Grade 7,24.909,24.241,23.993,,10.0,LIFE AWAITS,6,21.0
6. RIVER GEORGE,D,8,1,31.8,425,2025-06-25,BEN,Tier 3 - Grade 7,25.848,24.313,24.085,,23.0,SHADOW MAC,8,10.0
"",D,4,7,31.8,390,2025-06-19,SHE,Grade 7,23.138,22.507,22.231,,9.5,WHIRLER,4,8.0
"",D,6,4,32.0,390,2025-06-12,SHE,Mixed 6/7,23.329,22.751,22.393,,8.75,KRAKEN COOL,6,21.0
"",D,5,4,31.8,425,2025-06-04,BEN,Grade 7,24.933,24.282,24.282,6.7475,9.75,MORNING MIST,5,21.0
"",D,8,5,31.5,390,2025-05-29,SHE,Grade 7,23.259,22.361,22.221,,13.5,TAT BUDDY,8,10.0
7. JULEA RUSLIE,B,8,4,25.0,450,2025-06-19,SHE,Grade 7,26.545,25.592,25.592,,14.25,RED CABANG,8,5.0
"",B,7,1,25.2,400,2025-06-03,GEE,Grade 7,23.866,23.315,22.676,8.835,8.25,ZINZAN HOLLY,7,3.6
"",B,6,7,25.2,410,2025-05-31,HOR,Grade 7,24.134,23.583,23.168,,8.25,OLLIE JACK,6,8.0
"",B,4,2,25.2,400,2025-05-27,GEE,Mixed 6/7,23.418,22.902,22.655,8.7705,7.75,ASTON MONSOON,4,5.0
"",B,1,7,25.4,400,2025-05-20,GEE,Maiden,23.462,23.462,22.643,8.81,6.25,REIKO ZIP,1,4.2
8. SHE REBEL,B,5,7,25.9,400,2025-06-24,GEE,Mixed 6/7,23.411,23.128,22.605,8.755,4.25,VALLETTA MOON,5,4.6
"",B,6,4,25.7,390,2025-06-19,WAR,Grade 7,22.925,22.125,21.876,,12.0,VASTUS,6,10.0
"",B,1,7,25.7,390,2025-06-16,WAR,Maiden,22.499,22.499,22.192,,2.5,BILLY BEAST,1,10.0
"",B,5,8,26.2,390,2025-05-21,BAL,Tier 3 - Maiden,22.913,22.487,22.37,,6.5,ASTON SUSHI,5,12.0
"",B,3,3,26.0,390,2025-05-14,BAL,Maiden,22.989,22.596,21.907,8.73,6.0,DIGGER DALE,3,12.0
