Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Little Tiger,D,7,1,32.3,400,2025-06-24,GEE,Grade 5,23.674,22.615,22.605,8.9275,16.0,MANDOLIN STORM,7,6.0
"",D,5,7,32.4,400,2025-05-20,GEE,Grade 5,23.445,22.835,22.643,8.83675,9.25,KRAKEN HOOK,5,7.0
"",D,2,2,32.4,425,2025-05-14,BEN,Grade 5,24.768,24.623,24.208,,2.25,Latin Rhythm,2,4.0
"",D,7,8,31.9,410,2025-05-09,HOR,S/E Veteran,24.29,23.289,23.247,,15.0,Nyah Nyah Demon,7,21.0
"",D,6,1,31.6,425,2025-04-30,BEN,Grade 5,24.997,24.53,23.952,,7.0,Lyrical Cripps,6,4.6
2. Kempton Bale,D,6,3,32.2,390,2025-06-09,BAL,Grade 5 T3,23.685,23.091,22.404,,9.0,SPEEDY FYNN,6,6.5
"",D,6,2,31.8,400,2025-05-20,GEE,Grade 5,23.57,22.835,22.643,8.87175,11.0,KRAKEN HOOK,6,26.0
"",D,5,7,31.8,425,2025-05-14,BEN,Grade 5,25.082,24.608,24.208,,7.25,HELLO COOPER,5,10.0
"",D,5,7,32.0,390,2025-05-05,BAL,Grade 5 T3,23.009,22.341,22.2,8.905,10.0,NALA'S GHOST,5,8.0
"",D,7,3,32.7,400,2025-04-21,GEE,Grade 5,23.869,23.285,22.839,8.96425,8.75,Unsurpassed,7,10.0
3. Valdivian,B,5,8,30.6,400,2025-06-26,WAR,Grade 5 T3,23.509,22.805,22.805,,10.75,DONITA BALE,5,12.0
"",B,3,9,30.5,400,2025-06-19,WAR,Grade 5 T3,23.434,23.205,22.789,8.7075,3.5,BLUE CHASER,3,8.0
"",B,7,7,30.5,400,2025-06-12,WAR,Grade 5 T3,23.398,23.035,22.617,8.8525,5.5,Spicy Siren,7,12.0
"",B,5,2,30.2,435,2025-06-04,SAL,Grade 5 T3,25.335,24.585,24.585,,11.25,Royal Magpie,5,4.6
"",B,4,8,30.3,400,2025-05-29,WAR,Grade 5 T3,23.36,23.032,22.955,8.717,5.0,MISS YOUR KISS,4,16.0
4. SMOKIN' GRACIE,B,3,9,28.4,390,2025-06-30,BAL,Grade 5 T3,23.076,22.759,22.223,8.81425,4.75,SQUEEGEE'S RIDE,3,6.0
"",B,6,5,28.8,425,2025-06-25,BEN,Grade 5 T3,25.026,24.521,24.085,6.851,7.75,TORNADO JACK,6,16.0
"",B,6,6,28.5,425,2025-06-21,BEN,Grade 5,24.955,24.24,24.051,,10.75,SPOILER ALERT,6,15.0
"",B,7,6,28.9,425,2025-06-18,BEN,Grade 5 T3,25.303,24.879,24.139,,6.5,KING PLUM,7,10.0
"",B,1,5,28.1,425,2025-06-11,BEN,Grade 5 T3,24.64,24.64,24.174,,0.25,SOLID GROUND,1,8.0
6. Oh Crikey,D,6,1,32.9,400,2025-06-10,GEE,Grade 5,23.551,23.106,22.704,8.8375,6.75,SHIMA SUNSET,6,10.0
"",D,2,3,32.4,400,2025-05-20,GEE,Grade 5,23.169,22.835,22.643,8.66175,5.0,KRAKEN HOOK,2,12.0
"",D,6,1,32.4,425,2025-05-14,BEN,Grade 5,25.136,24.608,24.208,,8.0,HELLO COOPER,6,12.0
"",D,6,3,32.3,410,2025-05-09,HOR,Grade 5,24.228,23.61,23.247,10.7445,9.25,Orson Fury,6,12.0
"",D,7,3,32.0,350,2025-05-06,HEA,Grade 5,20.029,19.634,19.332,,6.0,WESTERN FEEL,7,26.0
7. WESTERN FEEL,D,7,6,32.8,390,2025-06-23,WAR,Grade 5,23.23,22.046,21.991,9.285,17.75,SHINY NEW TOY,7,16.0
"",D,7,2,32.6,400,2025-06-12,WAR,Grade 5 T3,23.673,22.804,22.617,8.88,13.0,Bon Star,7,12.0
"",D,8,5,32.6,400,2025-06-06,WAR,Grade 5 Non Penalty Heat,23.763,23.05,22.382,8.85625,10.75,ROSE OPAL,8,21.0
"",D,7,7,32.5,400,2025-06-03,GEE,Grade 5,23.572,23.063,22.676,8.7175,7.75,BIG TRUCKER,7,5.5
"",D,7,7,32.6,400,2025-05-27,GEE,Grade 5,23.773,23.064,22.655,8.8825,10.75,JERSEY JET,7,3.2
8. VELOX BALE,B,6,4,29.0,460,2025-06-26,WAR,Grade 5 T3,26.985,26.65,26.286,,5.0,Redshift Victory,6,21.0
"",B,2,8,29.3,450,2025-06-23,BAL,Grade 5 T3,26.322,26.271,25.826,6.89175,1.0,NALA'S GHOST,2,3.6
"",B,6,4,29.0,525,2025-06-18,MEA,Grade 5 T3,31.05,30.459,29.967,5.207,9.0,PERFECT SOUL,6,15.0
"",B,6,6,29.4,460,2025-06-12,WAR,Grade 5 T3,26.698,26.232,26.1,,7.0,SOMERTON KAREN,6,16.0
"",B,7,5,29.6,450,2025-06-09,BAL,Grade 5 T3,26.309,25.808,25.727,,7.5,THAT'S A BOODIE,7,10.0
