Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Milwaukee Jack,D,3,6,29.1,324,2025-07-10,RICS,M,18.18,17.8,17.38,7.13,5.25,Cash The Dennis,3233,3.7
"",D,5,7,29.0,324,2025-07-03,RICS,M,18.42,17.98,17.62,7.29,6.25,Cambo's Ethics,4445,3.8
"",D,2,4,30.1,324,2025-05-08,RICS,M,18.37,18.06,17.63,7.25,4.25,Despicable Kyro,4332,2.6
"",D,2,4,30.2,324,2025-05-01,RICS,M,18.07,17.86,17.75,7.13,3.0,Despicable Otto,3222,19.0
2. Busy Going,B,8,8,24.7,320,2024-12-15,RICH,M,18.93,18.27,17.97,2.16,9.25,Montana Banner,3348,3.7
"",B,2,7,24.4,320,2024-12-08,RICH,M,18.55,18.54,18.0,2.11,0.125,Harrita's Rebel,1112,5.0
"",B,2,1,24.4,320,2024-12-01,RICH,M,18.57,18.21,18.08,2.02,5.25,Dance With Stars,112,8.0
"",B,4,7,23.9,340,2024-08-06,BUL,M,19.85,19.14,19.11,3.28,10.0,Danny Whizz Bang,2124,9.5
"",B,3,6,24.1,340,2024-07-30,BUL,M,19.74,19.53,19.09,3.37,3.0,Vintage Glow,2233,7.0
5. Chill Out Chick,B,3,5,26.4,297,2025-06-12,DAPT,M,17.58,17.46,16.92,5.38,1.75,Ferocious Willow,133,34.0
"",B,7,3,26.4,297,2025-05-29,DAPT,M,18.28,17.83,17.0,5.86,6.25,Fancy Liam,877,21.0
"",B,7,2,26.5,340,2025-05-20,BUL,M,20.38,19.92,18.85,3.56,6.5,Sassy Crossed,6667,15.0
"",B,7,3,26.5,297,2025-05-01,DAPT,M,18.43,17.74,17.1,5.39,9.75,Mary's Fancy,177,19.0
"",B,5,10,26.5,340,2025-04-08,BUL,M,20.62,19.24,19.06,3.5,19.75,Sorry Nan,6675,101.0
6. Premium Gold,D,5,4,27.9,365,2025-07-21,NOWR,M,21.77,21.02,20.45,8.85,10.5,Sweet As Sin,45,26.0
"",D,3,2,28.1,297,2025-07-17,DAPT,M,17.89,17.56,17.02,,4.75,Shiny Trunkey,3,31.0
"",D,2,1,27.8,365,2025-07-14,NOWR,M,21.29,21.07,20.54,8.83,3.0,Ashby Toucan,12,11.0
"",D,4,6,28.0,320,2025-07-11,RICH,M,18.89,18.36,18.14,2.28,7.5,Any Ace Bronte,3344,61.0
"",D,6,7,28.2,365,2025-07-07,NOWR,M,21.62,21.04,20.52,8.86,8.25,Kung Fu Bay,46,41.0
7. Rockstar Pip,B,2,2,25.1,401,2025-06-27,RICH,M,23.44,23.38,22.68,6.85,0.75,Oysters Think,5222,10.0
"",B,5,3,24.9,297,2025-06-19,DAPT,M,17.93,17.44,17.07,5.52,7.0,Tofu Tommy,355,7.0
"",B,4,6,25.0,324,2025-06-12,RICS,M,18.6,18.13,17.54,7.43,6.5,Despicable Pedro,8554,6.0
"",B,3,8,25.0,297,2025-06-05,DAPT,M,17.68,17.6,16.96,5.59,1.0,Where's Harry,533,4.0
"",B,2,1,25.1,365,2025-05-26,NOWR,M,21.25,20.84,20.3,8.84,5.75,Desi's Dream,22,4.6
8. Corless A Leader,B,3,8,27.0,340,2025-07-15,BUL,M,19.83,19.76,19.14,3.51,1.0,She Said So,5543,16.0
"",B,7,8,27.2,401,2025-07-09,RICH,M,23.57,22.5,22.5,7.01,15.25,Magical Ang,7667,34.0
"",B,4,4,27.3,320,2025-07-06,RICH,M,18.76,18.48,18.2,2.22,4.0,Slightly Psycho,4474,34.0
"",B,5,4,27.2,320,2025-07-02,RICH,M,18.77,18.27,18.27,2.25,7.0,Stephen Witherap,7775,51.0
"",B,3,6,26.8,320,2025-06-25,RICH,M,19.02,18.53,18.07,2.19,7.0,Hey Bubba Louie,5583,101.0
9. Sneaky Geri,B,5,8,26.1,297,2025-07-17,DAPT,M,17.97,17.56,17.02,,5.75,Shiny Trunkey,5,9.0
"",B,6,5,26.4,324,2025-07-10,RICS,M,18.33,17.54,17.38,7.3,11.25,Mia Zipper,3666,41.0
"",B,3,2,26.5,324,2025-07-03,RICS,M,18.29,17.97,17.62,7.24,4.5,Star Zipper,1243,8.0
"",B,3,2,26.3,324,2025-06-12,RICS,M,18.46,18.37,17.54,7.23,1.25,Dyna Twist,1123,13.0
"",B,2,2,26.1,324,2025-06-05,RICS,M,18.32,18.05,17.63,7.27,3.75,Fantastic Power,2232,21.0
10. Chloe's Fancy,B,7,5,25.9,365,2025-07-21,NOWR,M,22.0,21.02,20.45,9.02,14.0,Sweet As Sin,77,8.0
"",B,2,3,26.0,297,2025-07-17,DAPT,M,17.76,17.56,17.02,,2.75,Shiny Trunkey,2,2.8
"",B,7,7,25.3,365,2025-03-17,NOWR,M,22.15,20.68,20.32,8.76,21.0,Skedaddle Indi,27,8.0
"",B,2,7,25.0,365,2025-03-10,NOWR,M,21.18,20.49,20.22,8.82,9.75,Winnability,22,16.0
"",B,3,1,25.4,297,2025-03-06,DAPT,M,17.39,17.28,17.0,5.53,1.5,Cawbourne Ness,333,4.0
