Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Oh Crikey,D,8,2,33.8,400,2025-07-15,GEE,Grade 5,23.621,22.679,22.679,9.081,14.25,MANDOLIN STORM,8,8.5
"",D,7,7,33.7,400,2025-07-08,GEE,Grade 5,23.592,22.583,22.583,9.07,15.25,DECORATED,7,5.0
"",D,4,8,33.9,390,2025-07-05,SHE,Grade 5,23.08,22.593,22.22,8.76,7.5,BURRA BRICE,4,5.0
"",D,6,1,32.9,400,2025-06-10,GEE,Grade 5,23.551,23.106,22.704,8.8375,6.75,SHIMA SUNSET,6,10.0
"",D,2,3,32.4,400,2025-05-20,GEE,Grade 5,23.169,22.835,22.643,8.66175,5.0,KRAKEN HOOK,2,12.0
2. LISBURN,B,4,1,26.9,400,2025-07-15,GEE,Grade 5,23.486,23.09,22.679,8.85675,6.0,SQUEEGEE'S RIDE,4,5.0
"",B,5,7,26.7,425,2025-07-11,BEN,Grade 5,24.612,24.169,23.858,,6.75,XISAN BALE,5,9.0
"",B,6,8,26.8,390,2025-07-08,BAL,Grade 5 T3,23.142,22.833,22.492,8.78,4.75,SHIMA SUNSET,6,10.0
"",B,7,8,27.2,390,2025-06-30,BAL,Grade 5 T3,22.861,22.223,22.223,8.7825,9.75,SPECIAL SIAN,7,12.0
"",B,5,5,26.8,425,2025-06-13,BEN,Grade 5,25.173,24.186,23.779,,14.75,PAW YALE,5,10.0
3. THAI MOGWAI,D,6,3,33.0,400,2025-07-15,GEE,Grade 5,23.424,22.906,22.679,,7.75,Maxed Out,6,26.0
"",D,2,7,32.7,390,2025-07-08,BAL,Grade 5 T3,23.122,22.646,22.492,8.8125,7.25,Vinny Dewalt,2,12.0
"",D,6,3,32.7,390,2025-06-30,WAR,Grade 5,22.886,22.345,22.299,,8.25,PAW MUNICH,6,12.0
"",D,6,1,32.1,425,2025-06-21,BEN,Grade 5,25.135,24.556,24.051,,8.75,CLONCURRY GOLD,6,12.0
"",D,5,4,32.1,400,2025-06-17,GEE,Grade 5,23.226,22.818,22.526,8.80675,6.25,ON SONG ICE,5,12.0
4. VELOX BALE,B,1,6,29.0,460,2025-07-15,GEE,Grade 5,26.159,26.159,25.925,6.67,6.75,Star Of Venus,1,3.0
"",B,1,4,29.0,390,2025-07-08,BAL,Grade 5 T3,22.602,22.602,22.492,8.66,5.25,Pyrenees Blazer,1,7.5
"",B,6,4,29.0,460,2025-06-26,WAR,Grade 5 T3,26.985,26.65,26.286,,5.0,Redshift Victory,6,21.0
"",B,2,8,29.3,450,2025-06-23,BAL,Grade 5 T3,26.322,26.271,25.826,6.89175,1.0,NALA'S GHOST,2,3.6
"",B,6,4,29.0,525,2025-06-18,MEA,Grade 5 T3,31.05,30.459,29.967,5.207,9.0,PERFECT SOUL,6,15.0
5. HARLOW'S BOY,D,6,3,29.3,390,2025-07-14,BAL,Grade 5 T3,22.822,22.526,22.421,8.5225,4.5,Vinny Dewalt,6,6.5
"",D,7,1,29.8,390,2025-06-14,BAL,Grade 5,22.983,22.618,22.504,8.672,5.5,MR. FRANKIE LEE,7,6.5
"",D,8,7,29.2,390,2025-05-19,BAL,Grade 5,23.866,22.079,22.079,8.7375,26.75,PAW DAHLIA,8,4.8
"",D,5,7,29.4,410,2025-04-29,HOR,Grade 5,24.306,23.599,23.021,10.732,10.75,Sleek Blazer,5,5.0
"",D,2,6,29.4,410,2025-04-19,HOR,Grade 5,23.61,23.298,23.202,,4.75,PAW HUNTER,2,8.0
6. ORSON AS,B,5,7,26.2,390,2025-07-14,BAL,Grade 5 T3,23.18,22.839,22.421,8.6995,5.25,PAW UCARTY,5,8.0
"",B,6,6,25.8,425,2025-07-02,BEN,Grade 5,24.88,24.192,24.131,,10.5,ATLAS ALIEN,6,9.0
"",B,3,1,25.6,390,2025-06-23,WAR,Grade 5,22.52,22.046,21.991,8.865,7.25,SHINY NEW TOY,3,8.0
"",B,8,4,25.5,390,2025-06-05,BAL,Grade 5 Non Penalty Heat,22.966,22.171,21.704,,12.0,Kimiko,8,21.0
"",B,7,8,25.6,390,2025-06-02,BAL,Grade 5 T3,23.032,22.106,22.106,8.795,14.0,LOVE A BOURBSKI,7,8.0
7. SLINGER,D,8,4,31.5,390,2025-07-08,BAL,Grade 5,23.284,22.774,22.492,9.002,7.75,LITTLE NARLA,8,16.0
"",D,3,8,31.5,425,2025-07-02,BEN,Grade 5,24.85,24.641,24.131,,3.25,RIVIA AKIRA,3,12.0
"",D,8,7,31.2,450,2025-06-23,BAL,Grade 5 T3,27.007,26.271,25.826,7.07375,11.0,NALA'S GHOST,8,21.0
"",D,5,1,31.6,390,2025-06-16,BAL,Grade 5 T3,23.362,22.874,22.501,9.21675,7.5,SHIMA SUNSET,5,10.0
"",D,7,9,31.2,390,2025-06-14,BAL,Grade 5,23.178,22.728,22.504,8.902,6.75,TWO BAYS,7,10.0
8. MY BOY PARKER,D,4,1,32.1,595,2025-07-14,SAN,Restricted Win Heat,35.124,34.562,34.27,,8.5,ASTON FREDDIE,4,21.0
"",D,5,6,32.1,390,2025-07-09,BAL,Grade 5 Heat,22.773,22.125,22.065,,9.75,Wario,5,10.0
"",D,7,6,31.9,450,2025-07-05,SHE,Mixed 4/5,26.062,25.414,25.414,6.99675,9.75,Shiny Ink,7,8.0
"",D,7,2,31.8,460,2025-06-27,GEE,Grade 5,26.603,25.927,25.879,6.8045,10.25,ANGRY CHIEF,7,16.0
"",D,3,8,31.6,515,2025-06-23,SAN,Grade 5,30.279,29.666,29.45,,9.25,SON OF GHOST,3,2.2
