Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. SUPER SORT,B,3,5,25.9,400,2025-07-10,WAR,Grade 5 T3,23.886,23.572,22.987,,4.75,JOHN BOY,3,10.0
"",B,7,3,25.8,390,2025-07-07,WAR,Grade 5,22.876,22.353,22.01,9.0615,8.0,ZIPPING VELMA,7,10.0
"",B,5,8,25.3,390,2025-06-30,WAR,Grade 5,22.791,22.488,22.299,9.026,4.75,CANDLES,5,16.0
"",B,6,8,25.2,400,2025-06-24,GEE,Grade 5,23.611,22.615,22.605,8.987,15.0,MANDOLIN STORM,6,8.5
"",B,8,8,25.2,390,2025-06-14,BAL,Grade 5,23.262,22.728,22.504,8.9545,8.0,TWO BAYS,8,13.0
2. Squiggly Papa,D,7,8,32.4,390,2025-07-08,BAL,Grade 5 T3,23.411,22.646,22.492,9.0575,11.5,Vinny Dewalt,7,8.0
"",D,7,5,32.0,390,2025-06-26,SHE,Grade 5,23.103,22.34,22.316,9.02,11.5,LAINEY JANE,7,10.0
"",D,7,7,31.7,390,2025-06-23,WAR,Grade 5,22.91,22.194,21.991,9.2525,10.75,Lektra Damian,7,8.0
"",D,3,7,31.4,390,2025-06-16,WAR,Grade 5,23.333,22.88,22.192,,7.0,Wairua's Way,3,8.0
"",D,6,7,31.6,390,2025-06-12,SHE,Grade 5,23.213,22.594,22.393,,9.25,Gunai Jedi,6,8.0
3. Little Edward,D,6,4,35.0,400,2025-06-17,GEE,Grade 5,23.658,22.732,22.526,8.7825,14.0,Gunai Jedi,6,8.0
"",D,8,8,35.2,390,2025-06-09,BAL,Grade 5 T3,23.882,23.091,22.404,,12.0,SPEEDY FYNN,8,12.0
"",D,6,5,35.9,400,2025-06-03,GEE,Grade 5,24.028,23.461,22.676,8.72675,8.5,Moraine Baloo,6,12.0
"",D,7,4,35.3,400,2025-03-29,GEE,Grade 5,24.641,23.236,22.676,8.99875,21.0,SOLID GROUND,7,4.2
"",D,4,4,35.6,390,2025-03-03,BAL,Grade 5 T3,23.228,22.556,22.198,8.64425,10.25,Juice,4,2.6
4. ALCATRAZ BIRDMAN,D,7,3,27.7,425,2025-07-11,BEN,Grade 5,24.977,24.169,23.858,,12.25,XISAN BALE,7,10.0
"",D,6,6,27.8,390,2025-07-08,BAL,Grade 5 T3,23.274,22.602,22.492,8.786,10.25,VELOX BALE,6,6.0
"",D,2,8,27.8,390,2025-06-30,BAL,Grade 5 T3,23.031,22.759,22.223,8.725,4.25,SQUEEGEE'S RIDE,2,6.0
"",D,6,8,28.6,400,2025-05-27,GEE,Grade 5,23.655,23.228,22.655,8.70675,6.5,AUSSIE FLAME,6,6.0
"",D,7,3,28.6,450,2025-05-19,BAL,S/E Heat,26.47,25.697,25.205,,11.75,QUEEN SHAKA,7,26.0
5. Little Lorelei,B,5,7,27.0,390,2025-06-09,BAL,Grade 5 T3,23.425,23.091,22.404,,5.0,SPEEDY FYNN,5,8.0
"",B,6,4,26.8,390,2025-05-12,BAL,Grade 5 T3,23.126,22.454,22.275,,10.25,BOROUGH MAN,6,12.0
"",B,7,5,27.3,390,2025-02-17,BAL,Grade 5 T3,23.597,22.304,22.246,8.93,19.5,PAW WAITARA,7,16.0
"",B,8,3,27.0,300,2025-02-14,HEA,Grade 5 T3,17.536,17.04,16.834,,7.5,Crackerjack Jet,8,10.0
