Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. TRUST ME,D,7,3,35.2,460,2025-07-12,GEE,Mixed 6/7,26.367,25.448,25.448,,13.75,UNIVERSITY,7,12.0
"",D,1,1,34.9,460,2025-07-01,WAR,Mixed 6/7,26.763,26.763,26.063,,1.5,IAN ALBERT,1,5.0
"",D,1,7,35.0,460,2025-06-24,WAR,Maiden,26.382,26.382,26.021,6.732,0.75,BELLARINE BEAUTY,1,4.0
"",D,4,5,35.0,460,2025-06-17,WAR,Maiden,27.607,26.727,25.776,,13.25,CODICIL,4,4.0
2. CANYA TERRY,D,6,4,30.4,530,2025-07-10,AP/K,SE,31.8,30.4,30.04,5.55,20.0,MEPUNGA SAGE,6,3.4
"",D,1,7,30.7,450,2025-07-02,BAL,Grade 7,25.353,25.353,25.213,,7.0,I'M FREE,1,3.4
"",D,7,6,30.4,425,2025-06-27,BEN,Grade 7,25.14,24.214,23.682,,14.0,Critical Moment,7,3.2
"",D,1,4,30.1,450,2025-03-31,BAL,Tier 3 - Maiden,25.367,25.367,25.367,6.66,4.5,REGAL JYLE,1,2.8
"",D,4,8,30.1,515,2025-03-17,SAN,Maiden,30.123,29.312,29.178,,12.25,ZAP DEVERE,4,1.7
3. WEBLEC PATCH,D,8,5,32.8,460,2025-07-12,GEE,Mixed 6/7,26.425,25.448,25.448,,14.75,UNIVERSITY,8,10.0
"",D,6,2,32.6,515,2025-07-03,SAN,Mixed 6/7 Final,30.428,29.775,29.334,5.18625,9.75,DAPPER CHAP,6,6.5
"",D,4,8,32.9,515,2025-06-23,SAN,Mixed 6/7 Heat,30.507,30.213,29.45,,4.5,CANYA MAROONS,4,5.0
"",D,6,3,32.6,400,2025-06-13,GEE,Group Listed,22.964,22.496,22.221,,7.0,BLAZIN' FRIES,6,16.0
"",D,2,2,32.8,400,2025-06-06,GEE,Maiden Semi Final,23.105,22.552,22.453,8.805,8.5,TRADING HALT,2,8.0
4. WOODSIDE VIXEN,B,3,2,26.6,435,2025-07-09,SAL,Grade 6,25.129,24.805,24.702,5.34,5.0,IGNATIUS ROSE,3,15.0
"",B,5,4,26.6,460,2025-07-03,WAR,Mixed 6/7,26.774,26.614,26.614,6.71175,2.5,DAINTREE BULLET,5,9.0
"",B,6,4,26.3,515,2025-06-30,SAN,Mixed 6/7,30.742,29.98,29.444,,11.5,DOONGALLA SERENA,6,34.0
"",B,3,4,26.4,400,2025-06-26,WAR,Tier 3 - Grade 6,23.405,23.267,22.805,,2.25,JOHN BOY,3,4.6
"",B,5,1,26.7,435,2025-06-22,SAL,Mixed 6/7 Heat,25.092,24.278,24.261,,12.25,Franky Hindmarsh,5,12.0
6. BELLARINE BEAUTY,B,1,6,28.8,515,2025-07-14,SAN,Maiden,30.095,30.095,29.457,,4.75,REPRIEVAL,1,3.6
"",B,4,4,27.9,515,2025-07-07,SAN,Maiden Heat,29.874,29.744,29.335,5.2045,2.0,ASTON BUGSY,4,14.0
"",B,2,1,27.8,460,2025-06-24,WAR,Maiden,26.419,26.382,26.021,6.62,0.75,TRUST ME,2,2.8
"",B,2,1,28.2,400,2025-06-17,WAR,Maiden,22.869,22.676,22.676,,3.0,CARRY ON MACI,2,10.0
"",B,4,5,28.3,400,2025-06-13,WAR,Maiden,23.54,23.371,22.58,8.817,2.75,IRISH ZOE,4,6.0
7. ASTON BUGSY,D,2,3,33.2,515,2025-07-17,SAN,Maiden Final,29.668,29.316,29.066,,5.5,SUPER FREAKY,2,8.0
"",D,1,1,33.2,515,2025-07-07,SAN,Maiden Heat,29.744,29.744,29.335,5.1275,1.5,HI BIG BEN,1,1.5
"",D,2,2,33.1,515,2025-06-30,SAN,Maiden,29.629,29.444,29.444,,3.0,MEPUNGA SAGE,2,2.5
"",D,6,6,33.0,460,2025-06-17,WAR,Maiden,28.046,26.727,25.776,,19.75,CODICIL,6,2.6
"",D,3,2,32.8,460,2025-05-29,GEE,Maiden Heat,26.161,25.786,25.708,6.692,5.75,SHAQ IN BLACK,3,3.4
8. Fire Tears,D,6,4,31.4,520,2025-06-26,W/PK,5,30.79,30.15,29.75,5.74,9.25,Messy And Untidy,7766,6.0
"",D,2,9,32.2,400,2025-06-21,GRDN,5,23.38,23.0,22.82,11.58,5.25,Tranquil Tiger,442,4.6
"",D,7,2,32.0,603,2025-02-25,GOSF,5,35.81,34.8,34.8,9.74,14.25,Jimmy Figgis,67777,3.5
"",D,4,8,32.4,603,2025-02-18,GOSF,5,35.47,34.35,34.35,9.32,16.0,Great Terms,454,51.0
"",D,6,2,32.4,515,2025-02-08,GRDN,5,30.27,29.75,29.75,5.11,7.5,Here We Go,466,3.9
