Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Aston Baker,D,3,2,31.1,342,2025-07-01,AP/K,TG1-4W,20.1,19.83,19.65,4.7,3.75,Glenageary,2333,4.0
"",D,1,8,31.4,342,2025-06-21,AP/K,TG1-4W,20.08,20.08,19.64,4.71,0.125,Spare,5431,4.4
"",D,1,2,31.5,342,2025-06-17,AP/K,TG1-4W,19.9,19.9,19.69,4.74,2.0,Comeback Ash,1,7.5
"",D,5,1,31.0,400,2025-06-11,GAWL,TG1-4W,23.58,23.15,22.87,9.16,6.0,Glenageary,5,7.0
"",D,4,7,31.0,342,2025-06-07,AP/K,TG1-4W,20.21,19.87,19.84,4.82,4.75,LADY NOVA,4,6.5
2. MILES APART,D,5,7,32.5,530,2025-05-01,AP/K,6,31.35,30.98,30.23,5.41,5.25,Wind Whiskers,44445,3.0
"",D,6,4,32.4,525,2025-04-23,MEA,Grade 5,30.805,30.306,30.051,5.46425,7.5,Secret Emgrand,6,14.0
"",D,8,8,32.4,525,2025-04-19,MEA,Grade 5,30.571,30.149,29.706,5.2125,6.5,TAKUMI BALE,8,6.5
"",D,6,4,32.6,525,2025-04-12,MEA,Grade 5,30.549,30.286,29.811,,4.0,VARSITY BALE,6,8.0
"",D,5,8,32.6,525,2025-04-05,MEA,Grade 5,30.964,30.277,29.834,,10.5,PAW XANTIPPE,5,9.0
4. Terrific Lucy,B,6,4,25.5,342,2025-06-09,AP/K,5,20.27,19.67,19.65,4.82,8.5,SUDOKU ROSIE,6,7.0
"",B,4,8,25.7,530,2025-02-10,AP/K,6,31.61,30.97,30.97,5.42,9.25,Tailored Mclaren,4,2.5
"",B,2,1,25.6,530,2025-01-27,AP/K,6,31.31,31.28,31.28,5.39,0.5,Starburst Candy,2,1.4
"",B,4,5,25.5,530,2025-01-20,AP/K,6,31.5,30.87,30.44,5.41,9.0,Eldritch,4,3.1
"",B,4,2,25.4,530,2025-01-16,AP/K,5,31.06,30.86,30.47,5.38,2.75,Dakota Shine,4,23.0
5. BUSTING,D,2,4,37.7,342,2025-07-01,AP/K,TG1-4W,19.99,19.83,19.65,4.74,2.25,Glenageary,3222,1.85
"",D,5,7,37.6,342,2025-06-24,AP/K,TG1-4W,20.35,19.85,19.67,4.9,7.0,ARCHER EIGHT,6555,3.7
"",D,1,1,37.9,305,2025-06-08,MT/G,6,17.75,17.75,17.75,5.9,3.5,Florrie Lincoln,1,2.4
"",D,1,2,38.0,342,2025-05-27,AP/K,M,20.5,20.5,19.61,4.79,1.25,On Vacation,2211,1.3
"",D,5,10,38.2,460,2025-04-01,WAR,Maiden Final,26.364,25.982,25.765,,5.75,COINCIDENCE,5,9.5
7. OUR BELLA ROSE,B,3,5,29.6,342,2025-06-24,AP/K,TG1-4W,20.04,19.85,19.67,4.87,2.5,ARCHER EIGHT,4333,11.0
"",B,5,8,29.3,342,2025-06-16,AP/K,6,20.17,19.79,19.27,4.79,5.25,Federal Lady,5,5.0
"",B,2,4,29.6,342,2025-06-10,AP/K,TG1-4W,19.83,19.73,19.41,4.73,1.5,Dubai Hunter,2,7.5
"",B,6,8,29.8,342,2025-06-02,AP/K,6,20.43,20.04,19.65,4.78,5.5,DECIDER,6666,13.0
"",B,3,7,29.8,342,2025-05-27,AP/K,TG1-4W,19.98,19.61,19.61,4.69,5.25,DECIDER,4343,6.5
8. Let's Bail Out,D,3,1,28.6,400,2025-06-25,GAWL,SE,23.24,23.07,22.87,9.07,2.25,Find The Sun,5443,10.0
"",D,2,4,28.7,400,2025-06-18,GAWL,SE,23.11,23.05,22.49,8.93,0.75,Find The Sun,2,8.5
"",D,4,1,28.5,342,2025-06-10,AP/K,TG1-4W,20.09,19.73,19.41,4.81,5.25,Dubai Hunter,4,41.0
"",D,4,5,28.2,400,2025-05-28,GAWL,6,23.88,22.82,22.78,9.19,15.0,Gin And Juice,5544,61.0
"",D,6,1,28.0,342,2025-05-24,AP/K,TG1-4W,20.31,19.86,19.86,4.91,6.25,Merger,6666,11.0
