Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Electric Blue,B,1,6,25.3,320,2025-07-13,RICH,5,18.26,18.26,18.01,2.14,2.25,Chris Whit,2211,4.8
"",B,1,5,25.5,401,2025-06-25,RICH,5,23.1,23.1,22.97,6.67,0.125,Shady Coyote,2111,5.0
"",B,6,6,25.6,320,2025-06-15,RICH,5,19.45,18.44,18.17,2.1,14.25,Lilly Maree,2246,3.3
"",B,1,5,25.3,320,2025-06-08,RICH,M,18.39,18.39,18.17,2.1,4.75,Zipping Bullet,1111,3.4
2. Aston Aisling,B,7,3,26.2,401,2025-07-16,RICH,5,23.65,23.05,22.72,7.24,8.5,James Alarm,6877,51.0
"",B,2,1,26.1,320,2025-07-13,RICH,5,18.53,18.5,18.01,2.22,0.5,Knight's Castle,4442,41.0
"",B,8,7,25.9,297,2025-07-10,DAPT,5,17.94,17.29,17.06,5.66,9.25,Teresa's Angel,788,26.0
"",B,1,6,26.1,297,2025-07-03,DAPT,M,17.36,17.36,16.91,5.5,0.75,Carpark Indy,211,9.5
"",B,4,4,25.9,320,2025-06-29,RICH,M,18.87,18.21,18.18,2.32,9.25,Late In Winter,8854,26.0
3. Satriani,D,4,7,31.3,320,2025-07-13,RICH,5,18.61,18.26,18.01,2.16,5.0,Electric Blue,3344,7.5
"",D,5,3,31.4,401,2025-07-06,RICH,5,23.54,22.89,22.89,7.05,9.25,Nikita Banner,4665,9.0
"",D,3,3,31.2,401,2025-07-02,RICH,5,23.11,23.04,22.88,6.72,1.0,Zipping Marquez,2113,16.0
"",D,4,5,31.0,401,2025-06-27,RICH,5,23.42,22.96,22.68,6.98,6.5,Zipping Clavell,3664,41.0
"",D,3,8,31.2,401,2025-06-22,RICH,5,23.28,23.0,22.45,6.83,4.0,Emgrand Drive,6343,5.0
4. Montana Banner,B,8,6,24.0,401,2025-07-16,RICH,5,23.69,23.05,22.72,7.12,9.25,James Alarm,4788,34.0
"",B,5,1,24.2,320,2025-07-13,RICH,5,18.63,18.26,18.01,2.19,5.25,Electric Blue,5555,10.0
"",B,3,3,24.0,320,2025-07-09,RICH,5,18.65,18.6,17.98,2.2,0.75,It's Noon,2243,11.0
"",B,4,3,24.1,320,2025-07-06,RICH,5,18.99,18.42,18.2,2.29,8.25,Say Your Prayers,5554,9.0
"",B,2,2,23.9,320,2025-07-02,RICH,5,18.6,18.46,18.27,2.22,2.0,So Irrelevant,4442,7.0
5. My Machine,D,3,3,34.2,320,2025-07-13,RICH,5,18.45,18.26,18.01,2.29,2.5,Electric Blue,8833,1.65
"",D,6,3,34.1,320,2025-07-06,RICH,5,18.83,18.34,18.2,2.27,7.0,Wick's Bullet,7766,1.65
"",D,1,8,34.0,320,2025-06-29,RICH,5,18.21,18.21,18.18,2.19,1.75,PAW LONDON,5511,1.6
"",D,2,4,33.9,388,2025-06-24,GOSF,5,22.36,22.32,22.08,9.97,0.75,Lumina Bell,12,2.1
"",D,8,1,34.4,400,2025-05-12,DUBO,4/5,24.11,23.25,22.85,9.61,12.25,Shorty,7588,2.4
6. Smart Aussie,B,4,7,29.6,603,2025-07-15,GOSF,5,35.62,35.06,35.06,9.6,8.0,Vito's Poolish,55554,21.0
"",B,3,4,29.3,603,2025-07-08,GOSF,5,35.53,35.19,35.19,9.55,4.75,Miss Bansky,54443,41.0
"",B,2,2,29.3,520,2025-07-02,RICH,MX,30.32,29.84,29.84,4.57,6.75,Brax Keeping,44442,8.0
"",B,5,8,29.4,401,2025-06-29,RICH,5,23.73,22.81,22.81,7.22,13.25,Premier Status,8865,41.0
"",B,6,1,29.5,520,2025-06-18,RICH,MX,30.45,30.07,29.45,4.43,5.25,Sapphire Rupee,55446,14.0
7. Oysters Think,D,4,5,33.9,401,2025-07-16,RICH,5,23.37,23.05,22.72,6.95,4.5,James Alarm,2444,14.0
"",D,5,3,34.1,401,2025-07-13,RICH,5,23.28,22.67,22.67,6.82,8.75,Zipping Ali,2345,26.0
"",D,3,4,34.1,401,2025-07-09,RICH,5,23.27,22.72,22.5,7.05,7.75,Zipping Ali,5443,23.0
"",D,3,4,34.2,401,2025-07-06,RICH,5,23.34,23.22,22.89,6.91,1.75,Pearl Of Maui,3333,17.0
