Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. FULL OF FUN,B,3,2,26.6,300,2025-06-22,HEA,Mixed 4/5,16.895,16.568,16.519,3.955,5.0,Wario,3,15.0
"",B,4,4,26.4,300,2025-06-15,HEA,Restricted Win Heat,16.932,16.818,16.547,,1.75,MADE UP STORIES,4,4.6
"",B,1,8,26.0,300,2025-05-18,HEA,Grade 5,17.049,17.049,16.559,4.047,1.5,ARCANA,1,3.6
"",B,4,4,25.0,300,2025-05-04,HEA,Grade 5,16.892,16.681,16.671,3.965,3.25,TARYN'S BLUE,4,5.0
"",B,5,7,25.5,300,2025-04-06,HEA,Grade 5,16.835,16.436,16.436,,6.0,SIR CAPULET,5,10.0
2. WE ARE ONE,B,5,4,25.7,390,2025-07-03,SHE,Grade 5 T3,22.597,22.438,22.429,,2.5,GLISTENING,5,5.5
"",B,2,7,25.2,350,2025-06-27,HEA,Grade 5 T3,19.594,19.509,19.485,,1.5,ANGRY FRANKY,2,3.2
"",B,2,8,24.9,350,2025-06-22,HEA,Grade 5,19.522,19.485,18.976,6.66425,0.75,AYIA NEIGHBOUR,2,10.0
"",B,3,7,24.8,350,2025-06-13,HEA,Grade 5 T3,19.537,19.474,19.474,6.6895,1.0,Is He Happy,3,15.0
"",B,1,2,25.0,350,2025-05-30,HEA,Grade 5 T3,19.776,19.776,19.712,,1.75,MOBILE LAD,1,8.5
3. Simply Stylish,D,1,6,34.8,390,2025-07-01,BAL,Grade 5,22.08,22.08,22.08,8.41,10.0,BINGO DASH,1,3.2
"",D,4,6,34.9,390,2025-06-25,BAL,Grade 5,22.76,22.527,22.226,,3.5,IDRON BALE,4,8.0
"",D,1,3,34.7,350,2025-06-20,HEA,Grade 5 T3,19.295,19.295,19.295,6.55,3.25,SPECIAL SIAN,1,10.0
"",D,6,3,34.6,350,2025-06-15,HEA,Grade 5,19.838,19.393,19.165,,6.75,WHY I'M BROKE,6,14.0
"",D,2,5,34.5,350,2025-06-06,HEA,Grade 5 T3,19.44,19.389,19.389,6.5425,1.0,AYIA NEIGHBOUR,2,10.0
4. FLYING HELLCAT,D,7,6,31.6,390,2025-06-23,SHE,Grade 5,22.989,22.087,21.918,8.789,13.5,JOLLY OLLIE,7,3.0
"",D,6,3,32.0,400,2025-06-06,WAR,S/E Heat,23.057,22.41,22.382,8.6245,9.75,DR. YANNICK,6,7.5
"",D,1,2,32.0,390,2025-05-25,BAL,Mixed 4/5,21.921,21.921,21.921,8.33,5.5,UNCLE DAVE,1,7.5
"",D,4,2,32.2,400,2025-05-20,WAR,Mixed 4/5,23.069,22.624,22.314,8.5945,6.75,SHARNI'S SECRET,4,2.8
"",D,4,2,32.8,390,2025-02-12,BAL,Grade 5 Heat,22.274,21.804,21.757,,7.25,FIFTY SHORT,4,3.6
5. GOT FLAIR,D,4,4,34.5,350,2025-06-22,HEA,Grade 5,19.736,19.464,18.976,6.6025,4.25,SUN IN CUBA,4,3.6
